"","logFC","logCPM","F","PValue","FDR"
"FADD",1.03942832789015,4.40276875666417,115.639637195215,2.80118297647466e-07,0.00297669950967777
"FTH1",1.2325018348081,9.68702249531443,114.770329341394,2.91290684966999e-07,0.00297669950967777
"CEBPB",0.63657887179832,6.80182683318192,96.186655973032,7.2239708179789e-07,0.00376216509756365
"CEBPD",1.06914172855561,4.14224389321253,88.8948178633172,1.07825218787091e-06,0.00376216509756365
"ANXA2",-0.431338539006909,11.5129438705028,86.7825801913427,1.21759174836743e-06,0.00376216509756365
"TUBA4A",-0.494031680556503,7.06146296161213,85.2471996569576,1.3322765751213e-06,0.00376216509756365
"POLD2",-0.463246136944021,6.88133056580954,83.9312500931319,1.44079939807458e-06,0.00376216509756365
"JUND",0.952273649579972,5.75674554332125,83.5674463164525,1.47261575401258e-06,0.00376216509756365
"CAV1",-0.497415417882651,8.21856891983024,79.4140970580291,1.90138374335743e-06,0.00431783121630434
"PSMB6",-0.414532033695175,7.78733797947987,75.2610774511741,2.48487851283864e-06,0.00507859470453961
"JUNB",0.939223319486977,5.383404079884,71.544891935178,3.19304102955785e-06,0.00593267023291848
"RNF103",0.522481705443424,5.68777637467251,67.553696945983,4.23465333682482e-06,0.00678735615738677
"RDH10",0.452200695870994,6.44205265663974,67.2878974807924,4.31723407603621e-06,0.00678735615738677
"CLDN23",1.41707812643483,1.53751843604123,65.8955616441505,4.78209793109588e-06,0.00688032150098978
"TUBA1B",-0.457431077606431,8.70362712994649,64.6258565082143,5.25815988088117e-06,0.00688032150098978
"NFKBIA",0.563938930734076,6.45817739262732,64.3071091241933,5.38629729013781e-06,0.00688032150098978
"ZBTB1",0.448568338576495,6.06041401539586,59.9409853634905,7.57190583716205e-06,0.00777695439661651
"PSAP",-0.366253502477445,11.1451248361878,59.8208706117656,7.64545651569258e-06,0.00777695439661651
"TLNRD1",0.639094587335092,5.10704855745572,59.0903500887907,8.11133892246395e-06,0.00777695439661651
"FEM1A",2.63509557309402,-0.447769594190792,58.2603620710103,8.68181093672728e-06,0.00777695439661651
"PMEPA1",0.474900469888217,6.36242883337575,57.9271623402807,8.924031598138e-06,0.00777695439661651
"CXCL3",0.831146111555664,3.81891903694158,57.9138366618025,8.93388304258579e-06,0.00777695439661651
"IRS2",0.81706304072617,6.20640938332184,57.8327037010305,8.99414029889258e-06,0.00777695439661651
"EMP3",-0.389640640616914,6.78197577410813,57.2710976144938,9.42462004727582e-06,0.00777695439661651
"CTU1",0.943816486858633,3.31357076267126,57.1597060543718,9.51286133258699e-06,0.00777695439661651
"PHB1",-0.415094532668732,7.47172446656074,55.9146952861105,1.05683887932192e-05,0.00830756654445442
"NOP53",0.408160826766062,7.58616227301997,55.3496778493872,1.10925727501658e-05,0.00839666673584774
"ZFPM1",0.875914616083686,3.66627688556025,54.3985807831183,1.20457594234423e-05,0.00867069906636245
"DUSP16",0.61495106944946,5.55542271133948,53.8534685040472,1.2635494925922e-05,0.00867069906636245
"PELI2",0.670763828984219,3.86437715220689,53.7712899274439,1.27273202852957e-05,0.00867069906636245
"ESPL1",-0.533989200067079,4.63537655522347,52.7550091725293,1.39304292663515e-05,0.00902945303434867
"DIDO1",0.405310753746577,6.52967366416496,52.4482337702534,1.4319582510282e-05,0.00902945303434867
"TMBIM6",-0.359880881790595,9.69164563547883,52.0001052500612,1.4911301561669e-05,0.00902945303434867
"TUBB4B",-0.358392408404839,8.55820582994164,51.9192490331091,1.50211078954817e-05,0.00902945303434867
"PRR7",0.990854249381542,3.31853706127319,51.518763240929,1.5579227399233e-05,0.00909737855958638
"RPS2P5",0.607737161704501,4.56945720546276,51.0107799986761,1.63226764732851e-05,0.00926674616002781
"FAT1",0.357611081231389,8.60511464958035,50.4747864574888,1.7152852126288e-05,0.00932683235159572
"REL",0.839337068381056,4.09172900394612,50.259781209228,1.74997706448856e-05,0.00932683235159572
"BCL3",0.493164783435752,4.934344655325,49.9194848722747,1.8065888300937e-05,0.00932683235159572
"AK2",-0.346622428622571,7.05731309383293,49.6320790095277,1.85608732734871e-05,0.00932683235159572
"USP5",-0.3700941877229,6.70333604136815,49.5471135259455,1.87102518062151e-05,0.00932683235159572
"RHOB",0.423563981772187,7.14137931934236,49.0420142995108,1.9628068225325e-05,0.0095427829918026
