"","logFC","PValue","FDR"
"ANXA2",-0.431338539006909,1.21759174836743e-06,0.00376216509756365
"TUBA4A",-0.494031680556503,1.3322765751213e-06,0.00376216509756365
"POLD2",-0.463246136944021,1.44079939807458e-06,0.00376216509756365
"CAV1",-0.497415417882651,1.90138374335743e-06,0.00431783121630434
"PSMB6",-0.414532033695175,2.48487851283864e-06,0.00507859470453961
"TUBA1B",-0.457431077606431,5.25815988088117e-06,0.00688032150098978
"PSAP",-0.366253502477445,7.64545651569258e-06,0.00777695439661651
"EMP3",-0.389640640616914,9.42462004727582e-06,0.00777695439661651
"PHB1",-0.415094532668732,1.05683887932192e-05,0.00830756654445442
"ESPL1",-0.533989200067079,1.39304292663515e-05,0.00902945303434867
"TMBIM6",-0.359880881790595,1.4911301561669e-05,0.00902945303434867
"TUBB4B",-0.358392408404839,1.50211078954817e-05,0.00902945303434867
"AK2",-0.346622428622571,1.85608732734871e-05,0.00932683235159572
"USP5",-0.3700941877229,1.87102518062151e-05,0.00932683235159572
"EIF6",-0.341809410682613,2.14482468764205e-05,0.0095427829918026
"G6PC3",-0.332198226467187,2.14593987703524e-05,0.0095427829918026
"ECH1",-0.329819211756628,2.17241906917042e-05,0.0095427829918026
"MPDU1",-0.336485214990324,2.36668633175335e-05,0.00958234048147903
"DPP3",-0.392716796937873,2.58142558519224e-05,0.00958234048147903
"MRPL24",-0.377028866383462,2.66040374454166e-05,0.00958234048147903
"PGK1",-0.359276614639836,2.68384343687733e-05,0.00958234048147903
"ENO1",-0.290739898253621,2.75040918630436e-05,0.00958234048147903
"AXL",-0.366364386955928,2.84542046409631e-05,0.00958234048147903
"SLC7A5",-0.321950328465382,3.13113194179807e-05,0.00958234048147903
"SDSL",-0.481178702890265,3.28480013346536e-05,0.00958234048147903
"CKS1B",-0.409616750733812,3.30751220345509e-05,0.00958234048147903
"CDCA3",-0.909842118195654,3.56193555466178e-05,0.00958234048147903
"PIMREG",-0.79820680064782,3.610139040385e-05,0.00958234048147903
"TMEM141",-0.612064442067041,3.7873672293505e-05,0.00972169503844774
"CLIC1",-0.343940881982829,3.9480413357039e-05,0.00972169503844774
"BCAP31",-0.323952332837285,4.06330412375668e-05,0.00988640591444513
"OCIAD2",-0.335753060557995,4.53928077900318e-05,0.010194925336403
"CAPNS1",-0.28812349727429,4.98330362953134e-05,0.0105171049778817
"PFAS",-0.370799139082779,5.05591921971584e-05,0.0105171049778817
"ATP5MC1",-0.441782656767509,5.09677717548406e-05,0.0105171049778817
"BSG",-0.36261314773029,5.13526278721348e-05,0.0105171049778817
"PTPA",-0.292590745222388,5.24108167441196e-05,0.0105171049778817
"S100A11",-0.287362927702379,5.3949435321334e-05,0.0105684070718361
"PRMT1",-0.293030525940751,5.67649780422977e-05,0.0106231124199866
"NRSN2",-0.312424637709636,5.84389030335239e-05,0.0106383919617947
