"","query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents"
"3","down",TRUE,4.94886042054265e-18,215,554,43,0.0776173285198556,0.2,"GO:0000819","GO:BP","sister chromatid segregation",16178,239,"GO:0051276, GO:0098813"
"4","down",TRUE,5.76981225008359e-18,176,554,39,0.0703971119133574,0.221590909090909,"GO:0000070","GO:BP","mitotic sister chromatid segregation",16178,25,"GO:0000819, GO:0140014, GO:1903047"
"5","down",TRUE,1.94930282828474e-16,250,554,44,0.0794223826714801,0.176,"GO:0140014","GO:BP","mitotic nuclear division",16178,20198,"GO:0000280, GO:1903047"
"6","down",TRUE,1.99708594835114e-16,275,554,46,0.0830324909747292,0.167272727272727,"GO:0098813","GO:BP","nuclear chromosome segregation",16178,19446,"GO:0007059"
"7","down",TRUE,2.32657148973436e-15,70,554,24,0.0433212996389892,0.342857142857143,"GO:1905818","GO:BP","regulation of chromosome separation",16178,25589,"GO:0051304, GO:0051983"
"4880","down",TRUE,8.91715941908859e-15,228,451,43,0.0953436807095344,0.18859649122807,"REAC:R-HSA-68882","REAC","Mitotic Anaphase",10842,1432,"REAC:R-HSA-2555396"
"4881","down",TRUE,8.91715941908859e-15,229,451,43,0.0953436807095344,0.187772925764192,"REAC:R-HSA-2555396","REAC","Mitotic Metaphase and Anaphase",10842,1435,"REAC:R-HSA-68886"
"4882","down",TRUE,8.91715941908859e-15,188,451,39,0.0864745011086474,0.207446808510638,"REAC:R-HSA-2467813","REAC","Separation of Sister Chromatids",10842,2136,"REAC:R-HSA-68882"
"10","down",TRUE,1.44326383892109e-14,76,554,24,0.0433212996389892,0.315789473684211,"GO:0051304","GO:BP","chromosome separation",16178,14083,"GO:0007059, GO:0022402"
"11","down",TRUE,4.68358733186487e-14,360,554,49,0.0884476534296029,0.136111111111111,"GO:0007059","GO:BP","chromosome segregation",16178,2689,"GO:0022402"
"12","down",TRUE,4.98274739609975e-14,124,554,29,0.0523465703971119,0.233870967741935,"GO:0051983","GO:BP","regulation of chromosome segregation",16178,14503,"GO:0007059, GO:0010564"
"14","down",TRUE,2.42374982216257e-13,377,554,49,0.0884476534296029,0.129973474801061,"GO:0000280","GO:BP","nuclear division",16178,79,"GO:0048285"
"15","down",TRUE,2.84114557363384e-13,56,554,20,0.036101083032491,0.357142857142857,"GO:0010965","GO:BP","regulation of mitotic sister chromatid separation",16178,4599,"GO:0051306, GO:1905818"
"16","down",TRUE,5.87521177518578e-13,58,554,20,0.036101083032491,0.344827586206897,"GO:0051306","GO:BP","mitotic sister chromatid separation",16178,14085,"GO:0000070, GO:0051304, GO:1903047"
"17","down",TRUE,8.78173356574036e-13,160,554,31,0.055956678700361,0.19375,"GO:0009060","GO:BP","aerobic respiration",16178,3273,"GO:0045333"
"18","down",TRUE,1.55044703930351e-12,186,554,33,0.0595667870036101,0.17741935483871,"GO:0045333","GO:BP","cellular respiration",16178,11755,"GO:0015980"
"4883","down",TRUE,2.02730108531468e-12,289,451,45,0.0997782705099778,0.155709342560554,"REAC:R-HSA-69620","REAC","Cell Cycle Checkpoints",10842,314,"REAC:R-HSA-1640170"
"4884","down",TRUE,3.05261274231399e-12,406,451,54,0.119733924611973,0.133004926108374,"REAC:R-HSA-68886","REAC","M Phase",10842,1305,"REAC:R-HSA-69278"
"19","down",TRUE,3.76150099516595e-12,422,554,50,0.0902527075812274,0.118483412322275,"GO:0048285","GO:BP","organelle fission",16178,13052,"GO:0006996"
"20","down",TRUE,3.76150099516595e-12,378,554,47,0.0848375451263538,0.124338624338624,"GO:0006091","GO:BP","generation of precursor metabolites and energy",16178,1974,"GO:0044237"
"21","down",TRUE,5.41138589839445e-12,90,554,23,0.0415162454873646,0.255555555555556,"GO:0007091","GO:BP","metaphase/anaphase transition of mitotic cell cycle",16178,2706,"GO:0044772, GO:0044784"
"22","down",TRUE,8.64531614754511e-12,92,554,23,0.0415162454873646,0.25,"GO:0044784","GO:BP","metaphase/anaphase transition of cell cycle",16178,11544,"GO:0033045, GO:0044770"
"23","down",TRUE,1.78141815006162e-11,86,554,22,0.0397111913357401,0.255813953488372,"GO:0030071","GO:BP","regulation of mitotic metaphase/anaphase transition",16178,6908,"GO:0007091, GO:1901990, GO:1902099"
"24","down",TRUE,2.37454501874979e-11,106,554,24,0.0433212996389892,0.226415094339623,"GO:0007088","GO:BP","regulation of mitotic nuclear division",16178,2704,"GO:0007346, GO:0010564, GO:0051783, GO:0140014"
"25","down",TRUE,2.50372833438314e-11,370,554,45,0.0812274368231047,0.121621621621622,"GO:0044772","GO:BP","mitotic cell cycle phase transition",16178,11536,"GO:0044770, GO:1903047"
"26","down",TRUE,2.63804069035017e-11,88,554,22,0.0397111913357401,0.25,"GO:1902099","GO:BP","regulation of metaphase/anaphase transition of cell cycle",16178,22553,"GO:0033045, GO:0044784, GO:1901987"
"27","down",TRUE,3.12892833384171e-11,465,554,51,0.092057761732852,0.109677419354839,"GO:0044770","GO:BP","cell cycle phase transition",16178,11534,"GO:0022402"
"28","down",TRUE,3.69730891331943e-11,99,554,23,0.0415162454873646,0.232323232323232,"GO:0033045","GO:BP","regulation of sister chromatid segregation",16178,8280,"GO:0000819, GO:0033044, GO:0051983"
"31","down",TRUE,9.99890381479213e-11,285,554,38,0.0685920577617329,0.133333333333333,"GO:1901990","GO:BP","regulation of mitotic cell cycle phase transition",16178,22459,"GO:0007346, GO:0044772, GO:1901987"
"32","down",TRUE,1.43138233574555e-10,376,554,44,0.0794223826714801,0.117021276595745,"GO:1901987","GO:BP","regulation of cell cycle phase transition",16178,22456,"GO:0010564, GO:0044770"
"33","down",TRUE,1.55270842293746e-10,127,554,25,0.0451263537906137,0.196850393700787,"GO:0006119","GO:BP","oxidative phosphorylation",16178,1997,"GO:0009060"
"6102","down",TRUE,1.68601817685282e-10,89,366,24,0.0655737704918033,0.269662921348315,"WP:WP2446","WP","Retinoblastoma gene in cancer",8286,117,"WP:000000"
