"","logFC","PValue","FDR"
"FADD",1.03942832789015,2.80118297647466e-07,0.00297669950967777
"FTH1",1.2325018348081,2.91290684966999e-07,0.00297669950967777
"CEBPB",0.63657887179832,7.2239708179789e-07,0.00376216509756365
"CEBPD",1.06914172855561,1.07825218787091e-06,0.00376216509756365
"JUND",0.952273649579972,1.47261575401258e-06,0.00376216509756365
"JUNB",0.939223319486977,3.19304102955785e-06,0.00593267023291848
"RNF103",0.522481705443424,4.23465333682482e-06,0.00678735615738677
"RDH10",0.452200695870994,4.31723407603621e-06,0.00678735615738677
"CLDN23",1.41707812643483,4.78209793109588e-06,0.00688032150098978
"NFKBIA",0.563938930734076,5.38629729013781e-06,0.00688032150098978
"ZBTB1",0.448568338576495,7.57190583716205e-06,0.00777695439661651
"TLNRD1",0.639094587335092,8.11133892246395e-06,0.00777695439661651
"FEM1A",2.63509557309402,8.68181093672728e-06,0.00777695439661651
"PMEPA1",0.474900469888217,8.924031598138e-06,0.00777695439661651
"CXCL3",0.831146111555664,8.93388304258579e-06,0.00777695439661651
"IRS2",0.81706304072617,8.99414029889258e-06,0.00777695439661651
"CTU1",0.943816486858633,9.51286133258699e-06,0.00777695439661651
"NOP53",0.408160826766062,1.10925727501658e-05,0.00839666673584774
"ZFPM1",0.875914616083686,1.20457594234423e-05,0.00867069906636245
"DUSP16",0.61495106944946,1.2635494925922e-05,0.00867069906636245
"PELI2",0.670763828984219,1.27273202852957e-05,0.00867069906636245
"DIDO1",0.405310753746577,1.4319582510282e-05,0.00902945303434867
"PRR7",0.990854249381542,1.5579227399233e-05,0.00909737855958638
"RPS2P5",0.607737161704501,1.63226764732851e-05,0.00926674616002781
"FAT1",0.357611081231389,1.7152852126288e-05,0.00932683235159572
"REL",0.839337068381056,1.74997706448856e-05,0.00932683235159572
"BCL3",0.493164783435752,1.8065888300937e-05,0.00932683235159572
"RHOB",0.423563981772187,1.9628068225325e-05,0.0095427829918026
"ZFP36L2",0.746481728138563,2.13140924660065e-05,0.0095427829918026
"TET3",0.57926324058484,2.19449457194795e-05,0.0095427829918026
"GET4",1.26458544578067,2.52680874935574e-05,0.00958234048147903
"SIPA1L2",0.935563235617124,2.70348245234882e-05,0.00958234048147903
"JMJD1C",0.547748997045887,2.76292991528492e-05,0.00958234048147903
"HECA",0.782669320677878,2.76952599307879e-05,0.00958234048147903
"PTGS2",0.743791259825329,2.92174131634402e-05,0.00958234048147903
"RIPK2",0.474985199092552,3.06525284812043e-05,0.00958234048147903
"ZNF703",0.619091855388588,3.18930499485486e-05,0.00958234048147903
"DNAH3",1.45697177014368,3.27995562121681e-05,0.00958234048147903
"UQCRFS1P1",1.35052166958816,3.29395203598057e-05,0.00958234048147903
"JMY",0.456591837437033,3.35015352323414e-05,0.00958234048147903
"ZNF219",0.684497261508239,3.37980296380411e-05,0.00958234048147903
"SQSTM1",0.396836779042321,3.38679086650786e-05,0.00958234048147903
"KDM7A",0.80479789243008,3.38856304669913e-05,0.00958234048147903
"SKIL",0.453101682983727,3.45189977215563e-05,0.00958234048147903
"WSB1",0.407206728796473,3.55747980510873e-05,0.00958234048147903
"ANTKMT",0.651887219316157,3.56863992564991e-05,0.00958234048147903
"MAN1B1-DT",2.13555265739924,3.57954804880178e-05,0.00958234048147903
"PNRC1",0.413535312734974,3.59497099586044e-05,0.00958234048147903
"BORCS6",0.559762773713806,3.59784896706081e-05,0.00958234048147903
"CHIC2",0.669812159762918,3.73765662479364e-05,0.00972169503844774
"ZNF787",0.523878860180453,3.84927794230024e-05,0.00972169503844774
"PPP1R13L",0.786421988496958,3.93003257423861e-05,0.00972169503844774
"NFKB1",0.387658362783335,3.94177475178826e-05,0.00972169503844774
"RPS2",0.317546222127265,4.2007891396724e-05,0.0101006739337205
"PDLIM3",2.51721518859637,4.28298033164091e-05,0.0101476777545886
"MORC3",0.429076882280005,4.32087117752748e-05,0.0101476777545886
"LARP6",0.414011233777479,4.36929074470985e-05,0.0101476777545886
"KDM6A",0.602650268923508,4.42446321460788e-05,0.0101603572112535
"TMEM160",1.18726160641162,4.49585272475562e-05,0.010194925336403
"TRIR",0.646221335984968,4.73464599317458e-05,0.0105171049778817
"MGAT2",1.25688649092567,4.79081608949631e-05,0.0105171049778817
"ZFAND5",0.354466957326539,4.9335539826899e-05,0.0105171049778817
"RELB",0.675410788620394,5.00536995897779e-05,0.0105171049778817
"TUSC1",0.538684321086642,5.2542032769256e-05,0.0105171049778817
"NFKBIZ",0.669565066147895,5.26965894813254e-05,0.0105171049778817
"CREBRF",0.830023318755503,5.30023394031615e-05,0.0105171049778817
"RBM33",0.362099720258402,5.42950749849687e-05,0.0105684070718361
"ZNF580",0.59773955971718,5.65267281334357e-05,0.0106231124199866
"KDM7A-DT",0.934522895013447,5.66829973528405e-05,0.0106231124199866
"NORAD",0.315331238499428,5.70479643994667e-05,0.0106231124199866
"NAV2",0.498144596758009,5.73856235109834e-05,0.0106231124199866
"KDM6B",0.930211225554545,5.76947587150659e-05,0.0106231124199866
"KDM3A",0.483099879326927,5.88187832313727e-05,0.0106383919617947
"SIRT1",0.541890236468445,5.9394350374633e-05,0.0106482608154101
"ITGA2",0.407116369490318,6.00046232170138e-05,0.0106641259939942
"SDHAF1",0.458838017385395,6.26970561664187e-05,0.0108869001776305
"TNFAIP3",0.870108767378744,6.28561611195028e-05,0.0108869001776305
"ZFC3H1",0.462508528317151,6.36608455447766e-05,0.0109086284965638
"OGFR",0.437360074604187,6.65702553114732e-05,0.0109086284965638
"FJX1",0.467729484477896,6.68904904412745e-05,0.0109086284965638
"FOXO3",0.653621330968813,6.69020525506897e-05,0.0109086284965638
"BHLHE40",0.425754264664191,6.79247837220071e-05,0.0109086284965638
"KLF5",0.356765336401191,6.80480351404143e-05,0.0109086284965638
"ZBTB10",0.571617010589389,7.08030845980761e-05,0.0109086284965638
