"","query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents"
"6694","up",TRUE,5.02968998028432e-10,434,1291,78,0.0604182804027885,0.179723502304147,"GO:0045596","GO:BP","negative regulation of cell differentiation",16178,11843,"GO:0030154, GO:0045595, GO:0048523, GO:0051093"
"6697","up",TRUE,7.53115776193104e-10,207,1291,48,0.0371804802478699,0.231884057971014,"GO:0071559","GO:BP","response to transforming growth factor beta",16178,17262,"GO:0070848"
"6707","up",TRUE,2.96026155649393e-09,201,1291,46,0.0356312935708753,0.228855721393035,"GO:0071560","GO:BP","cellular response to transforming growth factor beta stimulus",16178,17263,"GO:0071363, GO:0071559"
"6709","up",TRUE,3.51384697947496e-09,92,1291,29,0.0224632068164214,0.315217391304348,"GO:0010586","GO:BP","miRNA metabolic process",16178,4284,"GO:0034660"
"6710","up",TRUE,4.05133671523965e-09,175,1291,42,0.0325329202168861,0.24,"GO:0007179","GO:BP","transforming growth factor beta receptor signaling pathway",16178,2772,"GO:0071560, GO:0141091"
"6715","up",TRUE,5.86131855300943e-09,77,1291,26,0.0201394268009295,0.337662337662338,"GO:2000628","GO:BP","regulation of miRNA metabolic process",16178,26594,"GO:0010586, GO:0051252"
"6721","up",TRUE,3.13833754414482e-08,474,1291,78,0.0604182804027885,0.164556962025316,"GO:0009896","GO:BP","positive regulation of catabolic process",16178,3794,"GO:0009056, GO:0009893, GO:0009894"
"6724","up",TRUE,6.22298134440151e-08,122,1291,32,0.0247869868319132,0.262295081967213,"GO:0017015","GO:BP","regulation of transforming growth factor beta receptor signaling pathway",16178,5339,"GO:0007179, GO:0090092, GO:1903844"
"6725","up",TRUE,6.75458064645445e-08,363,1291,64,0.0495739736638265,0.176308539944904,"GO:0043161","GO:BP","proteasome-mediated ubiquitin-dependent protein catabolic process",16178,10914,"GO:0006511, GO:0010498"
"6726","up",TRUE,9.53347593946427e-08,124,1291,32,0.0247869868319132,0.258064516129032,"GO:1903844","GO:BP","regulation of cellular response to transforming growth factor beta stimulus",16178,23925,"GO:0071560, GO:0090287"
"6727","up",TRUE,1.32646680062237e-07,463,1291,75,0.0580945003872967,0.161987041036717,"GO:0010498","GO:BP","proteasomal protein catabolic process",16178,4224,"GO:0030163, GO:0051603"
"6729","up",TRUE,1.81425016142663e-07,89,1291,26,0.0201394268009295,0.292134831460674,"GO:0045598","GO:BP","regulation of fat cell differentiation",16178,11845,"GO:0045444, GO:0045595"
"6733","up",TRUE,3.41315277833285e-07,144,1291,34,0.0263361735089078,0.236111111111111,"GO:0045444","GO:BP","fat cell differentiation",16178,11772,"GO:0030154"
"6736","up",TRUE,4.74887638309046e-07,274,1291,51,0.0395042602633617,0.186131386861314,"GO:0141091","GO:BP","transforming growth factor beta receptor superfamily signaling pathway",16178,20587,"GO:0007178"
"6738","up",TRUE,8.91914528051246e-07,216,1291,43,0.0333075135553834,0.199074074074074,"GO:0090092","GO:BP","regulation of transmembrane receptor protein serine/threonine kinase signaling pathway",16178,18539,"GO:0007178, GO:0009966"
"6739","up",TRUE,1.06330822353194e-06,297,1291,53,0.0410534469403563,0.178451178451178,"GO:0030522","GO:BP","intracellular receptor signaling pathway",16178,7073,"GO:0007165"
"6740","up",TRUE,1.07904845653321e-06,289,1291,52,0.040278853601859,0.179930795847751,"GO:0007178","GO:BP","transmembrane receptor protein serine/threonine kinase signaling pathway",16178,2771,"GO:0007167"
"6741","up",TRUE,1.27905159542493e-06,409,1291,66,0.0511231603408211,0.161369193154034,"GO:0071396","GO:BP","cellular response to lipid",16178,17148,"GO:0033993, GO:0071310"
"6742","up",TRUE,1.29037528537939e-06,117,1291,29,0.0224632068164214,0.247863247863248,"GO:0035966","GO:BP","response to topologically incorrect protein",16178,9691,"GO:0006950, GO:0010033"
"6744","up",TRUE,1.82364349617763e-06,466,1291,72,0.0557707203718048,0.15450643776824,"GO:1902532","GO:BP","negative regulation of intracellular signal transduction",16178,22896,"GO:0009968, GO:0035556, GO:1902531"
"14843","up",TRUE,1.86655516391744e-06,430,644,69,0.107142857142857,0.16046511627907,"WP:WP3888","WP","VEGFA VEGFR2 signaling",8286,286,"WP:000000"
"6745","up",TRUE,1.96588978067029e-06,278,1291,50,0.0387296669248644,0.179856115107914,"GO:0007249","GO:BP","canonical NF-kappaB signal transduction",16178,2816,"GO:0141124"
"6746","up",TRUE,2.02389145084265e-06,254,1291,47,0.0364058869093726,0.18503937007874,"GO:0090287","GO:BP","regulation of cellular response to growth factor stimulus",16178,18701,"GO:0048583, GO:0071363"
"6751","up",TRUE,2.21773517368281e-06,442,1291,69,0.0534469403563129,0.156108597285068,"GO:0006338","GO:BP","chromatin remodeling",16178,2149,"GO:0006325"
"6753","up",TRUE,2.80519493186801e-06,82,1291,23,0.0178156467854376,0.280487804878049,"GO:0030512","GO:BP","negative regulation of transforming growth factor beta receptor signaling pathway",16178,7065,"GO:0007179, GO:0017015, GO:0090101"
"6755","up",TRUE,3.06924678609186e-06,437,1291,68,0.0526723470178156,0.155606407322654,"GO:0080135","GO:BP","regulation of cellular response to stress",16178,18339,"GO:0033554, GO:0050794, GO:0080134"
"14844","up",TRUE,4.42177266593144e-06,50,644,18,0.0279503105590062,0.36,"WP:WP5373","WP","Role of hypoxia angiogenesis and FGF pathway in OA chondrocyte hypertrophy",8286,780,"WP:000000"
"6759","up",TRUE,4.96288296121072e-06,104,1291,26,0.0201394268009295,0.25,"GO:0006986","GO:BP","response to unfolded protein",16178,2639,"GO:0035966"
"6760","up",TRUE,5.06148953199939e-06,381,1291,61,0.0472501936483346,0.16010498687664,"GO:0043065","GO:BP","positive regulation of apoptotic process",16178,10861,"GO:0006915, GO:0042981, GO:0043068"
"6761","up",TRUE,5.53127901572671e-06,85,1291,23,0.0178156467854376,0.270588235294118,"GO:0140747","GO:BP","regulation of ncRNA transcription",16178,20454,"GO:0006355, GO:0098781"
"13382","up",TRUE,7.9167583328822e-06,82,820,23,0.0280487804878049,0.280487804878049,"REAC:R-HSA-168928","REAC","DDX58/IFIH1-mediated induction of interferon-alpha/beta",10842,422,"REAC:R-HSA-168249"
"6765","up",TRUE,8.79452488892361e-06,51,1291,17,0.0131680867544539,0.333333333333333,"GO:0032648","GO:BP","regulation of interferon-beta production",16178,7971,"GO:0032479, GO:0032608"
"6766","up",TRUE,8.79452488892361e-06,51,1291,17,0.0131680867544539,0.333333333333333,"GO:0032608","GO:BP","interferon-beta production",16178,7932,"GO:0032606"
"6767","up",TRUE,9.0186651096206e-06,121,1291,28,0.0216886134779241,0.231404958677686,"GO:0098781","GO:BP","ncRNA transcription",16178,19437,"GO:0006351, GO:0034660"
"6768","up",TRUE,9.3579548269726e-06,310,1291,52,0.040278853601859,0.167741935483871,"GO:0031331","GO:BP","positive regulation of cellular catabolic process",16178,7380,"GO:0009896, GO:0031325, GO:0031329, GO:0044248"
"14845","up",TRUE,1.00713940798949e-05,131,644,30,0.046583850931677,0.229007633587786,"WP:WP366","WP","TGF beta signaling pathway",8286,252,"WP:000000"
"6770","up",TRUE,1.09036291548428e-05,166,1291,34,0.0263361735089078,0.204819277108434,"GO:0071356","GO:BP","cellular response to tumor necrosis factor",16178,17108,"GO:0034612, GO:0071345"
"6771","up",TRUE,1.20658667214897e-05,182,1291,36,0.0278853601859024,0.197802197802198,"GO:0034612","GO:BP","response to tumor necrosis factor",16178,8988,"GO:0034097"
