NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FZD1	30	26.452774047851562	0.06434017	Yes	
row_1	MMP2	37	25.394012451171875	0.12761533	Yes	
row_2	LRP1	48	23.924747467041016	0.18694153	Yes	
row_3	FSTL1	53	23.427934646606445	0.24541946	Yes	
row_4	MMP14	54	23.417184829711914	0.30413538	Yes	
row_5	ACTA2	64	22.187326431274414	0.35917142	Yes	
row_6	TCF7L1	230	14.652746200561523	0.3849822	Yes	
row_7	MMP19	268	13.780802726745605	0.41708517	Yes	
row_8	ACTG2	278	13.48021411895752	0.4502891	Yes	
row_9	APBB2	330	12.533764839172363	0.47833794	Yes	
row_10	MMP28	341	12.229292869567871	0.5083391	Yes	
row_11	MMP23B	406	11.020217895507812	0.5317318	Yes	
row_12	LRP4	420	10.626246452331543	0.5575148	Yes	
row_13	MMP16	569	8.84333610534668	0.5698852	Yes	
row_14	WNT2B	645	8.08743667602539	0.58519566	Yes	
row_15	MMP17	663	7.931945323944092	0.6039581	Yes	
row_16	FZD7	711	7.524382591247559	0.6197114	Yes	
row_17	WNT11	968	5.712507724761963	0.6170778	Yes	
row_18	APP	1014	5.454283714294434	0.6277731	Yes	
row_19	FZD2	1074	5.131906986236572	0.6367327	Yes	
row_20	WNT5A	1195	4.601298809051514	0.6403214	Yes	
row_21	NOTCH4	1200	4.584200859069824	0.65155077	Yes	
row_22	WNT4	1211	4.527511119842529	0.66224056	Yes	
row_23	WNT9A	1329	4.101891040802002	0.6647757	Yes	
row_24	MMP13	1366	3.9855713844299316	0.6723845	Yes	
row_25	LRP3	1409	3.8610830307006836	0.67928374	Yes	
row_26	WNT7A	1486	3.618502616882324	0.6833226	Yes	
row_27	RBPJ	1553	3.4496490955352783	0.6876005	Yes	
row_28	LRP6	1642	3.2390878200531006	0.6898931	Yes	
row_29	WNT2	1711	3.034649610519409	0.692998	Yes	
row_30	CTNNB1	1766	2.93108868598938	0.6967705	Yes	
row_31	NOTCH1	1832	2.7993288040161133	0.699484	Yes	
row_32	WNT7B	1833	2.7960402965545654	0.70649475	Yes	
row_33	TRIM2	1845	2.7673261165618896	0.7127049	Yes	
row_34	APBB1	1877	2.6799256801605225	0.7173711	Yes	
row_35	NOTCH3	1887	2.661668539047241	0.72344875	Yes	
row_36	TRPC1	1914	2.5894739627838135	0.7282194	Yes	
row_37	FZD10	1917	2.588817834854126	0.7345781	Yes	
row_38	ACTB	1949	2.52866268157959	0.738865	Yes	
row_39	TRPC6	2015	2.413455009460449	0.740611	Yes	
row_40	DVL3	2147	2.2262043952941895	0.73751575	Yes	
row_41	WNT3	2172	2.18337082862854	0.74140054	Yes	
row_42	LRP5	2175	2.1773221492767334	0.74672747	Yes	
row_43	WNT10A	2196	2.1571340560913086	0.75081146	Yes	
row_44	LEF1	2487	1.7486071586608887	0.73598677	No	
row_45	PCSK2	2749	1.4589110612869263	0.7223566	No	
row_46	FZD8	2774	1.4417717456817627	0.724382	No	
row_47	FURIN	2781	1.4346766471862793	0.72758186	No	
row_48	MMP24	2853	1.380539059638977	0.7263405	No	
row_49	MMP1	3103	1.165686845779419	0.71277	No	
row_50	ACTR2	3108	1.1626249551773071	0.7154202	No	
row_51	GSK3B	3132	1.1408756971359253	0.7167573	No	
row_52	ERN1	3154	1.1263337135314941	0.71819043	No	
row_53	ACTG1	3313	1.0249086618423462	0.7102946	No	
row_54	MMP7	3338	1.0014234781265259	0.71121585	No	
row_55	WNT5B	3445	0.9370843172073364	0.7065442	No	
row_56	GSK3A	3719	0.7834744453430176	0.69042563	No	
row_57	BACE1	4194	0.5723550319671631	0.6604638	No	
row_58	FZD9	4279	0.5304703116416931	0.65622985	No	
row_59	FZD6	4378	0.4962834417819977	0.6509829	No	
row_60	WNT6	4435	0.47087982296943665	0.64845425	No	
row_61	TCF7	4620	0.40774819254875183	0.63728875	No	
row_62	PSEN1	4636	0.403369277715683	0.6373066	No	
row_63	FZD5	4723	0.3786065876483917	0.6325594	No	
row_64	ADAM17	4815	0.35048073530197144	0.6274105	No	
row_65	CDH3	5201	0.25174596905708313	0.60253996	No	
row_66	PCSK7	5282	0.23249086737632751	0.59782386	No	
row_67	NOTCH2	5766	0.12299886345863342	0.56613916	No	
row_68	PCSK1	5936	0.0896461009979248	0.55516964	No	
row_69	TCF7L2	6182	0.04621336609125137	0.53905714	No	
row_70	APBB3	6404	0.008037107065320015	0.5244386	No	
row_71	FZD4	7104	-0.10823050141334534	0.4784094	No	
row_72	MMP25	7433	-0.16816924512386322	0.4571049	No	
row_73	NCSTN	7454	-0.1708827167749405	0.4562086	No	
row_74	DVL2	7492	-0.17675943672657013	0.45420098	No	
row_75	PCSK6	7496	-0.1776437610387802	0.4544477	No	
row_76	LRP1B	7699	-0.2192051112651825	0.4416172	No	
row_77	CD44	7795	-0.24119213223457336	0.4359293	No	
row_78	APH1B	7862	-0.2567717134952545	0.4322014	No	
row_79	MMP9	7962	-0.27696850895881653	0.42633826	No	
row_80	MMP15	8018	-0.28985923528671265	0.42342195	No	
row_81	DVL1	8212	-0.33649247884750366	0.41148168	No	
row_82	LRP2	8506	-0.40725693106651306	0.393095	No	
row_83	ERBB4	8648	-0.4440205693244934	0.3848687	No	
row_84	TRIM3	8787	-0.48072367906570435	0.3769332	No	
row_85	PSEN2	9409	-0.6670593023300171	0.33747175	No	
row_86	MMP12	9573	-0.7140726447105408	0.32846537	No	
row_87	PCSK4	9777	-0.7924550771713257	0.317006	No	
row_88	WNT3A	9837	-0.8137933611869812	0.31513843	No	
row_89	CDH1	9848	-0.8163238167762756	0.31652287	No	
row_90	JUP	9860	-0.820859968662262	0.31785247	No	
row_91	FZD3	10512	-1.0666226148605347	0.27740574	No	
row_92	KAT5	11427	-1.4851219654083252	0.2205877	No	
row_93	PSENEN	12093	-1.8703712224960327	0.18122895	No	
row_94	BACE2	13159	-2.75416898727417	0.117590904	No	
row_95	ERN2	13237	-2.821976900100708	0.119566336	No	
row_96	APH1A	14086	-3.960188627243042	0.07332596	No	
