NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BGN	6	31.933088302612305	0.06344932	Yes	
row_1	CHSY3	38	24.94453239440918	0.111269824	Yes	
row_2	VCAN	43	24.292301177978516	0.1595747	Yes	
row_3	GPC6	45	24.216798782348633	0.20792733	Yes	
row_4	CHSY1	94	20.076326370239258	0.24488834	Yes	
row_5	GALNT5	105	19.547449111938477	0.28330895	Yes	
row_6	OGN	119	19.09394073486328	0.32062414	Yes	
row_7	CHPF	157	17.370357513427734	0.35290346	Yes	
row_8	DCN	165	17.14639663696289	0.38672215	Yes	
row_9	SDC2	203	15.382715225219727	0.4150274	Yes	
row_10	XYLT1	225	14.827024459838867	0.44328144	Yes	
row_11	HSPG2	226	14.778420448303223	0.47282928	Yes	
row_12	GPC1	233	14.619424819946289	0.50166184	Yes	
row_13	OMD	239	14.511360168457031	0.53034455	Yes	
row_14	CSPG4	293	13.33823013305664	0.55350226	Yes	
row_15	B3GNT9	309	12.970523834228516	0.5784418	Yes	
row_16	LUM	313	12.807376861572266	0.60385007	Yes	
row_17	SDC1	356	11.86196517944336	0.62478477	Yes	
row_18	ANGPT1	359	11.774910926818848	0.64819497	Yes	
row_19	B3GALT2	423	10.60048770904541	0.6652165	Yes	
row_20	NDST1	564	8.898359298706055	0.6737344	Yes	
row_21	HAS1	648	8.064167022705078	0.6843601	Yes	
row_22	CHST15	670	7.875626087188721	0.6987155	Yes	
row_23	HS2ST1	684	7.767768859863281	0.7133852	Yes	
row_24	HAS2	752	7.180466651916504	0.72330385	Yes	
row_25	HS3ST2	777	6.976247787475586	0.73566234	Yes	
row_26	DSE	780	6.962409973144531	0.7494505	Yes	
row_27	FMOD	897	6.104105472564697	0.75397134	Yes	
row_28	ACAN	1125	4.880951881408691	0.7486942	Yes	
row_29	EXT1	1146	4.781523704528809	0.7569295	Yes	
row_30	CHST14	1193	4.605384826660156	0.76309055	Yes	
row_31	CHST3	1243	4.425134658813477	0.76869243	Yes	
row_32	DSEL	1249	4.402209281921387	0.77716297	Yes	
row_33	HS3ST3B1	1490	3.6044652462005615	0.76847255	Yes	
row_34	ST3GAL2	1511	3.5466532707214355	0.77423894	Yes	
row_35	CSGALNACT2	1638	3.252164363861084	0.77239525	Yes	
row_36	ST3GAL1	1671	3.1421284675598145	0.776558	Yes	
row_37	PRELP	1759	2.9452505111694336	0.7766839	Yes	
row_38	CHST11	1802	2.8624634742736816	0.7796251	Yes	
row_39	UGDH	1862	2.7246322631835938	0.78116465	Yes	
row_40	CHPF2	2091	2.301398277282715	0.77066374	No	
row_41	GLCE	2123	2.254446029663086	0.77311784	No	
row_42	B3GNT7	2130	2.2484540939331055	0.77721596	No	
row_43	CHST7	2235	2.0999934673309326	0.7745259	No	
row_44	GPC2	2296	1.9879202842712402	0.77452624	No	
row_45	GPC3	2485	1.7506052255630493	0.76557356	No	
row_46	HAS3	2605	1.6216539144515991	0.7609335	No	
row_47	HYAL1	2611	1.6146622896194458	0.76383066	No	
row_48	HS6ST1	2776	1.4416173696517944	0.75584996	No	
row_49	HS3ST6	2838	1.3946137428283691	0.7545978	No	
row_50	ST3GAL3	3024	1.224420428276062	0.7447918	No	
row_51	CSGALNACT1	3117	1.1566946506500244	0.74101055	No	
row_52	AGRN	3293	1.0376192331314087	0.7314935	No	
row_53	B3GALT6	3344	0.9961321353912354	0.7301732	No	
row_54	XYLT2	3372	0.9774391651153564	0.73033905	No	
row_55	ABCC5	3633	0.8354161381721497	0.7147874	No	
row_56	CHST1	3635	0.8342443108558655	0.7163891	No	
row_57	B3GNT8	3707	0.7942022681236267	0.7132741	No	
row_58	B4GALT5	3789	0.7465162873268127	0.7094014	No	
row_59	HS3ST1	3791	0.7462683320045471	0.71082723	No	
row_60	HS6ST2	3801	0.7400386929512024	0.71171075	No	
row_61	EXT2	3897	0.6950566172599792	0.7068078	No	
row_62	UST	3918	0.6861732006072998	0.70685494	No	
row_63	NDST2	4226	0.5591892600059509	0.6876378	No	
row_64	HS3ST3A1	4245	0.547617495059967	0.6875404	No	
row_65	B4GALT4	4732	0.37678882479667664	0.65610194	No	
row_66	CHST2	4812	0.3509941101074219	0.6515709	No	
row_67	B4GALT6	5218	0.24768225848674774	0.6252396	No	
row_68	CHST12	5555	0.1699853539466858	0.6033234	No	
row_69	B3GALT5	5829	0.11049353331327438	0.58546126	No	
row_70	B4GALT7	5875	0.10154125094413757	0.58268356	No	
row_71	GPC4	5899	0.09680550545454025	0.5813536	No	
row_72	B4GALT2	6362	0.014004669152200222	0.5507795	No	
row_73	BCAN	6384	0.011544773355126381	0.5494116	No	
row_74	CHST9	6413	0.006808461155742407	0.5475705	No	
row_75	CHST13	6577	-0.02054089866578579	0.53681475	No	
row_76	B3GNT3	6592	-0.022864554077386856	0.53593314	No	
row_77	ST3GAL4	6845	-0.06291436403989792	0.51936686	No	
row_78	SLC35D2	7279	-0.13729600608348846	0.49096018	No	
row_79	B4GALT3	7300	-0.1435554027557373	0.48992243	No	
row_80	IL1B	7575	-0.1945103108882904	0.47216204	No	
row_81	B4GALT1	8083	-0.3034268915653229	0.43918586	No	
row_82	B3GALT1	8497	-0.40605998039245605	0.41264132	No	
