NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ANGPTL2	3	32.508758544921875	0.040327586	Yes	
row_1	LOXL2	15	28.417787551879883	0.075023435	Yes	
row_2	CALD1	16	28.366819381713867	0.110386886	Yes	
row_3	PDGFRB	32	25.875194549560547	0.14164715	Yes	
row_4	THBS1	36	25.442819595336914	0.17316599	Yes	
row_5	JAM3	100	19.67061424255371	0.19350089	Yes	
row_6	ITGA5	116	19.25518226623535	0.21650833	Yes	
row_7	SERPINE1	126	18.914012908935547	0.23948924	Yes	
row_8	PDGFRA	183	16.13265037536621	0.25587884	Yes	
row_9	SLIT2	194	15.744550704956055	0.27484205	Yes	
row_10	BMP4	205	15.356771469116211	0.29332188	Yes	
row_11	COL4A1	228	14.725882530212402	0.31021762	Yes	
row_12	PLXDC1	232	14.632184028625488	0.32825938	Yes	
row_13	RECK	261	13.869429588317871	0.3436886	Yes	
row_14	SFRP2	275	13.555318832397461	0.35972324	Yes	
row_15	TGFBR2	302	13.124903678894043	0.37435725	Yes	
row_16	ROBO4	317	12.750753402709961	0.3893224	Yes	
row_17	SCG2	352	12.010629653930664	0.40203556	Yes	
row_18	AMOTL1	355	11.875977516174316	0.41670778	Yes	
row_19	ANGPT1	359	11.774910926818848	0.43118757	Yes	
row_20	ANGPTL1	374	11.489616394042969	0.44458053	Yes	
row_21	EGR3	395	11.198234558105469	0.45721143	Yes	
row_22	TBX1	450	10.256366729736328	0.46640828	Yes	
row_23	TEK	455	10.186569213867188	0.47884148	Yes	
row_24	COL15A1	481	9.83417797088623	0.48943958	Yes	
row_25	PGF	487	9.7409029006958	0.50125074	Yes	
row_26	HEY1	563	8.902027130126953	0.5073634	Yes	
row_27	TGFBI	571	8.830119132995605	0.5179061	Yes	
row_28	NR4A1	573	8.796849250793457	0.52880627	Yes	
row_29	COL18A1	585	8.63586139678955	0.538841	Yes	
row_30	PLXND1	592	8.59321117401123	0.54915494	Yes	
row_31	BMPER	595	8.580376625061035	0.55971867	Yes	
row_32	PARVA	606	8.454581260681152	0.5695939	Yes	
row_33	CCBE1	609	8.44527816772461	0.57998925	Yes	
row_34	TIE1	614	8.397281646728516	0.59019184	Yes	
row_35	S1PR1	641	8.15216064453125	0.5986266	Yes	
row_36	AMOTL2	676	7.820689678192139	0.60611635	Yes	
row_37	VEGFC	689	7.7118144035339355	0.61493266	Yes	
row_38	APOD	695	7.674160480499268	0.6241673	Yes	
row_39	PTPRB	709	7.533153057098389	0.6326944	Yes	
row_40	SEMA5A	718	7.478938102722168	0.6414863	Yes	
row_41	GREM1	754	7.172321796417236	0.64810133	Yes	
row_42	THY1	775	6.986418724060059	0.6554816	Yes	
row_43	TCF21	803	6.734614372253418	0.6620827	Yes	
row_44	VASH1	820	6.6090617179870605	0.66925836	Yes	
row_45	ENG	868	6.283934116363525	0.67396826	Yes	
row_46	DLL1	914	6.022837162017822	0.6784856	Yes	
row_47	KDR	920	5.996771812438965	0.6856291	Yes	
row_48	NRP2	930	5.953973770141602	0.6924534	Yes	
row_49	ACVRL1	935	5.893024444580078	0.69953406	Yes	
row_50	FLT4	943	5.844476699829102	0.7063548	Yes	
row_51	AMOT	972	5.692261695861816	0.71159	Yes	
row_52	CALCRL	1050	5.255730152130127	0.713024	Yes	
row_53	NOTCH4	1200	4.584200859069824	0.7088353	Yes	
row_54	HOXA3	1220	4.498856067657471	0.7131809	Yes	
row_55	NRCAM	1242	4.428866386413574	0.7173063	Yes	
row_56	TGFBR1	1259	4.355206489562988	0.7216723	Yes	
row_57	EPHB4	1296	4.236883163452148	0.72456133	Yes	
row_58	MYH9	1356	4.023057460784912	0.72565514	Yes	
row_59	FGF2	1394	3.8962290287017822	0.7280531	Yes	
row_60	MCAM	1404	3.8733699321746826	0.7322836	Yes	
row_61	ANXA2	1408	3.86177396774292	0.7368985	Yes	
row_62	APOLD1	1444	3.746413469314575	0.73924255	Yes	
row_63	CD34	1464	3.6945176124572754	0.7425855	Yes	
row_64	CDH13	1465	3.6944029331207275	0.7471911	Yes	
row_65	RAMP2	1504	3.5603370666503906	0.7491038	Yes	
row_66	RORA	1525	3.509084463119507	0.75214905	Yes	
row_67	RBPJ	1553	3.4496490955352783	0.75465494	Yes	
row_68	EFNB2	1560	3.4236998558044434	0.7585243	Yes	
row_69	DLL4	1580	3.386364698410034	0.761483	Yes	
row_70	EPHB2	1651	3.2064948081970215	0.76082766	Yes	
row_71	CTNNB1	1766	2.93108868598938	0.7569044	Yes	
row_72	CLIC4	1871	2.7022361755371094	0.75336057	Yes	
row_73	PDGFA	1895	2.641733407974243	0.75512516	Yes	
row_74	NRP1	1903	2.623079538345337	0.7579299	Yes	
row_75	RAMP3	1922	2.5827038288116455	0.75995326	Yes	
row_76	ENPEP	1933	2.5548479557037354	0.7624736	Yes	
row_77	ROBO1	2192	2.1602590084075928	0.7480181	No	
row_78	EPHB3	2206	2.145613193511963	0.7498289	No	
row_79	ID1	2246	2.0815064907073975	0.74983156	No	
row_80	LEPR	2303	1.9824498891830444	0.7485808	No	
row_81	GATA2	2304	1.982423186302185	0.7510522	No	
row_82	GAB1	2389	1.8725560903549194	0.74780333	No	
row_83	MED1	2393	1.8696733713150024	0.7499348	No	
row_84	PTK2	2492	1.7443764209747314	0.74559563	No	
row_85	SRF	2602	1.6272432804107666	0.7403793	No	
row_86	JAG1	2936	1.3094996213912964	0.71987814	No	
row_87	ANGPT2	2989	1.2580138444900513	0.71799016	No	
row_88	ITGB3	3282	1.044735074043274	0.6998841	No	
row_89	ACTG1	3313	1.0249086618423462	0.69916785	No	
row_90	HOXA7	3450	0.9349771738052368	0.69129384	No	
row_91	HOXB13	3505	0.8975317478179932	0.6888235	No	
row_92	SIRT1	3696	0.7992960214614868	0.6771912	No	
row_93	GJA5	3778	0.7502085566520691	0.6727426	No	
row_94	SLC12A6	3927	0.6827168464660645	0.66375655	No	
row_95	NCL	4223	0.5603067874908447	0.6448472	No	
row_96	COL22A1	4852	0.34072402119636536	0.6035305	No	
row_97	ACVR1	4971	0.30840933322906494	0.5960719	No	
row_98	GPLD1	5077	0.2808600962162018	0.58944297	No	
row_99	HOXB3	5103	0.2736872434616089	0.5881225	No	
row_100	NRARP	5177	0.25779739022254944	0.58359176	No	
row_101	ADIPOR2	5280	0.23286937177181244	0.57710236	No	
row_102	PKNOX1	5325	0.2221318930387497	0.5744547	No	
row_103	SRPK2	5855	0.10575272887945175	0.5394254	No	
row_104	FGFR2	5949	0.08722729235887527	0.5333527	No	
row_105	ESM1	6208	0.041356660425662994	0.5162557	No	
row_106	MIA3	6394	0.009712928906083107	0.50397134	No	
row_107	ANG	6610	-0.02502172812819481	0.4897121	No	
row_108	VEGFB	6790	-0.05203346535563469	0.47787932	No	
row_109	IL18	7004	-0.09086455404758453	0.46383506	No	
row_110	EIF2AK3	7098	-0.10738266259431839	0.45778745	No	
row_111	ITGAV	7105	-0.10874374955892563	0.45752424	No	
row_112	PTK2B	7394	-0.16116754710674286	0.43858257	No	
row_113	HMOX1	7535	-0.1864527463912964	0.4295096	No	
row_114	C1GALT1	7779	-0.23798398673534393	0.41365474	No	
row_115	VEGFA	7843	-0.25132274627685547	0.40978062	No	
row_116	MEIS1	7996	-0.2842671573162079	0.40003198	No	
row_117	AKT1	8031	-0.292983740568161	0.39813733	No	
row_118	RSPO3	8689	-0.45575088262557983	0.3550365	No	
row_119	ADM2	8895	-0.5088333487510681	0.34204504	No	
row_120	EPHB1	8935	-0.5189220309257507	0.34009975	No	
row_121	JMJD6	9170	-0.5889505743980408	0.3252806	No	
row_122	PRKX	9208	-0.601754903793335	0.3235715	No	
row_123	YJEFN3	9250	-0.6137040257453918	0.3216114	No	
row_124	CCL2	9277	-0.6213082075119019	0.32065782	No	
row_125	ITGB1BP1	9567	-0.7121967673301697	0.30233663	No	
row_126	S100A7	9738	-0.7781769037246704	0.29200733	No	
row_127	PANK2	9862	-0.8213081359863281	0.28485572	No	
row_128	RAMP1	9936	-0.8483687043190002	0.28106123	No	
row_129	SOX18	10320	-0.9920164346694946	0.25684097	No	
row_130	ADAM8	10352	-1.0040876865386963	0.25603223	No	
row_131	SEMA3E	10441	-1.038356900215149	0.25147757	No	
row_132	SOX17	10601	-1.104392647743225	0.24228607	No	
row_133	TGFBR3	10608	-1.1074610948562622	0.24326788	No	
row_134	PRCP	10975	-1.279076337814331	0.22053543	No	
row_135	RASIP1	11249	-1.405104637145996	0.20414153	No	
row_136	AAMP	11395	-1.4693782329559326	0.19633557	No	
row_137	ERAP1	11698	-1.620885968208313	0.17828314	No	
row_138	PIK3R3	11952	-1.7749199867248535	0.16367961	No	
row_139	E2F7	12088	-1.8683408498764038	0.15703571	No	
row_140	PROK2	12677	-2.309262990951538	0.120831795	No	
row_141	SAT1	12796	-2.4088478088378906	0.115991645	No	
row_142	RNF213	13035	-2.639169692993164	0.10346255	No	
row_143	XBP1	13573	-3.1751949787139893	0.07172798	No	
row_144	PDCL3	13840	-3.521392822265625	0.058437627	No	
row_145	E2F8	14672	-5.2944655418396	0.009803669	No	
row_146	CASP8	14880	-6.238855361938477	0.0038226042	No	
row_147	CEACAM1	14930	-6.566140651702881	0.008751377	No	
row_148	HPSE	14974	-6.949193477630615	0.014556485	No	
