NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	COL5A1	7	31.1781005859375	0.05620602	Yes	
row_1	COL1A2	11	29.397796630859375	0.10944036	Yes	
row_2	LOXL2	15	28.417787551879883	0.16089346	Yes	
row_3	COL1A1	20	27.48004722595215	0.21057612	Yes	
row_4	COL6A3	22	27.351099014282227	0.26022252	Yes	
row_5	COL6A2	25	26.964008331298828	0.30909932	Yes	
row_6	COL3A1	27	26.716320037841797	0.35759196	Yes	
row_7	LOXL1	31	26.20947265625	0.4050313	Yes	
row_8	COL8A1	42	24.576276779174805	0.44903997	Yes	
row_9	COL6A1	55	23.202693939208984	0.49041998	Yes	
row_10	COL5A2	59	22.85744857788086	0.53176683	Yes	
row_11	LOX	115	19.259807586669922	0.563141	Yes	
row_12	PCOLCE	163	17.18509864807129	0.5912725	Yes	
row_13	COL4A2	212	15.11036205291748	0.61556697	Yes	
row_14	BMP1	213	15.095419883728027	0.64300394	Yes	
row_15	COL4A1	228	14.725882530212402	0.6688447	Yes	
row_16	COL5A3	283	13.445183753967285	0.68971646	Yes	
row_17	COL11A1	308	12.975887298583984	0.7117162	Yes	
row_18	COL4A5	316	12.779044151306152	0.73448074	Yes	
row_19	COL10A1	334	12.442176818847656	0.7559726	Yes	
row_20	PXDN	386	11.32361125946045	0.7731864	Yes	
row_21	COL9A3	431	10.494370460510254	0.78935516	Yes	
row_22	COL15A1	481	9.83417797088623	0.8039938	Yes	
row_23	COL8A2	500	9.574555397033691	0.8202076	Yes	
row_24	COL2A1	519	9.34322452545166	0.8360009	Yes	
row_25	COL18A1	585	8.63586139678955	0.8474051	Yes	
row_26	PLEC	639	8.197492599487305	0.8588048	Yes	
row_27	COL7A1	692	7.690342903137207	0.8693488	Yes	
row_28	COL27A1	808	6.71028995513916	0.87395144	Yes	
row_29	COL6A6	816	6.652199745178223	0.88558	Yes	
row_30	TLL1	1182	4.63731050491333	0.86990666	No	
row_31	MMP13	1366	3.9855713844299316	0.8650667	No	
row_32	ITGB4	1920	2.585984945297241	0.8332508	No	
row_33	LOXL3	2166	2.1927292346954346	0.8210582	No	
row_34	LAMC2	2183	2.168673515319824	0.8239434	No	
row_35	COL24A1	2691	1.5190420150756836	0.79322577	No	
row_36	MMP7	3338	1.0014234781265259	0.7523888	No	
row_37	COL9A2	4073	0.6239818930625916	0.7050548	No	
row_38	LOXL4	4164	0.5839745998382568	0.7001733	No	
row_39	LAMB3	4746	0.3721083700656891	0.6624846	No	
row_40	CD151	6661	-0.031350813806056976	0.5361549	No	
row_41	MMP9	7962	-0.27696850895881653	0.45081574	No	
row_42	CTSB	9055	-0.5549080967903137	0.37971658	No	
row_43	LAMA3	9270	-0.6199235916137695	0.3667123	No	
row_44	COL4A4	10239	-0.9606071710586548	0.30453858	No	
row_45	COL9A1	10460	-1.0470776557922363	0.2919145	No	
row_46	COL4A3	10884	-1.2394574880599976	0.26623544	No	
row_47	ITGA6	10913	-1.2524088621139526	0.26666287	No	
row_48	COL11A2	11521	-1.5303364992141724	0.22936247	No	
row_49	CTSS	14991	-7.176479339599609	0.0133385835	No	
