NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FBN1	4	32.399681091308594	0.04905222	Yes	
row_1	COL5A1	7	31.1781005859375	0.09637721	Yes	
row_2	COL1A2	11	29.397796630859375	0.14092626	Yes	
row_3	LAMB1	12	29.04438018798828	0.18513562	Yes	
row_4	COL1A1	20	27.48004722595215	0.22650124	Yes	
row_5	COL6A3	22	27.351099014282227	0.26806712	Yes	
row_6	COL6A2	25	26.964008331298828	0.30897772	Yes	
row_7	COL3A1	27	26.716320037841797	0.34957737	Yes	
row_8	THBS1	36	25.442819595336914	0.387776	Yes	
row_9	COL6A1	55	23.202693939208984	0.4219039	Yes	
row_10	COL5A2	59	22.85744857788086	0.4564977	Yes	
row_11	FN1	71	21.863208770751953	0.48904938	Yes	
row_12	THBS2	77	21.315616607666016	0.5211641	Yes	
row_13	NID1	79	21.17734146118164	0.55333275	Yes	
row_14	ITGA5	116	19.25518226623535	0.5802624	Yes	
row_15	ITGA11	122	19.0181827545166	0.60888016	Yes	
row_16	F13A1	191	15.7657470703125	0.6283836	Yes	
row_17	COL4A1	228	14.725882530212402	0.6484191	Yes	
row_18	TGM2	287	13.409021377563477	0.6649962	Yes	
row_19	CSPG4	293	13.33823013305664	0.6849683	Yes	
row_20	COL11A1	308	12.975887298583984	0.70379406	Yes	
row_21	COL4A5	316	12.779044151306152	0.7227828	Yes	
row_22	PLAU	409	10.969450950622559	0.7333995	Yes	
row_23	COL4A6	454	10.195211410522461	0.74601007	Yes	
row_24	ITGA1	516	9.366265296936035	0.7562353	Yes	
row_25	COL2A1	519	9.34322452545166	0.7703247	Yes	
row_26	TGFBI	571	8.830119132995605	0.78039473	Yes	
row_27	COL18A1	585	8.63586139678955	0.7926805	Yes	
row_28	NPNT	621	8.319228172302246	0.8030303	Yes	
row_29	ITGA8	633	8.247774124145508	0.81485754	Yes	
row_30	COL7A1	692	7.690342903137207	0.82273006	Yes	
row_31	VTN	697	7.667983055114746	0.8341374	Yes	
row_32	LAMA4	705	7.56685209274292	0.8451925	Yes	
row_33	ITGA2	727	7.370853424072266	0.85502404	Yes	
row_34	ITGA10	821	6.603654861450195	0.85892934	Yes	
row_35	LAMA1	877	6.211242198944092	0.8647488	Yes	
row_36	VCAM1	957	5.750356197357178	0.8682805	Yes	
row_37	ITGB1	986	5.6218976974487305	0.87498724	Yes	
row_38	LAMA2	1005	5.535256862640381	0.882223	Yes	
row_39	LAMC1	1300	4.195195198059082	0.86917835	No	
row_40	LAMA5	1397	3.8897554874420166	0.8687545	No	
row_41	TNC	1469	3.685319423675537	0.86967164	No	
row_42	LAMB2	1479	3.6361865997314453	0.8746116	No	
row_43	JAM2	1693	3.0829150676727295	0.86522716	No	
row_44	LAMC2	2183	2.168673515319824	0.8362104	No	
row_45	ITGA7	2414	1.8361433744430542	0.8238047	No	
row_46	PLAUR	2593	1.640549898147583	0.8145379	No	
row_47	ITGA3	3248	1.0621321201324463	0.77293205	No	
row_48	LAMB3	4746	0.3721083700656891	0.6745625	No	
row_49	CD81	5665	0.1459091603755951	0.61411446	No	
row_50	ITGA9	6177	0.04677460715174675	0.5804139	No	
row_51	IGSF8	6298	0.024595586583018303	0.5725206	No	
row_52	SPP1	7072	-0.10220693051815033	0.521589	No	
row_53	ITGAV	7105	-0.10874374955892563	0.5196397	No	
row_54	VEGFA	7843	-0.25132274627685547	0.47131425	No	
row_55	ITGA4	8037	-0.2942401170730591	0.45900685	No	
row_56	LAMA3	9270	-0.6199235916137695	0.3785282	No	
row_57	CD14	9411	-0.6677164435386658	0.37029204	No	
row_58	COL4A4	10239	-0.9606071710586548	0.3170982	No	
row_59	COL4A3	10884	-1.2394574880599976	0.2764232	No	
row_60	ITGA6	10913	-1.2524088621139526	0.276479	No	
row_61	COL11A2	11521	-1.5303364992141724	0.23869208	No	
row_62	MDK	12973	-2.576889991760254	0.14671859	No	
