NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ANGPTL2	3	32.508758544921875	0.031232154	Yes	
row_1	LOXL2	15	28.417787551879883	0.057975337	Yes	
row_2	CALD1	16	28.366819381713867	0.08540277	Yes	
row_3	PDGFRB	32	25.875194549560547	0.10942082	Yes	
row_4	THBS1	36	25.442819595336914	0.13382104	Yes	
row_5	LRP1	48	23.924747467041016	0.15621997	Yes	
row_6	JAM3	100	19.67061424255371	0.17183827	Yes	
row_7	LOX	115	19.259807586669922	0.18952669	Yes	
row_8	ITGA5	116	19.25518226623535	0.20814423	Yes	
row_9	SERPINE1	126	18.914012908935547	0.22583173	Yes	
row_10	ADAMTS9	149	17.65764808654785	0.24143757	Yes	
row_11	PDGFRA	183	16.13265037536621	0.2548354	Yes	
row_12	SLIT2	194	15.744550704956055	0.26939172	Yes	
row_13	PKD2	195	15.721787452697754	0.28459287	Yes	
row_14	BMP4	205	15.356771469116211	0.2988409	Yes	
row_15	COL4A1	228	14.725882530212402	0.3116121	Yes	
row_16	PLXDC1	232	14.632184028625488	0.32555968	Yes	
row_17	RECK	261	13.869429588317871	0.33710262	Yes	
row_18	SFRP2	275	13.555318832397461	0.34934217	Yes	
row_19	APLNR	281	13.463676452636719	0.36202654	Yes	
row_20	TGFBR2	302	13.124903678894043	0.37338313	Yes	
row_21	ROBO4	317	12.750753402709961	0.38477805	Yes	
row_22	SCG2	352	12.010629653930664	0.39412367	Yes	
row_23	AMOTL1	355	11.875977516174316	0.405473	Yes	
row_24	ANGPT1	359	11.774910926818848	0.41665792	Yes	
row_25	ANGPTL1	374	11.489616394042969	0.42683348	Yes	
row_26	EGR3	395	11.198234558105469	0.4363272	Yes	
row_27	TBX1	450	10.256366729736328	0.44264293	Yes	
row_28	TEK	455	10.186569213867188	0.45222545	Yes	
row_29	NOG	480	9.839086532592773	0.46013826	Yes	
row_30	COL15A1	481	9.83417797088623	0.46964678	Yes	
row_31	PGF	487	9.7409029006958	0.4787317	Yes	
row_32	EFEMP2	512	9.435468673706055	0.48625427	Yes	
row_33	HEY1	563	8.902027130126953	0.49152726	Yes	
row_34	TGFBI	571	8.830119132995605	0.49959818	Yes	
row_35	NR4A1	573	8.796849250793457	0.50803703	Yes	
row_36	FOXF1	574	8.788705825805664	0.5165347	Yes	
row_37	COL18A1	585	8.63586139678955	0.5242177	Yes	
row_38	PLXND1	592	8.59321117401123	0.53212625	Yes	
row_39	BMPER	595	8.580376625061035	0.5402891	Yes	
row_40	PARVA	606	8.454581260681152	0.5477969	Yes	
row_41	CCBE1	609	8.44527816772461	0.5558291	Yes	
row_42	TIE1	614	8.397281646728516	0.5636816	Yes	
row_43	S1PR1	641	8.15216064453125	0.56983	Yes	
row_44	AMOTL2	676	7.820689678192139	0.57512444	Yes	
row_45	SOX4	683	7.779201507568359	0.5822459	Yes	
row_46	VEGFC	689	7.7118144035339355	0.58936894	Yes	
row_47	APOD	695	7.674160480499268	0.5964555	Yes	
row_48	PTPRB	709	7.533153057098389	0.6028723	Yes	
row_49	SEMA5A	718	7.478938102722168	0.6095701	Yes	
row_50	HAS2	752	7.180466651916504	0.6143122	Yes	
row_51	GREM1	754	7.172321796417236	0.6211803	Yes	
row_52	THY1	775	6.986418724060059	0.6266017	Yes	
