NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	COL16A1	5	32.00046157836914	0.067154825	Yes	
row_1	COL5A1	7	31.1781005859375	0.13283932	Yes	
row_2	COL1A2	11	29.397796630859375	0.19463745	Yes	
row_3	COL1A1	20	27.48004722595215	0.25206137	Yes	
row_4	COL6A3	22	27.351099014282227	0.30967525	Yes	
row_5	COL6A2	25	26.964008331298828	0.3664068	Yes	
row_6	COL3A1	27	26.716320037841797	0.422682	Yes	
row_7	COL8A1	42	24.576276779174805	0.47358638	Yes	
row_8	COL6A1	55	23.202693939208984	0.521726	Yes	
row_9	COL5A2	59	22.85744857788086	0.5697314	Yes	
row_10	COL4A2	212	15.11036205291748	0.5915681	Yes	
row_11	COL14A1	218	15.053777694702148	0.62298465	Yes	
row_12	COL4A1	228	14.725882530212402	0.6534458	Yes	
row_13	COL5A3	283	13.445183753967285	0.6782369	Yes	
row_14	COL11A1	308	12.975887298583984	0.7040178	Yes	
row_15	COL4A5	316	12.779044151306152	0.7305053	Yes	
row_16	COL10A1	334	12.442176818847656	0.7556225	Yes	
row_17	COL9A3	431	10.494370460510254	0.7714196	Yes	
row_18	COL12A1	451	10.256308555603027	0.7917952	Yes	
row_19	COL4A6	454	10.195211410522461	0.8131636	Yes	
row_20	COL15A1	481	9.83417797088623	0.83218706	Yes	
row_21	COL8A2	500	9.574555397033691	0.85119087	Yes	
row_22	COL2A1	519	9.34322452545166	0.86970687	Yes	
row_23	COL18A1	585	8.63586139678955	0.88363	Yes	
row_24	COL7A1	692	7.690342903137207	0.892854	Yes	
row_25	COL25A1	710	7.5265212059021	0.90760475	Yes	
row_26	COL27A1	808	6.71028995513916	0.91535574	Yes	
row_27	COL6A6	816	6.652199745178223	0.9289225	Yes	
row_28	COL13A1	2552	1.6832282543182373	0.8179961	No	
row_29	COL24A1	2691	1.5190420150756836	0.8120942	No	
row_30	COL9A2	4073	0.6239818930625916	0.7222911	No	
row_31	COL22A1	4852	0.34072402119636536	0.6716768	No	
row_32	COL28A1	6193	0.04425230622291565	0.5833563	No	
row_33	COL23A1	6262	0.029813334345817566	0.5789325	No	
row_34	COL4A4	10239	-0.9606071710586548	0.31861997	No	
row_35	COL9A1	10460	-1.0470776557922363	0.3063124	No	
row_36	COL4A3	10884	-1.2394574880599976	0.28101653	No	
row_37	COL11A2	11521	-1.5303364992141724	0.24228022	No	
