NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	COL16A1	5	32.00046157836914	0.043131024	Yes	
row_1	COL5A1	7	31.1781005859375	0.08540973	Yes	
row_2	COL1A2	11	29.397796630859375	0.12513821	Yes	
row_3	LOXL2	15	28.417787551879883	0.16353568	Yes	
row_4	COL1A1	20	27.48004722595215	0.2005934	Yes	
row_5	COL6A3	22	27.351099014282227	0.23767443	Yes	
row_6	COL6A2	25	26.964008331298828	0.27416357	Yes	
row_7	COL3A1	27	26.716320037841797	0.3103825	Yes	
row_8	LOXL1	31	26.20947265625	0.3457807	Yes	
row_9	COL8A1	42	24.576276779174805	0.37849775	Yes	
row_10	COL6A1	55	23.202693939208984	0.40921697	Yes	
row_11	COL5A2	59	22.85744857788086	0.4400626	Yes	
row_12	ADAMTS2	114	19.320634841918945	0.46273124	Yes	
row_13	LOX	115	19.259807586669922	0.48888913	Yes	
row_14	P4HA3	129	18.85076904296875	0.5136316	Yes	
row_15	ADAMTS14	211	15.163331985473633	0.52886796	Yes	
row_16	COL4A2	212	15.11036205291748	0.54939026	Yes	
row_17	BMP1	213	15.095419883728027	0.5698923	Yes	
row_18	COL14A1	218	15.053777694702148	0.5900731	Yes	
row_19	COL4A1	228	14.725882530212402	0.60947794	Yes	
row_20	COL5A3	283	13.445183753967285	0.6241667	Yes	
row_21	COL11A1	308	12.975887298583984	0.6402026	Yes	
row_22	LUM	313	12.807376861572266	0.6573324	Yes	
row_23	COL4A5	316	12.779044151306152	0.67455614	Yes	
row_24	SERPINH1	321	12.643220901489258	0.69146305	Yes	
row_25	COL10A1	334	12.442176818847656	0.7075678	Yes	
row_26	PXDN	386	11.32361125946045	0.7195736	Yes	
row_27	COL9A3	431	10.494370460510254	0.7309162	Yes	
row_28	COL12A1	451	10.256308555603027	0.7435891	Yes	
row_29	COL4A6	454	10.195211410522461	0.7573036	Yes	
row_30	COL15A1	481	9.83417797088623	0.76894015	Yes	
row_31	COL8A2	500	9.574555397033691	0.7807533	Yes	
row_32	PLOD1	502	9.55329704284668	0.7936621	Yes	
row_33	COL2A1	519	9.34322452545166	0.8052933	Yes	
row_34	DDR2	572	8.822925567626953	0.81383663	Yes	
row_35	COL18A1	585	8.63586139678955	0.82477176	Yes	
row_36	DPT	629	8.270851135253906	0.83316064	Yes	
row_37	PLEC	639	8.197492599487305	0.8436988	Yes	
row_38	COL7A1	692	7.690342903137207	0.85070395	Yes	
row_39	COL25A1	710	7.5265212059021	0.85980165	Yes	
row_40	GREM1	754	7.172321796417236	0.86669856	Yes	
row_41	CYP1B1	790	6.850042819976807	0.87368685	Yes	
row_42	COL27A1	808	6.71028995513916	0.881676	Yes	
row_43	P4HA2	900	6.090365886688232	0.8839284	Yes	
row_44	P4HA1	1040	5.295558929443359	0.8819263	No	
row_45	TLL1	1182	4.63731050491333	0.87889785	No	
row_46	TGFBR1	1259	4.355206489562988	0.87978584	No	
row_47	TGFB2	1836	2.7915730476379395	0.8454769	No	
row_48	ITGB4	1920	2.585984945297241	0.843499	No	
row_49	LOXL3	2166	2.1927292346954346	0.83027124	No	
row_50	LAMC2	2183	2.168673515319824	0.83215827	No	
row_51	CRTAP	2469	1.7651033401489258	0.81570387	No	
row_52	COL13A1	2552	1.6832282543182373	0.812566	No	
row_53	COL24A1	2691	1.5190420150756836	0.80550086	No	
row_54	DST	2722	1.489118218421936	0.80553895	No	
row_55	NF1	2852	1.3813724517822266	0.7988822	No	
row_56	PLOD3	3795	0.7429008483886719	0.7375814	No	
row_57	COL9A2	4073	0.6239818930625916	0.7201063	No	
row_58	LOXL4	4164	0.5839745998382568	0.71494627	No	
row_59	PLOD2	4444	0.4690726697444916	0.69712853	No	
row_60	LAMB3	4746	0.3721083700656891	0.6777239	No	
row_61	COL22A1	4852	0.34072402119636536	0.6712412	No	
row_62	P4HB	5386	0.20896504819393158	0.6362691	No	
row_63	COL28A1	6193	0.04425230622291565	0.58301526	No	
row_64	COL23A1	6262	0.029813334345817566	0.5785578	No	
row_65	ADAMTS3	6429	0.004718590062111616	0.5675839	No	
row_66	CD151	6661	-0.031350813806056976	0.5523467	No	
row_67	SERPINF2	6832	-0.06030537560582161	0.5411837	No	
row_68	ATP7A	7971	-0.2781669497489929	0.46628702	No	
row_69	LAMA3	9270	-0.6199235916137695	0.38127106	No	
row_70	COL4A4	10239	-0.9606071710586548	0.3185461	No	
row_71	COL9A1	10460	-1.0470776557922363	0.305416	No	
row_72	COL4A3	10884	-1.2394574880599976	0.2791195	No	
row_73	ITGA6	10913	-1.2524088621139526	0.27896836	No	
row_74	PPIB	11272	-1.4190367460250854	0.25721526	No	
row_75	COL11A2	11521	-1.5303364992141724	0.24288942	No	
