NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PSMD1	5314	0.22554078698158264	-0.35189793	No	
row_1	ANAPC2	5867	0.10273704677820206	-0.38825515	No	
row_2	CDC27	6006	0.0779806450009346	-0.3972147	No	
row_3	RFC1	7037	-0.09640472382307053	-0.46529156	No	
row_4	PSME3	7201	-0.12382311373949051	-0.4757956	No	
row_5	E2F3	7587	-0.19706083834171295	-0.5008424	No	
row_6	PSME4	7688	-0.21744674444198608	-0.5069356	No	
row_7	FZR1	7720	-0.22322435677051544	-0.50843805	No	
row_8	PSMC4	7911	-0.26553699374198914	-0.52038133	No	
row_9	CDC23	7930	-0.2692982852458954	-0.5209072	No	
row_10	ANAPC4	7967	-0.2778170108795166	-0.52260584	No	
row_11	CDC16	8331	-0.36500513553619385	-0.54577684	No	
row_12	RPS27A	8450	-0.3954343795776367	-0.5526225	No	
row_13	ANAPC1	8952	-0.5249675512313843	-0.5845497	No	
row_14	LIG1	8962	-0.5267021656036377	-0.5838402	No	
row_15	RPA1	9088	-0.5625913143157959	-0.5907355	No	
row_16	SKP2	9225	-0.6070134043693542	-0.59825015	No	
row_17	CUL1	9395	-0.6607823371887207	-0.6078202	No	
row_18	PSMD5	9468	-0.6802237033843994	-0.61090845	No	
row_19	ANAPC16	9499	-0.6896664500236511	-0.6111875	No	
row_20	SKP1	9645	-0.7440930604934692	-0.6189591	No	
row_21	PSMD3	9736	-0.7770227789878845	-0.6230011	No	
row_22	UBE2D1	9880	-0.8276664018630981	-0.6304327	No	
row_23	PSMD8	9916	-0.840112566947937	-0.63067025	No	
row_24	CCNA1	10008	-0.8723130226135254	-0.63454217	No	
row_25	POLD4	10096	-0.9068312048912048	-0.6380632	No	
row_26	GINS4	10153	-0.9281125068664551	-0.6394753	No	
row_27	POLE	10182	-0.9394860863685608	-0.639002	No	
row_28	POLD1	10414	-1.0275328159332275	-0.6517746	No	
row_29	MCM8	10570	-1.0927809476852417	-0.65934455	No	
row_30	UBB	10689	-1.14455246925354	-0.664332	No	
row_31	CDC26	10741	-1.1695789098739624	-0.6648135	No	
row_32	UBC	10939	-1.2639217376708984	-0.67474467	No	
row_33	PSMD12	11082	-1.3253339529037476	-0.6808755	No	
row_34	PSMD2	11084	-1.3259129524230957	-0.6776529	No	
row_35	PSMC5	11112	-1.3426692485809326	-0.67611325	No	
row_36	POLA1	11717	-1.6311213970184326	-0.71212834	No	
row_37	MCM10	11789	-1.6711336374282837	-0.71269226	No	
row_38	CDC6	11816	-1.6895831823349	-0.71022576	No	
row_39	ANAPC5	11845	-1.7070103883743286	-0.7078487	No	
row_40	PSMF1	11875	-1.725949764251709	-0.70549095	No	
row_41	PSMB7	12026	-1.8138827085494995	-0.7109406	No	
row_42	CCNE2	12187	-1.9429714679718018	-0.7167333	No	
row_43	PSMC1	12253	-1.983543872833252	-0.71612436	No	
row_44	PSMD10	12407	-2.0914218425750732	-0.72108454	No	
row_45	PSMB5	12517	-2.166536569595337	-0.72294	Yes	
