NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BGN	6	31.933088302612305	0.06701667	Yes	
row_1	CHSY3	38	24.94453239440918	0.11762449	Yes	
row_2	VCAN	43	24.292301177978516	0.16864312	Yes	
row_3	GPC6	45	24.216798782348633	0.21970099	Yes	
row_4	CHSY1	94	20.076326370239258	0.25890595	Yes	
row_5	GALNT5	105	19.547449111938477	0.29951045	Yes	
row_6	OGN	119	19.09394073486328	0.3389589	Yes	
row_7	CHPF	157	17.370357513427734	0.3731796	Yes	
row_8	DCN	165	17.14639663696289	0.40891388	Yes	
row_9	SDC2	203	15.382715225219727	0.4389385	Yes	
row_10	XYLT1	225	14.827024459838867	0.46884936	Yes	
row_11	HSPG2	226	14.778420448303223	0.5000481	Yes	
row_12	GPC1	233	14.619424819946289	0.5305139	Yes	
row_13	OMD	239	14.511360168457031	0.5608178	Yes	
row_14	CSPG4	293	13.33823013305664	0.58546686	Yes	
row_15	LUM	313	12.807376861572266	0.61124647	Yes	
row_16	SDC1	356	11.86196517944336	0.6335074	Yes	
row_17	ANGPT1	359	11.774910926818848	0.6582329	Yes	
row_18	NDST1	564	8.898359298706055	0.66351104	Yes	
row_19	HAS1	648	8.064167022705078	0.6750397	Yes	
row_20	CHST15	670	7.875626087188721	0.6902755	Yes	
row_21	HS2ST1	684	7.767768859863281	0.7058132	Yes	
row_22	HAS2	752	7.180466651916504	0.71653575	Yes	
row_23	HS3ST2	777	6.976247787475586	0.7296742	Yes	
row_24	DSE	780	6.962409973144531	0.7442401	Yes	
row_25	FMOD	897	6.104105472564697	0.7494459	Yes	
row_26	ACAN	1125	4.880951881408691	0.74472	Yes	
row_27	EXT1	1146	4.781523704528809	0.75349	Yes	
row_28	CHST14	1193	4.605384826660156	0.76016665	Yes	
row_29	CHST3	1243	4.425134658813477	0.7662642	Yes	
row_30	DSEL	1249	4.402209281921387	0.7752266	Yes	
