NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CDKN1A	1695	3.07969069480896	-0.1053025	No	
row_1	PDS5B	1892	2.6529717445373535	-0.111990295	No	
row_2	ILF3	4677	0.3920418322086334	-0.2960983	No	
row_3	WEE1	5612	0.15766465663909912	-0.35780194	No	
row_4	CTCF	6278	0.02792857214808464	-0.40193594	No	
row_5	PRKDC	6708	-0.03829392045736313	-0.4303589	No	
row_6	RAD50	6842	-0.06263284385204315	-0.43904936	No	
row_7	SMC6	6875	-0.06674499064683914	-0.4410168	No	
row_8	RFC1	7037	-0.09640472382307053	-0.45148766	No	
row_9	STAG1	7076	-0.10276606678962708	-0.45376784	No	
row_10	SHMT1	7083	-0.10403355211019516	-0.45391804	No	
row_11	LBR	7516	-0.1828976571559906	-0.4821948	No	
row_12	MRE11A	7729	-0.2267715483903885	-0.49574396	No	
row_13	RAD21	7903	-0.2647123634815216	-0.5066102	No	
row_14	WDR90	7938	-0.2712889611721039	-0.5082218	No	
row_15	SMC3	7988	-0.2826797664165497	-0.51080316	No	
row_16	PNN	8167	-0.3228490650653839	-0.52186286	No	
row_17	BARD1	8333	-0.36593231558799744	-0.5319555	No	
row_18	HMGB3	8406	-0.38391590118408203	-0.5358237	No	
row_19	PPM1D	8432	-0.3916568160057068	-0.53654945	No	
row_20	PAICS	8860	-0.4994501769542694	-0.5637374	No	
row_21	MSH2	8890	-0.5073570013046265	-0.5644525	No	
row_22	LIG1	8962	-0.5267021656036377	-0.56791306	No	
row_23	PSMC3IP	9039	-0.550509512424469	-0.571649	No	
row_24	RPA1	9088	-0.5625913143157959	-0.57349503	No	
row_25	UBR7	9112	-0.5699531435966492	-0.57366174	No	
row_26	NBN	9157	-0.5821962356567383	-0.5751951	No	
row_27	RQCD1	9167	-0.5881207585334778	-0.57438785	No	
row_28	TUBG1	9406	-0.6663830876350403	-0.5886146	No	
row_29	ING3	9472	-0.6814953088760376	-0.5913064	No	
row_30	NOLC1	9711	-0.7684197425842285	-0.60528934	No	
row_31	ASF1A	9785	-0.7965776920318604	-0.60823786	No	
row_32	NUDT21	9865	-0.8226499557495117	-0.6115229	No	
row_33	ATAD2	9946	-0.8516348600387573	-0.6148051	No	
row_34	BRCA2	9972	-0.8588751554489136	-0.61441433	No	
row_35	MKI67	10031	-0.8840040564537048	-0.61615694	No	
row_36	GINS4	10153	-0.9281125068664551	-0.6219816	No	
row_37	POLE	10182	-0.9394860863685608	-0.6215976	No	
row_38	HUS1	10250	-0.9658832550048828	-0.62374276	No	
row_39	BRCA1	10317	-0.9914649724960327	-0.62576026	No	
row_40	NAA38	10372	-1.0120762586593628	-0.62693095	No	
row_41	NUP153	10395	-1.021911859512329	-0.6259512	No	
row_42	PAN2	10424	-1.03107488155365	-0.6253483	No	
row_43	RAD51C	10467	-1.049550175666809	-0.62563187	No	
row_44	TUBB	10488	-1.0578795671463013	-0.62443316	No	
row_45	SSRP1	10620	-1.11259126663208	-0.63048166	No	
row_46	MYC	11181	-1.3755977153778076	-0.6644161	No	
row_47	MYBL2	11208	-1.3881107568740845	-0.662827	No	
row_48	SMC4	11263	-1.4143365621566772	-0.66303647	No	
row_49	TRA2B	11320	-1.4411779642105103	-0.66331464	No	
row_50	NUP205	11409	-1.4757696390151978	-0.66563714	No	
row_51	DSCC1	11459	-1.5023220777511597	-0.66530395	No	
row_52	ZW10	11461	-1.5033670663833618	-0.6617778	No	
row_53	ANP32E	11505	-1.5208702087402344	-0.6610015	No	
row_54	PPP1R8	11826	-1.6963582038879395	-0.67821723	No	
row_55	ORC2L	12006	-1.8006644248962402	-0.6858119	Yes	
row_56	BUB1B	12023	-1.8124895095825195	-0.68254405	Yes	
row_57	BRMS1L	12050	-1.834704041481018	-0.67988783	Yes	
row_58	EZH2	12065	-1.8504271507263184	-0.67639637	Yes	
row_59	AURKA	12131	-1.8931753635406494	-0.67619264	Yes	
row_60	DONSON	12329	-2.0413448810577393	-0.68440855	Yes	
row_61	RRM2	12367	-2.0620477199554443	-0.68194014	Yes	
row_62	KIF18B	12414	-2.0944557189941406	-0.67999256	Yes	
row_63	EXOSC8	12509	-2.162905693054199	-0.68107176	Yes	
row_64	ORC6L	12549	-2.197303295135498	-0.67841315	Yes	
row_65	DEK	12557	-2.2054460048675537	-0.67360806	Yes	
row_66	NUP107	12566	-2.213200092315674	-0.66885096	Yes	
