NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FBN1	4	32.399681091308594	0.023004998	Yes	
row_1	COL16A1	5	32.00046157836914	0.045989055	Yes	
row_2	SPARC	8	30.717422485351562	0.06791868	Yes	
row_3	COL1A2	11	29.397796630859375	0.0889005	Yes	
row_4	TIMP3	14	28.692869186401367	0.109376006	Yes	
row_5	LOXL2	15	28.417787551879883	0.12978685	Yes	
row_6	CALD1	16	28.366819381713867	0.15016107	Yes	
row_7	COL1A1	20	27.48004722595215	0.16969903	Yes	
row_8	ECM2	21	27.471452713012695	0.18943016	Yes	
row_9	COL3A1	27	26.716320037841797	0.20828669	Yes	
row_10	LOXL1	31	26.20947265625	0.22691207	Yes	
row_11	THBS1	36	25.442819595336914	0.24492036	Yes	
row_12	MMP2	37	25.394012451171875	0.2631594	Yes	
row_13	VCAN	43	24.292301177978516	0.28027487	Yes	
row_14	CDH11	47	24.027847290039062	0.29733333	Yes	
row_15	FSTL1	53	23.427934646606445	0.313828	Yes	
row_16	MMP14	54	23.417184829711914	0.3306472	Yes	
row_17	COL5A2	59	22.85744857788086	0.34679857	Yes	
row_18	IGFBP4	62	22.470273971557617	0.36280474	Yes	
row_19	ACTA2	64	22.187326431274414	0.37867415	Yes	
row_20	SNAI2	70	21.919124603271484	0.39408514	Yes	
row_21	THBS2	77	21.315616607666016	0.4089962	Yes	
row_22	LOX	115	19.259807586669922	0.42037076	Yes	
row_23	SERPINE1	126	18.914012908935547	0.43329108	Yes	
row_24	CYR61	127	18.894344329833984	0.44686177	Yes	
row_25	CTGF	128	18.852785110473633	0.46040264	Yes	
row_26	ADAM12	134	18.654354095458984	0.47346872	Yes	
row_27	MATN3	140	18.34299087524414	0.48631117	Yes	
row_28	PMP22	145	17.939308166503906	0.49893013	Yes	
row_29	HTRA1	147	17.762527465820312	0.5116215	Yes	
row_30	PCOLCE	163	17.18509864807129	0.52296776	Yes	
row_31	DCN	165	17.14639663696289	0.53521657	Yes	
row_32	SFRP4	170	16.894439697265625	0.54708505	Yes	
row_33	RGS4	172	16.717662811279297	0.55902594	Yes	
row_34	INHBA	185	15.998537063598633	0.5697193	Yes	
row_35	SPOCK1	189	15.838951110839844	0.5808962	Yes	
row_36	SLIT2	194	15.744550704956055	0.5919388	Yes	
row_37	SLIT3	206	15.320716857910156	0.6022118	Yes	
row_38	FSTL3	210	15.166752815246582	0.61290586	Yes	
row_39	COL4A2	212	15.11036205291748	0.6236923	Yes	
row_40	BMP1	213	15.095419883728027	0.6345344	Yes	
row_41	CTHRC1	220	14.929512977600098	0.6448587	Yes	
row_42	COL4A1	228	14.725882530212402	0.65497035	Yes	
row_43	GPC1	233	14.619424819946289	0.6652048	Yes	
row_44	GEM	237	14.566446304321289	0.67546767	Yes	
row_45	EDIL3	241	14.362748146057129	0.68558425	Yes	
row_46	CXCL12	252	14.103829383850098	0.6950497	Yes	
row_47	NID2	260	13.898611068725586	0.70456713	Yes	
row_48	COL5A3	283	13.445183753967285	0.7127621	Yes	
row_49	PRRX1	289	13.378717422485352	0.72203904	Yes	
row_50	MXRA5	335	12.422538757324219	0.7279712	Yes	
row_51	SCG2	352	12.010629653930664	0.7355345	Yes	
row_52	SDC1	356	11.86196517944336	0.74385494	Yes	
row_53	FAP	377	11.419772148132324	0.7507281	Yes	
row_54	MFAP5	424	10.564449310302734	0.7552592	Yes	
row_55	COMP	449	10.270650863647461	0.7610412	Yes	
row_56	COL12A1	451	10.256308555603027	0.7683413	Yes	
row_57	COL8A2	500	9.574555397033691	0.77202857	Yes	
row_58	PLOD1	502	9.55329704284668	0.7788237	Yes	
row_59	CALU	532	9.18713665008545	0.78349525	Yes	
row_60	DPYSL3	565	8.898032188415527	0.7877598	Yes	
row_61	CRLF1	567	8.87975025177002	0.79407114	Yes	
row_62	TGFBI	571	8.830119132995605	0.80021393	Yes	
row_63	MGP	616	8.384475708007812	0.80331224	Yes	
