NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PROCR	1960	2.512794017791748	-0.124940574	No	
row_1	C1S	3246	1.0623574256896973	-0.2079549	No	
row_2	IFITM2	3616	0.8438947796821594	-0.23077856	No	
row_3	CNP	6859	-0.06416317075490952	-0.44514665	No	
row_4	TXNIP	8423	-0.3890199065208435	-0.5478213	No	
row_5	STAT2	8966	-0.528697669506073	-0.5826841	No	
row_6	TRIM25	9930	-0.8457895517349243	-0.6448029	No	
row_7	OGFR	10289	-0.9795684814453125	-0.6666433	No	
row_8	CCRL2	11379	-1.4610499143600464	-0.7359396	No	
row_9	TRIM5	11458	-1.5014106035232544	-0.73827267	No	
row_10	IL7	11763	-1.6542292833328247	-0.75527	No	
row_11	SELL	11800	-1.6777313947677612	-0.75449234	No	
row_12	LGALS3BP	11895	-1.7420477867126465	-0.7574308	No	
row_13	CD47	12028	-1.816176414489746	-0.7627438	No	
row_14	TRAFD1	12208	-1.9568134546279907	-0.7709013	No	
row_15	IFITM3	12696	-2.318485736846924	-0.79875493	No	
row_16	LY6E	12945	-2.539930820465088	-0.81037945	No	
row_17	TRIM14	12972	-2.5758981704711914	-0.80724883	No	
row_18	PNPT1	13459	-3.049813985824585	-0.8336591	No	
row_19	BST2	13655	-3.285536289215088	-0.84037304	No	
row_20	RIPK2	13826	-3.498333215713501	-0.84503233	No	
row_21	SAMD9	14007	-3.824904680252075	-0.8497382	Yes	
row_22	EPSTI1	14015	-3.8336119651794434	-0.8429821	Yes	
row_23	RSAD2	14195	-4.168782711029053	-0.84697425	Yes	
row_24	IFITM1	14208	-4.195068836212158	-0.83986825	Yes	
row_25	GMPR	14222	-4.216533184051514	-0.832788	Yes	
row_26	EIF2AK2	14223	-4.217913627624512	-0.8248451	Yes	
row_27	UBA7	14276	-4.305954933166504	-0.82017666	Yes	
row_28	ADAR	14288	-4.344361782073975	-0.8127234	Yes	
row_29	HERC6	14315	-4.416736125946045	-0.80612624	Yes	
row_30	SLC25A28	14325	-4.431563377380371	-0.7983764	Yes	
row_31	TDRD7	14367	-4.520185470581055	-0.7925768	Yes	
row_32	MOV10	14424	-4.6418232917785645	-0.78754056	Yes	
row_33	GBP2	14476	-4.7694292068481445	-0.7819332	Yes	
row_34	RNF31	14709	-5.421448707580566	-0.78707284	Yes	
row_35	CSF1	14713	-5.443955421447754	-0.77701956	Yes	
row_36	MX1	14717	-5.455954551696777	-0.76694375	Yes	
row_37	SAMD9L	14773	-5.6452131271362305	-0.7599518	Yes	
row_38	TMEM140	14879	-6.233294486999512	-0.7551604	Yes	
row_39	TRIM26	14881	-6.242210865020752	-0.74347156	Yes	
row_40	NUB1	14897	-6.353861331939697	-0.73249876	Yes	
row_41	IRF2	14903	-6.388325214385986	-0.72079945	Yes	
row_42	IL15	14985	-7.074131965637207	-0.7128368	Yes	
row_43	CMPK2	15011	-7.463648796081543	-0.7004357	Yes	
row_44	ISG20	15014	-7.5381903648376465	-0.6863726	Yes	
row_45	IRF7	15027	-7.740503311157227	-0.67259	Yes	
row_46	PARP14	15033	-7.806068420410156	-0.65822095	Yes	
row_47	OAS1	15036	-7.834973335266113	-0.6435989	Yes	
row_48	LAMP3	15042	-7.90110969543457	-0.6290508	Yes	
row_49	OASL	15044	-7.94619607925415	-0.6141532	Yes	
row_50	WARS	15047	-7.961101055145264	-0.59929365	Yes	
row_51	CD74	15048	-8.001235008239746	-0.5842262	Yes	
row_52	IFI44	15070	-8.325431823730469	-0.5699376	Yes	
row_53	IFIT2	15075	-8.426925659179688	-0.55433315	Yes	
row_54	IFIT3	15078	-8.512880325317383	-0.53843457	Yes	
row_55	IFI27	15081	-8.549309730529785	-0.5224673	Yes	
row_56	SP110	15094	-8.745929718017578	-0.5067915	Yes	
row_57	USP18	15105	-8.998071670532227	-0.49050844	Yes	
row_58	LAP3	15107	-9.054370880126953	-0.47352394	Yes	
row_59	ISG15	15115	-9.207924842834473	-0.45664728	Yes	
row_60	RTP4	15120	-9.298943519592285	-0.4394007	Yes	
row_61	PARP12	15125	-9.407758712768555	-0.42194924	Yes	
row_62	IFI30	15134	-10.030172348022461	-0.4035903	Yes	
row_63	B2M	15138	-10.261972427368164	-0.38446406	Yes	
row_64	TRIM21	15140	-10.289429664611816	-0.3651538	Yes	
row_65	HLA-C	15149	-11.099032402038574	-0.34478205	Yes	
row_66	IFIH1	15153	-11.165946960449219	-0.3239535	Yes	
row_67	CXCL11	15156	-11.474527359008789	-0.3024777	Yes	
row_68	IRF9	15157	-11.687451362609863	-0.2804686	Yes	
row_69	BATF2	15165	-12.610295295715332	-0.25718477	Yes	
row_70	IFI35	15168	-12.717256546020508	-0.23336875	Yes	
row_71	PLSCR1	15169	-12.766364097595215	-0.20932792	Yes	
row_72	NMI	15176	-13.594440460205078	-0.18412465	Yes	
row_73	IRF1	15181	-14.451542854309082	-0.15717503	Yes	
row_74	CXCL10	15182	-14.575996398925781	-0.12972641	Yes	
row_75	UBE2L6	15185	-15.347854614257812	-0.10095659	Yes	
row_76	TAP1	15190	-17.86861801147461	-0.06757214	Yes	
row_77	PSME2	15191	-17.950611114501953	-0.033768646	Yes	
row_78	GBP4	15192	-17.96729278564453	6.625904E-5	Yes	
