NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LATS2	123	18.993877410888672	0.014160845	No	
row_1	SELP	505	9.511499404907227	2.3257453E-6	No	
row_2	ARID5B	743	7.255057334899902	-0.007230417	No	
row_3	VCAM1	957	5.750356197357178	-0.014636552	No	
row_4	PTGS2	1559	3.42555570602417	-0.050590847	No	
row_5	CFH	1573	3.399174690246582	-0.047457017	No	
row_6	TNFAIP6	1605	3.3363137245178223	-0.045594666	No	
row_7	CDKN1A	1695	3.07969069480896	-0.047892887	No	
row_8	IL6	1896	2.6373894214630127	-0.058096163	No	
row_9	PELI1	2347	1.925819754600525	-0.085768804	No	
row_10	SOCS3	2555	1.682094931602478	-0.09756157	No	
row_11	C1R	2663	1.5494478940963745	-0.102857456	No	
row_12	HIF1A	2802	1.4158730506896973	-0.110372886	No	
row_13	ARL4A	2940	1.3056542873382568	-0.11795144	No	
row_14	P2RY14	3124	1.151597023010254	-0.12877157	No	
row_15	RAPGEF6	3137	1.1382505893707275	-0.12823091	No	
row_16	C1S	3246	1.0623574256896973	-0.13416633	No	
row_17	SSPN	3339	1.0006542205810547	-0.13910986	No	
row_18	IFITM2	3616	0.8438947796821594	-0.15647918	No	
row_19	AUTS2	3625	0.8383815288543701	-0.15602517	No	
row_20	PIM1	3773	0.7542111277580261	-0.16491772	No	
row_21	PTPN1	3826	0.7307386994361877	-0.16751762	No	
row_22	CSF2RB	4026	0.6425073742866516	-0.18000108	No	
row_23	ST3GAL5	4748	0.37011948227882385	-0.22753322	No	
row_24	FPR1	5515	0.18125754594802856	-0.27828133	No	
row_25	SERPING1	5826	0.11124937236309052	-0.2987745	No	
row_26	NOD1	6341	0.017552556470036507	-0.33294985	No	
row_27	CMKLR1	6766	-0.04920808598399162	-0.36110035	No	
row_28	STAT3	6913	-0.07345505058765411	-0.37072718	No	
row_29	BPGM	7086	-0.10452032089233398	-0.38204727	No	
row_30	TNFAIP3	7142	-0.11494102329015732	-0.38557115	No	
row_31	ISOC1	7502	-0.17911699414253235	-0.40924442	No	
row_32	ST8SIA4	8122	-0.3118402659893036	-0.45005912	No	
row_33	RIPK1	8155	-0.31941062211990356	-0.45181233	No	
row_34	NUP93	8328	-0.3637353181838989	-0.46282744	No	
row_35	TXNIP	8423	-0.3890199065208435	-0.46862355	No	
row_36	PDE4B	8622	-0.43743079900741577	-0.48128176	No	
row_37	STAT2	8966	-0.528697669506073	-0.5034793	No	
row_38	CASP4	9282	-0.6233019232749939	-0.52370274	No	
row_39	BANK1	9461	-0.6793007850646973	-0.5347458	No	
row_40	TRIM25	9930	-0.8457895517349243	-0.5648865	No	
row_41	OGFR	10289	-0.9795684814453125	-0.58755165	No	
row_42	MVP	10523	-1.0729013681411743	-0.6017908	No	
row_43	TOR1B	10669	-1.1337844133377075	-0.6101038	No	
row_44	PML	10926	-1.2570445537567139	-0.6256565	No	
row_45	METTL7B	11167	-1.3707345724105835	-0.64001095	No	
row_46	IRF8	11170	-1.372139573097229	-0.6385299	No	
