NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	COL16A1	5	32.00046157836914	0.036140032	Yes	
row_1	COL5A1	7	31.1781005859375	0.07160896	Yes	
row_2	COL1A2	11	29.397796630859375	0.104915686	Yes	
row_3	LAMB1	12	29.04438018798828	0.13801923	Yes	
row_4	COL1A1	20	27.48004722595215	0.168874	Yes	
row_5	COL6A3	22	27.351099014282227	0.19998108	Yes	
row_6	COL6A2	25	26.964008331298828	0.2305804	Yes	
row_7	COL3A1	27	26.716320037841797	0.260964	Yes	
row_8	COL8A1	42	24.576276779174805	0.28804332	Yes	
row_9	COL6A1	55	23.202693939208984	0.31369022	Yes	
row_10	COL5A2	59	22.85744857788086	0.33954254	Yes	
row_11	ACTA2	64	22.187326431274414	0.3645645	Yes	
row_12	FN1	71	21.863208770751953	0.38908398	Yes	
row_13	ITGA5	116	19.25518226623535	0.40810215	Yes	
row_14	ITGA11	122	19.0181827545166	0.42944553	Yes	
row_15	COL4A2	212	15.11036205291748	0.44074503	Yes	
row_16	COL14A1	218	15.053777694702148	0.45756996	Yes	
row_17	COL4A1	228	14.725882530212402	0.47375497	Yes	
row_18	ACTG2	278	13.48021411895752	0.48585835	Yes	
row_19	COL5A3	283	13.445183753967285	0.5009164	Yes	
row_20	COL11A1	308	12.975887298583984	0.51410866	Yes	
row_21	COL4A5	316	12.779044151306152	0.52820784	Yes	
row_22	COL10A1	334	12.442176818847656	0.5412576	Yes	
row_23	ITGBL1	389	11.261362075805664	0.55049926	Yes	
row_24	COL9A3	431	10.494370460510254	0.5597319	Yes	
row_25	COL12A1	451	10.256308555603027	0.57015723	Yes	
row_26	COL4A6	454	10.195211410522461	0.5816442	Yes	
row_27	COL15A1	481	9.83417797088623	0.59112257	Yes	
row_28	KRAS	499	9.580404281616211	0.6009106	Yes	
row_29	COL8A2	500	9.574555397033691	0.61182326	Yes	
row_30	ITGA1	516	9.366265296936035	0.6215003	Yes	
row_31	COL2A1	519	9.34322452545166	0.63201624	Yes	
row_32	PARVA	606	8.454581260681152	0.6359294	Yes	
row_33	ITGA8	633	8.247774124145508	0.6435996	Yes	
row_34	ACTN1	644	8.122523307800293	0.6521919	Yes	
row_35	BCAR1	661	7.941413402557373	0.6601784	Yes	
row_36	LAMA4	705	7.56685209274292	0.6659413	Yes	
row_37	ITGA2	727	7.370853424072266	0.6729448	Yes	
row_38	COL27A1	808	6.71028995513916	0.6752691	Yes	
row_39	ITGA10	821	6.603654861450195	0.6819971	Yes	
row_40	LIMS2	828	6.553668022155762	0.6890674	Yes	
row_41	RHOB	876	6.21439790725708	0.69302267	Yes	
row_42	LAMA1	877	6.211242198944092	0.700102	Yes	
row_43	CAV1	915	6.010381698608398	0.70449007	Yes	
row_44	ITGB1	986	5.6218976974487305	0.7062394	Yes	
row_45	LAMA2	1005	5.535256862640381	0.71135044	Yes	
row_46	RND3	1089	5.023404121398926	0.7115525	Yes	
row_47	VCL	1168	4.682349681854248	0.7116986	Yes	
row_48	SRC	1245	4.415615081787109	0.71167374	Yes	
row_49	FYN	1261	4.355098247528076	0.7156393	Yes	
row_50	ITGB5	1287	4.263751983642578	0.7188353	Yes	
row_51	LAMC1	1300	4.195195198059082	0.7228182	Yes	
row_52	SHC1	1339	4.066160678863525	0.72492385	Yes	
row_53	LAMA5	1397	3.8897554874420166	0.72556406	Yes	
row_54	PXN	1466	3.691300392150879	0.7252461	Yes	
row_55	LAMB2	1479	3.6361865997314453	0.72859186	Yes	
row_56	ASAP1	1564	3.4168856143951416	0.72689635	No	
row_57	FLNA	1610	3.3295249938964844	0.7276966	No	
row_58	DOCK1	1745	2.975268602371216	0.7221704	No	
row_59	RAP2A	1761	2.9362313747406006	0.7245188	No	
row_60	MAPK9	1890	2.65531063079834	0.7190272	No	
row_61	ITGB4	1920	2.585984945297241	0.72004473	No	
row_62	ACTB	1949	2.52866268157959	0.7210635	No	
row_63	MAPK10	2065	2.337369203567505	0.71607465	No	
row_64	ARFGAP1	2168	2.1925253868103027	0.7117858	No	
row_65	LAMC2	2183	2.168673515319824	0.7133259	No	
row_66	ACTN4	2242	2.088984251022339	0.7118471	No	
row_67	PIK3R1	2327	1.9525994062423706	0.7084827	No	
row_68	ITGA7	2414	1.8361433744430542	0.7048524	No	
row_69	PTK2	2492	1.7443764209747314	0.7017165	No	
row_70	MAP2K4	2533	1.698983073234558	0.70099103	No	
row_71	COL13A1	2552	1.6832282543182373	0.70171165	No	
row_72	RAPGEF1	2563	1.6675244569778442	0.7029467	No	
row_73	PIK3C2A	2634	1.5923991203308105	0.7001034	No	
row_74	MICALL1	2640	1.5852941274642944	0.70157754	No	
row_75	MAP3K5	2827	1.4027022123336792	0.6907985	No	
row_76	CRK	3000	1.2496256828308105	0.6807768	No	
row_77	VASP	3009	1.2438609600067139	0.6816621	No	
row_78	MAPK6	3158	1.1232634782791138	0.6730934	No	
row_79	GRAP	3221	1.077579140663147	0.67019564	No	
row_80	MAP3K3	3225	1.0749224424362183	0.6712212	No	
row_81	ITGA3	3248	1.0621321201324463	0.6709677	No	
row_82	ITGB3	3282	1.044735074043274	0.6699624	No	
row_83	PTPN12	3290	1.0385222434997559	0.6706802	No	
row_84	ACTG1	3313	1.0249086618423462	0.67038435	No	
row_85	MAPK8	3515	0.8926917314529419	0.65802586	No	
row_86	PIK3C2B	3585	0.8574761748313904	0.6544115	No	
row_87	LIMS1	3619	0.842825710773468	0.653176	No	
row_88	ARHGAP10	3936	0.6805078983306885	0.6329228	No	
row_89	TLN1	4012	0.647297203540802	0.62866956	No	
row_90	COL9A2	4073	0.6239818930625916	0.62538797	No	
row_91	ITGB6	4601	0.41551652550697327	0.59079134	No	
row_92	ELMO2	4741	0.37420642375946045	0.58196783	No	
row_93	LAMB3	4746	0.3721083700656891	0.5821257	No	
row_94	ILK	5332	0.22070282697677612	0.5434474	No	
row_95	MAP3K2	5649	0.15052351355552673	0.5225901	No	
row_96	ITGB8	5679	0.14165526628494263	0.5208217	No	
row_97	DNAJC27	5781	0.12042520940303802	0.51423776	No	
row_98	SOS1	5820	0.11230125278234482	0.51183695	No	
row_99	CRKL	5851	0.10670559853315353	0.50996214	No	
row_100	RAF1	6125	0.05606555566191673	0.49185875	No	
row_101	MAP3K1	6137	0.05449000373482704	0.49118885	No	
row_102	LAMC3	6154	0.051454827189445496	0.49018276	No	
row_103	ITGA9	6177	0.04677460715174675	0.48877203	No	
row_104	PIK3CD	6509	-0.0077961040660738945	0.4667539	No	
row_105	FLNB	6525	-0.009727789089083672	0.4657668	No	
row_106	PIK3R2	6726	-0.04237469285726547	0.4525057	No	
