NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	EGR1	1251	4.394615173339844	-0.06857896	No	
row_1	RNASEL	2120	2.2573845386505127	-0.118693545	No	
row_2	SOCS3	2555	1.682094931602478	-0.14198157	No	
row_3	PTPN11	3165	1.1181504726409912	-0.17863135	No	
row_4	IFITM2	3616	0.8438947796821594	-0.20565596	No	
row_5	PTPN1	3826	0.7307386994361877	-0.21712424	No	
row_6	IFNAR1	5883	0.0994468405842781	-0.35260552	No	
row_7	IP6K2	6910	-0.07324445247650146	-0.42013884	No	
row_8	JAK1	7287	-0.14059318602085114	-0.44452423	No	
row_9	TYK2	7772	-0.23649437725543976	-0.47573644	No	
row_10	STAT2	8966	-0.528697669506073	-0.55284405	No	
row_11	IRF3	10453	-1.0421053171157837	-0.647663	No	
row_12	IRF8	11170	-1.372139573097229	-0.6905681	No	
row_13	IFITM3	12696	-2.318485736846924	-0.7838823	No	
row_14	IRF5	12995	-2.6035335063934326	-0.79524165	No	
row_15	ABCE1	13059	-2.6610307693481445	-0.79089534	No	
row_16	IRF6	13385	-2.9780666828155518	-0.8028406	No	
row_17	BST2	13655	-3.285536289215088	-0.8101041	No	
row_18	MX2	13862	-3.5691821575164795	-0.8122995	No	
row_19	IRF4	14084	-3.9595301151275635	-0.8142378	Yes	
row_20	RSAD2	14195	-4.168782711029053	-0.80817544	Yes	
row_21	IFITM1	14208	-4.195068836212158	-0.7955562	Yes	
row_22	SAMHD1	14283	-4.33425235748291	-0.78658706	Yes	
row_23	ADAR	14288	-4.344361782073975	-0.77296203	Yes	
row_24	HLA-G	14427	-4.646975994110107	-0.7672203	Yes	
row_25	GBP2	14476	-4.7694292068481445	-0.7551426	Yes	
row_26	OAS3	14664	-5.260453224182129	-0.75067604	Yes	
row_27	MX1	14717	-5.455954551696777	-0.73666763	Yes	
row_28	OAS2	14745	-5.5416669845581055	-0.72073394	Yes	
row_29	IFIT5	14770	-5.628873348236084	-0.70432335	Yes	
row_30	SOCS1	14785	-5.698240280151367	-0.68703043	Yes	
row_31	XAF1	14811	-5.8260178565979	-0.67005557	Yes	
row_32	PTPN6	14844	-6.000759124755859	-0.65298444	Yes	
row_33	IFI6	14900	-6.37869930267334	-0.6362241	Yes	
row_34	IRF2	14903	-6.388325214385986	-0.61593235	Yes	
row_35	ISG20	15014	-7.5381903648376465	-0.59909785	Yes	
row_36	IRF7	15027	-7.740503311157227	-0.57514364	Yes	
row_37	OAS1	15036	-7.834973335266113	-0.5506232	Yes	
row_38	OASL	15044	-7.94619607925415	-0.5256811	Yes	
row_39	IFIT2	15075	-8.426925659179688	-0.5007212	Yes	
row_40	IFIT3	15078	-8.512880325317383	-0.47363716	Yes	
row_41	IFI27	15081	-8.549309730529785	-0.4464366	Yes	
row_42	IFIT1	15093	-8.74571418762207	-0.41920263	Yes	
row_43	USP18	15105	-8.998071670532227	-0.39116183	Yes	
row_44	ISG15	15115	-9.207924842834473	-0.362318	Yes	
row_45	HLA-C	15149	-11.099032402038574	-0.3290134	Yes	
row_46	HLA-E	15150	-11.117681503295898	-0.29346955	Yes	
row_47	HLA-B	15151	-11.138444900512695	-0.25785932	Yes	
row_48	IRF9	15157	-11.687451362609863	-0.22082411	Yes	
row_49	HLA-A	15166	-12.697202682495117	-0.18075882	Yes	
row_50	IFI35	15168	-12.717256546020508	-0.14016707	Yes	
row_51	HLA-F	15179	-14.076173782348633	-0.09582524	Yes	
row_52	IRF1	15181	-14.451542854309082	-0.049688876	Yes	
row_53	PSMB8	15186	-15.76928997039795	4.6224857E-4	Yes	
