NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PLCG1	593	8.586529731750488	-0.026880044	No	
row_1	NEDD4	749	7.196889877319336	-0.026644316	No	
row_2	VCAM1	957	5.750356197357178	-0.031990718	No	
row_3	EGR1	1251	4.394615173339844	-0.045049176	No	
row_4	FLNA	1610	3.3295249938964844	-0.06399575	No	
row_5	NCAM1	1704	3.050248861312866	-0.06571337	No	
row_6	TRIM29	1769	2.928892135620117	-0.06567868	No	
row_7	EIF4G3	1831	2.7997827529907227	-0.065633625	No	
row_8	TRIM2	1845	2.7673261165618896	-0.06244127	No	
row_9	MID1	1908	2.6082186698913574	-0.062743664	No	
row_10	KPNA3	2073	2.325068473815918	-0.07025036	No	
row_11	RNASEL	2120	2.2573845386505127	-0.0700022	No	
row_12	TRIM6	2376	1.8883191347122192	-0.08420627	No	
row_13	SOCS3	2555	1.682094931602478	-0.09358758	No	
row_14	RANBP2	2711	1.5016299486160278	-0.101702616	No	
row_15	POM121	2811	1.411210298538208	-0.10622286	No	
row_16	POM121C	2957	1.281850814819336	-0.11399455	No	
row_17	CAMK2G	2994	1.2558271884918213	-0.11454934	No	
row_18	TRIM35	3013	1.2402981519699097	-0.11392882	No	
row_19	PTPN11	3165	1.1181504726409912	-0.1223399	No	
row_20	TRIM62	3206	1.087740182876587	-0.123407386	No	
row_21	IFITM2	3616	0.8438947796821594	-0.14939313	No	
row_22	PTPN1	3826	0.7307386994361877	-0.16223274	No	
row_23	EIF4G2	3869	0.7049360275268555	-0.16399464	No	
row_24	NUP188	4219	0.5623418688774109	-0.1863996	No	
row_25	TRIM46	4766	0.36549514532089233	-0.22220553	No	
row_26	CAMK2D	4826	0.3478950262069702	-0.22562249	No	
row_27	TRIM8	4872	0.3348262310028076	-0.22812675	No	
row_28	NUP214	5215	0.24815598130226135	-0.25052646	No	
row_29	ARIH1	5431	0.19769537448883057	-0.26454702	No	
row_30	KPNA5	5528	0.17712798714637756	-0.2706771	No	
row_31	EIF4G1	5796	0.11845576763153076	-0.28827497	No	
row_32	IFNAR1	5883	0.0994468405842781	-0.2938533	No	
row_33	ICAM1	6025	0.07419837266206741	-0.30312952	No	
