NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	VCAM1	957	5.750356197357178	-0.04555563	No	
row_1	NCAM1	1704	3.050248861312866	-0.08547478	No	
row_2	MID1	1908	2.6082186698913574	-0.090865284	No	
row_3	CAMK2G	2994	1.2558271884918213	-0.15871243	No	
row_4	TRIM62	3206	1.087740182876587	-0.16931081	No	
row_5	CAMK2D	4826	0.3478950262069702	-0.27524614	No	
row_6	TRIM8	4872	0.3348262310028076	-0.27718997	No	
row_7	ICAM1	6025	0.07419837266206741	-0.35310176	No	
row_8	JAK1	7287	-0.14059318602085114	-0.43601343	No	
row_9	TRIM68	7383	-0.1599220484495163	-0.4418002	No	
row_10	CAMK2B	7696	-0.21876128017902374	-0.46174827	No	
row_11	CD44	7795	-0.24119213223457336	-0.46748322	No	
row_12	HCK	9335	-0.6419795751571655	-0.56722605	No	
row_13	IFNGR1	9413	-0.6677454113960266	-0.57026035	No	
row_14	TRIM25	9930	-0.8457895517349243	-0.60176194	No	
row_15	IRF3	10453	-1.0421053171157837	-0.6330559	No	
row_16	PTAFR	10704	-1.1495193243026733	-0.64604187	No	
row_17	PML	10926	-1.2570445537567139	-0.6567802	No	
row_18	IRF8	11170	-1.372139573097229	-0.6686183	No	
row_19	MT2A	11283	-1.4227252006530762	-0.67164254	No	
row_20	TRIM5	11458	-1.5014106035232544	-0.6785224	No	
row_21	HLA-DQB2	11970	-1.7838993072509766	-0.7068066	No	
row_22	TRIM34	12488	-2.146566390991211	-0.73437124	No	
row_23	FCGR1A	12654	-2.291243553161621	-0.73822564	No	
row_24	PRKCD	12758	-2.377370834350586	-0.73771715	No	
row_25	IRF5	12995	-2.6035335063934326	-0.7453032	No	
row_26	IFNGR2	13178	-2.7703535556793213	-0.7488068	No	
row_27	FCGR1B	13284	-2.8646903038024902	-0.7469308	No	
row_28	IRF6	13385	-2.9780666828155518	-0.74437547	No	
row_29	HLA-DQB1	14003	-3.8160595893859863	-0.7734118	Yes	
row_30	IRF4	14084	-3.9595301151275635	-0.76651424	Yes	
row_31	TRIM22	14106	-3.9948954582214355	-0.75560826	Yes	
row_32	HLA-DQA1	14260	-4.2740678787231445	-0.7525676	Yes	
row_33	HLA-DQA2	14348	-4.473880290985107	-0.7445498	Yes	
row_34	HLA-G	14427	-4.646975994110107	-0.7354045	Yes	
row_35	GBP2	14476	-4.7694292068481445	-0.7238995	Yes	
row_36	TRIM38	14545	-4.938676357269287	-0.71319556	Yes	
row_37	SP100	14583	-5.0508809089660645	-0.70009744	Yes	
row_38	OAS3	14664	-5.260453224182129	-0.68919635	Yes	
row_39	OAS2	14745	-5.5416669845581055	-0.6774299	Yes	
row_40	JAK2	14842	-5.9995574951171875	-0.6653118	Yes	
row_41	TRIM26	14881	-6.242210865020752	-0.6486136	Yes	
row_42	IRF2	14903	-6.388325214385986	-0.63034207	Yes	
row_43	HLA-DPB1	15026	-7.668962478637695	-0.614805	Yes	
row_44	IRF7	15027	-7.740503311157227	-0.59098434	Yes	
row_45	OAS1	15036	-7.834973335266113	-0.56740165	Yes	
row_46	OASL	15044	-7.94619607925415	-0.54341066	Yes	
row_47	HLA-DRB5	15066	-8.290501594543457	-0.5192854	Yes	
row_48	HLA-DRB1	15082	-8.55451488494873	-0.49395105	Yes	
row_49	GBP1	15097	-8.777756690979004	-0.46786362	Yes	
row_50	HLA-DPA1	15109	-9.121464729309082	-0.4405202	Yes	
row_51	CIITA	15116	-9.241040229797363	-0.4124783	Yes	
row_52	HLA-DRA	15118	-9.25808334350586	-0.3840535	Yes	
row_53	STAT1	15122	-9.32321548461914	-0.35556045	Yes	
row_54	IFI30	15134	-10.030172348022461	-0.32542056	Yes	
row_55	B2M	15138	-10.261972427368164	-0.29403856	Yes	
row_56	TRIM21	15140	-10.289429664611816	-0.2624399	Yes	
row_57	HLA-C	15149	-11.099032402038574	-0.22881241	Yes	
row_58	HLA-E	15150	-11.117681503295898	-0.19459878	Yes	
row_59	HLA-B	15151	-11.138444900512695	-0.16032124	Yes	
row_60	IRF9	15157	-11.687451362609863	-0.12468466	Yes	
row_61	HLA-A	15166	-12.697202682495117	-0.08613895	Yes	
row_62	HLA-F	15179	-14.076173782348633	-0.04361395	Yes	
row_63	IRF1	15181	-14.451542854309082	7.9323933E-4	Yes	
