NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FOXO3	4074	0.6228477358818054	-0.2687105	No	
row_1	SARS2	4297	0.523518443107605	-0.28205934	No	
row_2	MRPS35	4647	0.3993714451789856	-0.30416414	No	
row_3	MRPS27	5729	0.13277964293956757	-0.37554994	No	
row_4	LARS2	6562	-0.017267942428588867	-0.430717	No	
row_5	EARS2	7162	-0.1178140714764595	-0.47015616	No	
row_6	MTIF3	7982	-0.2807380259037018	-0.5237643	No	
row_7	MTRF1L	8187	-0.3277423083782196	-0.53643596	No	
row_8	MRPL45	8440	-0.39334267377853394	-0.5521197	No	
row_9	MRPS31	8644	-0.4431954026222229	-0.56441987	No	
row_10	MTRF1	8990	-0.5357083678245544	-0.58589894	No	
row_11	MRPL19	8991	-0.5359519124031067	-0.5844827	No	
row_12	RARS2	9129	-0.5736194252967834	-0.5920584	No	
row_13	TRNT1	9213	-0.6037282347679138	-0.5959711	No	
row_14	TRMT5	9416	-0.6689105033874512	-0.6076085	No	
row_15	POLRMT	9493	-0.6867980360984802	-0.6108371	No	
row_16	GFM2	9612	-0.7324147820472717	-0.61673236	No	
row_17	AARS2	9725	-0.7727311849594116	-0.6221229	No	
row_18	GFM1	9781	-0.7952114939689636	-0.6236715	No	
row_19	TRMT61B	9864	-0.822598934173584	-0.62693936	No	
row_20	MRPS2	9957	-0.8545420169830322	-0.63078654	No	
row_21	MRPL50	10117	-0.916244387626648	-0.6389168	No	
row_22	FASTKD2	10271	-0.9744976162910461	-0.646495	No	
row_23	OXA1L	10281	-0.9776011109352112	-0.64450896	No	
row_24	PTCD3	10295	-0.9813615083694458	-0.6427784	No	
row_25	RPUSD4	10297	-0.9821680784225464	-0.64024943	No	
row_26	MTIF2	10436	-1.0357015132904053	-0.64667046	No	
row_27	MRPL3	10531	-1.0756205320358276	-0.65006614	No	
row_28	MRRF	10563	-1.0883686542510986	-0.64924735	No	
row_29	MRPS10	10699	-1.1482410430908203	-0.65517193	No	
row_30	MRPL33	10737	-1.1636065244674683	-0.65455246	No	
row_31	WARS2	10914	-1.2524305582046509	-0.66292256	No	
row_32	FASTKD5	10932	-1.2621439695358276	-0.66071546	No	
row_33	ELAC2	11094	-1.3337459564208984	-0.66787523	No	
row_34	IARS2	11230	-1.3983699083328247	-0.67313886	No	
row_35	MRPL1	11487	-1.5124492645263672	-0.68613076	No	
row_36	MRPL28	11547	-1.5452357530593872	-0.6859628	No	
row_37	TFB1M	11578	-1.5584827661514282	-0.6838354	No	
row_38	MRPL44	11583	-1.563178539276123	-0.67997015	No	
row_39	QRSL1	11962	-1.7801684141159058	-0.7003507	No	
row_40	MRPL39	12036	-1.8235663175582886	-0.70037633	Yes	
row_41	MRPS5	12111	-1.8809399604797363	-0.7003167	Yes	
row_42	TRIT1	12116	-1.8828814029693604	-0.69560665	Yes	
row_43	MRPL10	12124	-1.8907862901687622	-0.6910748	Yes	
row_44	DARS2	12240	-1.9787063598632812	-0.6934777	Yes	
row_45	MTO1	12263	-1.9884690046310425	-0.68968314	Yes	
row_46	ERAL1	12306	-2.0266716480255127	-0.68711483	Yes	
row_47	MRPL48	12419	-2.096282482147217	-0.68900794	Yes	
row_48	GADD45GIP1	12578	-2.2260689735412598	-0.69361067	Yes	
row_49	MRPS36	12699	-2.3207993507385254	-0.69544137	Yes	
row_50	MRPL30	12704	-2.3257901668548584	-0.68956095	Yes	
row_51	MRPS14	12718	-2.339916944503784	-0.6842404	Yes	
row_52	MRPL41	12734	-2.3548178672790527	-0.67901325	Yes	
row_53	MRPS25	12757	-2.375905752182007	-0.67419493	Yes	
row_54	MRPL42	12759	-2.3789350986480713	-0.66797495	Yes	
row_55	MRPS9	12768	-2.3856873512268066	-0.6622017	Yes	
row_56	MRPS12	12777	-2.3951172828674316	-0.65640354	Yes	
row_57	MRPS16	12904	-2.5082576274871826	-0.658137	Yes	
row_58	YARS2	12905	-2.5091426372528076	-0.65150666	Yes	
row_59	MRPS34	12950	-2.5433688163757324	-0.64770573	Yes	
row_60	MRPL46	13057	-2.6569931507110596	-0.64771897	Yes	
row_61	DAP3	13141	-2.7364015579223633	-0.64599603	Yes	
row_62	MRPS33	13157	-2.752824544906616	-0.63971716	Yes	
row_63	MRPL32	13173	-2.7683334350585938	-0.63339734	Yes	
row_64	MRPL47	13183	-2.7746527194976807	-0.62666255	Yes	
row_65	MRPL51	13195	-2.7844741344451904	-0.62003464	Yes	
row_66	TFB2M	13203	-2.7895679473876953	-0.61312777	Yes	
row_67	MRPL35	13349	-2.9380486011505127	-0.6149864	Yes	
row_68	MRPS28	13357	-2.946404218673706	-0.60766506	Yes	
row_69	MRPL40	13399	-2.9882731437683105	-0.6024894	Yes	
row_70	PUS1	13442	-3.0361132621765137	-0.59725374	Yes	
row_71	PNPT1	13459	-3.049813985824585	-0.5902564	Yes	
row_72	MRPL43	13525	-3.122074842453003	-0.58631986	Yes	
row_73	NDUFA7	13531	-3.128912925720215	-0.57838356	Yes	
