NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MRPS35	4647	0.3993714451789856	-0.3062281	No	
row_1	MRPS27	5729	0.13277964293956757	-0.37732834	No	
row_2	MTRF1L	8187	-0.3277423083782196	-0.5388436	No	
row_3	MRPL45	8440	-0.39334267377853394	-0.55418664	No	
row_4	MRPS31	8644	-0.4431954026222229	-0.566117	No	
row_5	MRPL19	8991	-0.5359519124031067	-0.5871973	No	
row_6	GFM2	9612	-0.7324147820472717	-0.625746	No	
row_7	MRPS2	9957	-0.8545420169830322	-0.64561117	No	
row_8	MRPL50	10117	-0.916244387626648	-0.65302145	No	
row_9	OXA1L	10281	-0.9776011109352112	-0.660488	No	
row_10	PTCD3	10295	-0.9813615083694458	-0.6580132	No	
row_11	MRPL3	10531	-1.0756205320358276	-0.66991234	No	
row_12	MRRF	10563	-1.0883686542510986	-0.6682653	No	
row_13	MRPS10	10699	-1.1482410430908203	-0.6732986	No	
row_14	MRPL33	10737	-1.1636065244674683	-0.671793	No	
row_15	MRPL1	11487	-1.5124492645263672	-0.7162292	No	
row_16	MRPL28	11547	-1.5452357530593872	-0.71488285	No	
row_17	MRPL44	11583	-1.563178539276123	-0.7118869	No	
row_18	MRPL39	12036	-1.8235663175582886	-0.73560727	No	
row_19	MRPS5	12111	-1.8809399604797363	-0.7341128	No	
row_20	MRPL10	12124	-1.8907862901687622	-0.7284811	No	
row_21	ERAL1	12306	-2.0266716480255127	-0.73357373	No	
row_22	MRPL48	12419	-2.096282482147217	-0.73386264	No	
row_23	GADD45GIP1	12578	-2.2260689735412598	-0.7367552	No	
row_24	MRPS36	12699	-2.3207993507385254	-0.73681056	Yes	
row_25	MRPL30	12704	-2.3257901668548584	-0.729171	Yes	
row_26	MRPS14	12718	-2.339916944503784	-0.72207904	Yes	
row_27	MRPL41	12734	-2.3548178672790527	-0.7150689	Yes	
row_28	MRPS25	12757	-2.375905752182007	-0.7084503	Yes	
row_29	MRPL42	12759	-2.3789350986480713	-0.7004315	Yes	
row_30	MRPS9	12768	-2.3856873512268066	-0.6928531	Yes	
row_31	MRPS12	12777	-2.3951172828674316	-0.68524265	Yes	
row_32	MRPS16	12904	-2.5082576274871826	-0.68505806	Yes	
row_33	MRPS34	12950	-2.5433688163757324	-0.6793928	Yes	
row_34	MRPL46	13057	-2.6569931507110596	-0.67737895	Yes	
row_35	DAP3	13141	-2.7364015579223633	-0.67357284	Yes	
row_36	MRPS33	13157	-2.752824544906616	-0.66521	Yes	
row_37	MRPL32	13173	-2.7683334350585938	-0.6567944	Yes	
row_38	MRPL47	13183	-2.7746527194976807	-0.6479603	Yes	
row_39	MRPL51	13195	-2.7844741344451904	-0.6392251	Yes	
