NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SARS2	4297	0.523518443107605	-0.28322855	No	
row_1	MRPS35	4647	0.3993714451789856	-0.30516386	No	
row_2	MRPS27	5729	0.13277964293956757	-0.3764127	No	
row_3	LARS2	6562	-0.017267942428588867	-0.43150413	No	
row_4	EARS2	7162	-0.1178140714764595	-0.47085184	No	
row_5	MTIF3	7982	-0.2807380259037018	-0.5242929	No	
row_6	MTRF1L	8187	-0.3277423083782196	-0.5368324	No	
row_7	MRPL45	8440	-0.39334267377853394	-0.5523568	No	
row_8	MRPS31	8644	-0.4431954026222229	-0.56448436	No	
row_9	MTRF1	8990	-0.5357083678245544	-0.58574635	No	
row_10	MRPL19	8991	-0.5359519124031067	-0.5841418	No	
row_11	RARS2	9129	-0.5736194252967834	-0.5915045	No	
row_12	GFM2	9612	-0.7324147820472717	-0.6212577	No	
row_13	AARS2	9725	-0.7727311849594116	-0.6263674	No	
row_14	GFM1	9781	-0.7952114939689636	-0.62763196	No	
row_15	MRPS2	9957	-0.8545420169830322	-0.6366722	No	
row_16	MRPL50	10117	-0.916244387626648	-0.6444673	No	
row_17	FASTKD2	10271	-0.9744976162910461	-0.6516903	No	
row_18	OXA1L	10281	-0.9776011109352112	-0.64936	No	
row_19	PTCD3	10295	-0.9813615083694458	-0.64728355	No	
row_20	MTIF2	10436	-1.0357015132904053	-0.6534617	No	
row_21	MRPL3	10531	-1.0756205320358276	-0.6564716	No	
row_22	MRRF	10563	-1.0883686542510986	-0.6552678	No	
row_23	MRPS10	10699	-1.1482410430908203	-0.6607776	No	
row_24	MRPL33	10737	-1.1636065244674683	-0.6597463	No	
row_25	WARS2	10914	-1.2524305582046509	-0.6676616	No	
row_26	IARS2	11230	-1.3983699083328247	-0.6843526	No	
row_27	MRPL1	11487	-1.5124492645263672	-0.69679165	No	
row_28	MRPL28	11547	-1.5452357530593872	-0.69607586	No	
row_29	MRPL44	11583	-1.563178539276123	-0.6937157	No	
row_30	QRSL1	11962	-1.7801684141159058	-0.71343917	Yes	
row_31	MRPL39	12036	-1.8235663175582886	-0.71281797	Yes	
row_32	MRPS5	12111	-1.8809399604797363	-0.71209127	Yes	
row_33	MRPL10	12124	-1.8907862901687622	-0.70722586	Yes	
row_34	DARS2	12240	-1.9787063598632812	-0.7089239	Yes	
row_35	ERAL1	12306	-2.0266716480255127	-0.7071644	Yes	
row_36	MRPL48	12419	-2.096282482147217	-0.70831156	Yes	
row_37	GADD45GIP1	12578	-2.2260689735412598	-0.7121189	Yes	
row_38	MRPS36	12699	-2.3207993507385254	-0.71312416	Yes	
row_39	MRPL30	12704	-2.3257901668548584	-0.7064262	Yes	
row_40	MRPS14	12718	-2.339916944503784	-0.70028245	Yes	
row_41	MRPL41	12734	-2.3548178672790527	-0.6942267	Yes	
row_42	MRPS25	12757	-2.375905752182007	-0.6885717	Yes	
row_43	MRPL42	12759	-2.3789350986480713	-0.6815158	Yes	
row_44	MRPS9	12768	-2.3856873512268066	-0.67490363	Yes	
row_45	MRPS12	12777	-2.3951172828674316	-0.66826326	Yes	
row_46	MRPS16	12904	-2.5082576274871826	-0.6691049	Yes	
row_47	YARS2	12905	-2.5091426372528076	-0.6615929	Yes	
row_48	MRPS34	12950	-2.5433688163757324	-0.6568947	Yes	
row_49	MRPL46	13057	-2.6569931507110596	-0.6559655	Yes	
row_50	DAP3	13141	-2.7364015579223633	-0.6532742	Yes	
row_51	MRPS33	13157	-2.752824544906616	-0.6460268	Yes	
row_52	MRPL32	13173	-2.7683334350585938	-0.638733	Yes	
row_53	MRPL47	13183	-2.7746527194976807	-0.63102263	Yes	
row_54	MRPL51	13195	-2.7844741344451904	-0.6234154	Yes	
row_55	MRPL35	13349	-2.9380486011505127	-0.62475985	Yes	
row_56	MRPS28	13357	-2.946404218673706	-0.6164027	Yes	
row_57	MRPL40	13399	-2.9882731437683105	-0.61017364	Yes	
row_58	MRPL43	13525	-3.122074842453003	-0.60911137	Yes	
row_59	NDUFA7	13531	-3.128912925720215	-0.60007524	Yes	
row_60	MRPL13	13623	-3.2432029247283936	-0.59639686	Yes	
row_61	MRPL20	13723	-3.380981683731079	-0.59283626	Yes	
row_62	MRPL27	13739	-3.404350519180298	-0.5836383	Yes	
row_63	MRPL17	13777	-3.4474234580993652	-0.57576954	Yes	
row_64	MRPL36	13817	-3.493652582168579	-0.5678949	Yes	
row_65	MRPL12	13829	-3.5024290084838867	-0.5581382	Yes	
row_66	MRPL55	13875	-3.5922420024871826	-0.5503661	Yes	
row_67	MRPL54	13879	-3.5982306003570557	-0.53979236	Yes	
row_68	AURKAIP1	13932	-3.678981065750122	-0.5322245	Yes	
row_69	MRPL37	13936	-3.6850473880767822	-0.52139086	Yes	
row_70	MRPL49	14039	-3.8797852993011475	-0.5165357	Yes	
row_71	MRPS15	14042	-3.8869876861572266	-0.5050312	Yes	
row_72	TUFM	14046	-3.8922038078308105	-0.4935774	Yes	
row_73	MRPL53	14056	-3.9076101779937744	-0.4824751	Yes	
row_74	MRPL34	14067	-3.929025173187256	-0.471375	Yes	
row_75	GATC	14092	-3.972083806991577	-0.46107382	Yes	
row_76	MRPL21	14156	-4.085923194885254	-0.4530167	Yes	
row_77	MRPS11	14202	-4.1822099685668945	-0.44347832	Yes	
row_78	MRPL23	14210	-4.199289798736572	-0.4313702	Yes	
row_79	MRPL22	14230	-4.223350524902344	-0.4199854	Yes	
row_80	MRPS7	14281	-4.3230204582214355	-0.41035685	Yes	
row_81	CHCHD1	14300	-4.378484725952148	-0.39844134	Yes	
row_82	MRPS23	14379	-4.538193702697754	-0.39002433	Yes	
row_83	MRPL15	14421	-4.631931781768799	-0.37887442	Yes	
row_84	MRPS24	14422	-4.633852958679199	-0.36500138	Yes	
row_85	MRPL24	14584	-5.051562786102295	-0.3605485	Yes	
row_86	MRPS21	14623	-5.150232791900635	-0.34764805	Yes	
row_87	MRPL52	14642	-5.202001094818115	-0.33326706	Yes	
row_88	MRPS26	14666	-5.260733127593994	-0.3190416	Yes	
row_89	MRPL4	14692	-5.356562614440918	-0.3046618	Yes	
row_90	MRPL9	14702	-5.379946708679199	-0.28915158	Yes	
row_91	MRPS18C	14729	-5.498904228210449	-0.27441192	Yes	
row_92	MRPS22	14774	-5.645648956298828	-0.26042593	Yes	
row_93	MRPS30	14797	-5.7443132400512695	-0.24468644	Yes	
row_94	MRPL38	14937	-6.654462814331055	-0.23397662	Yes	
row_95	MRPS18B	14943	-6.741949081420898	-0.21412364	Yes	
row_96	MRPS17	14956	-6.818495273590088	-0.19450544	Yes	
row_97	MRPS6	14973	-6.946475505828857	-0.1747692	Yes	
row_98	MRPL18	14979	-7.002421855926514	-0.15413639	Yes	
row_99	TSFM	14987	-7.108889579772949	-0.1333174	Yes	
row_100	TARS2	14990	-7.1301140785217285	-0.112103485	Yes	
row_101	MRPL2	15003	-7.306126594543457	-0.09102538	Yes	
row_102	MRPL11	15028	-7.742561340332031	-0.069436	Yes	
row_103	MRPS18A	15057	-8.126211166381836	-0.04696314	Yes	
row_104	MRPL16	15073	-8.379801750183105	-0.022869457	Yes	
row_105	MRPL14	15139	-10.273327827453613	0.003579264	Yes	
