NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MRPS35	4647	0.3993714451789856	-0.3062947	No	
row_1	MRPS27	5729	0.13277964293956757	-0.37741506	No	
row_2	MRPL45	8440	-0.39334267377853394	-0.5555108	No	
row_3	MRPS31	8644	-0.4431954026222229	-0.5674934	No	
row_4	MRPL19	8991	-0.5359519124031067	-0.5886373	No	
row_5	GFM2	9612	-0.7324147820472717	-0.6272735	No	
row_6	GFM1	9781	-0.7952114939689636	-0.6357837	No	
row_7	MRPS2	9957	-0.8545420169830322	-0.6445625	No	
row_8	MRPL50	10117	-0.916244387626648	-0.6520796	No	
row_9	OXA1L	10281	-0.9776011109352112	-0.65966004	No	
row_10	PTCD3	10295	-0.9813615083694458	-0.657299	No	
row_11	MRPL3	10531	-1.0756205320358276	-0.6693237	No	
row_12	MRPS10	10699	-1.1482410430908203	-0.67660874	No	
row_13	MRPL33	10737	-1.1636065244674683	-0.6752381	No	
row_14	MRPL1	11487	-1.5124492645263672	-0.7198527	No	
row_15	MRPL28	11547	-1.5452357530593872	-0.7186855	No	
row_16	MRPL44	11583	-1.563178539276123	-0.7158708	No	
row_17	MRPL39	12036	-1.8235663175582886	-0.7398043	No	
row_18	MRPS5	12111	-1.8809399604797363	-0.738528	No	
row_19	MRPL10	12124	-1.8907862901687622	-0.7331154	No	
row_20	ERAL1	12306	-2.0266716480255127	-0.73844343	No	
row_21	MRPL48	12419	-2.096282482147217	-0.73897564	No	
row_22	GADD45GIP1	12578	-2.2260689735412598	-0.7421267	No	
row_23	MRPS36	12699	-2.3207993507385254	-0.74245137	Yes	
row_24	MRPL30	12704	-2.3257901668548584	-0.73508114	Yes	
row_25	MRPS14	12718	-2.339916944503784	-0.7282602	Yes	
row_26	MRPL41	12734	-2.3548178672790527	-0.7215228	Yes	
row_27	MRPS25	12757	-2.375905752182007	-0.71517956	Yes	
row_28	MRPL42	12759	-2.3789350986480713	-0.70743626	Yes	
row_29	MRPS9	12768	-2.3856873512268066	-0.70013416	Yes	
row_30	MRPS12	12777	-2.3951172828674316	-0.69280106	Yes	
row_31	MRPS16	12904	-2.5082576274871826	-0.6929076	Yes	
row_32	MRPS34	12950	-2.5433688163757324	-0.687537	Yes	
row_33	MRPL46	13057	-2.6569931507110596	-0.6858313	Yes	
row_34	DAP3	13141	-2.7364015579223633	-0.68234247	Yes	
row_35	MRPS33	13157	-2.752824544906616	-0.6742985	Yes	
row_36	MRPL32	13173	-2.7683334350585938	-0.6662036	Yes	
row_37	MRPL47	13183	-2.7746527194976807	-0.6576908	Yes	
row_38	MRPL51	13195	-2.7844741344451904	-0.64927816	Yes	
row_39	MRPL35	13349	-2.9380486011505127	-0.649761	Yes	
row_40	MRPS28	13357	-2.946404218673706	-0.640552	Yes	
row_41	MRPL40	13399	-2.9882731437683105	-0.6334562	Yes	
row_42	MRPL43	13525	-3.122074842453003	-0.6314814	Yes	
row_43	MRPL13	13623	-3.2432029247283936	-0.62725556	Yes	
row_44	MRPL20	13723	-3.380981683731079	-0.6227099	Yes	
row_45	MRPL27	13739	-3.404350519180298	-0.6125271	Yes	
row_46	MRPL17	13777	-3.4474234580993652	-0.60365915	Yes	
row_47	MRPL36	13817	-3.493652582168579	-0.59477186	Yes	
row_48	MRPL12	13829	-3.5024290084838867	-0.5840024	Yes	
row_49	MRPL55	13875	-3.5922420024871826	-0.57518864	Yes	
row_50	MRPL54	13879	-3.5982306003570557	-0.563575	Yes	
row_51	AURKAIP1	13932	-3.678981065750122	-0.55493987	Yes	
row_52	MRPL37	13936	-3.6850473880767822	-0.5430413	Yes	
row_53	MRPL49	14039	-3.8797852993011475	-0.5370567	Yes	
row_54	MRPS15	14042	-3.8869876861572266	-0.524429	Yes	
row_55	TUFM	14046	-3.8922038078308105	-0.51185036	Yes	
row_56	MRPL53	14056	-3.9076101779937744	-0.49961835	Yes	
row_57	MRPL34	14067	-3.929025173187256	-0.4873822	Yes	
row_58	MRPL21	14156	-4.085923194885254	-0.47979417	Yes	
row_59	MRPS11	14202	-4.1822099685668945	-0.4690437	Yes	
row_60	MRPL23	14210	-4.199289798736572	-0.45572177	Yes	
row_61	MRPL22	14230	-4.223350524902344	-0.44311514	Yes	
row_62	MRPS7	14281	-4.3230204582214355	-0.4322334	Yes	
row_63	CHCHD1	14300	-4.378484725952148	-0.41905135	Yes	
row_64	MRPS23	14379	-4.538193702697754	-0.40931666	Yes	
row_65	MRPL15	14421	-4.631931781768799	-0.39682508	Yes	
row_66	MRPS24	14422	-4.633852958679199	-0.3816132	Yes	
row_67	MRPL24	14584	-5.051562786102295	-0.3756874	Yes	
row_68	MRPS21	14623	-5.150232791900635	-0.36129576	Yes	
row_69	MRPL52	14642	-5.202001094818115	-0.3454103	Yes	
row_70	MRPS26	14666	-5.260733127593994	-0.32966298	Yes	
row_71	MRPL4	14692	-5.356562614440918	-0.31373346	Yes	
row_72	MRPL9	14702	-5.379946708679199	-0.29666808	Yes	
row_73	MRPS18C	14729	-5.498904228210449	-0.2803375	Yes	
row_74	MRPS22	14774	-5.645648956298828	-0.2647167	Yes	
row_75	MRPS30	14797	-5.7443132400512695	-0.24731572	Yes	
row_76	MRPL38	14937	-6.654462814331055	-0.23467168	Yes	
row_77	MRPS18B	14943	-6.741949081420898	-0.21287039	Yes	
row_78	MRPS17	14956	-6.818495273590088	-0.19128117	Yes	
row_79	MRPS6	14973	-6.946475505828857	-0.1695366	Yes	
row_80	MRPL18	14979	-7.002421855926514	-0.14688022	Yes	
row_81	TSFM	14987	-7.108889579772949	-0.12400674	Yes	
row_82	MRPL2	15003	-7.306126594543457	-0.10101533	Yes	
row_83	MRPL11	15028	-7.742561340332031	-0.07718694	Yes	
row_84	MRPS18A	15057	-8.126211166381836	-0.052363906	Yes	
row_85	MRPL16	15073	-8.379801750183105	-0.025847862	Yes	
row_86	MRPL14	15139	-10.273327827453613	0.0035744684	Yes	
