NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MRPS35	4647	0.3993714451789856	-0.30625093	No	
row_1	MRPS27	5729	0.13277964293956757	-0.3773567	No	
row_2	MTRF1L	8187	-0.3277423083782196	-0.5388847	No	
row_3	MRPL45	8440	-0.39334267377853394	-0.55423135	No	
row_4	MRPS31	8644	-0.4431954026222229	-0.5661653	No	
row_5	MTRF1	8990	-0.5357083678245544	-0.5871851	No	
row_6	MRPL19	8991	-0.5359519124031067	-0.5853669	No	
row_7	GFM2	9612	-0.7324147820472717	-0.6239228	No	
row_8	MRPS2	9957	-0.8545420169830322	-0.6437948	No	
row_9	MRPL50	10117	-0.916244387626648	-0.65121144	No	
row_10	OXA1L	10281	-0.9776011109352112	-0.65868473	No	
row_11	PTCD3	10295	-0.9813615083694458	-0.6562161	No	
row_12	MRPL3	10531	-1.0756205320358276	-0.6681228	No	
row_13	MRRF	10563	-1.0883686542510986	-0.6664827	No	
row_14	MRPS10	10699	-1.1482410430908203	-0.67152363	No	
row_15	MRPL33	10737	-1.1636065244674683	-0.6700254	No	
row_16	MRPL1	11487	-1.5124492645263672	-0.71447426	No	
row_17	MRPL28	11547	-1.5452357530593872	-0.7131377	No	
row_18	MRPL44	11583	-1.563178539276123	-0.71015155	No	
row_19	MRPL39	12036	-1.8235663175582886	-0.73388517	No	
row_20	MRPS5	12111	-1.8809399604797363	-0.7324027	No	
row_21	MRPL10	12124	-1.8907862901687622	-0.7267827	No	
row_22	ERAL1	12306	-2.0266716480255127	-0.7318886	No	
row_23	MRPL48	12419	-2.096282482147217	-0.73219097	No	
row_24	GADD45GIP1	12578	-2.2260689735412598	-0.73509794	No	
row_25	MRPS36	12699	-2.3207993507385254	-0.7351682	Yes	
row_26	MRPL30	12704	-2.3257901668548584	-0.72754294	Yes	
row_27	MRPS14	12718	-2.339916944503784	-0.72046554	Yes	
row_28	MRPL41	12734	-2.3548178672790527	-0.71347	Yes	
row_29	MRPS25	12757	-2.375905752182007	-0.7068662	Yes	
row_30	MRPL42	12759	-2.3789350986480713	-0.69886214	Yes	
row_31	MRPS9	12768	-2.3856873512268066	-0.6912985	Yes	
row_32	MRPS12	12777	-2.3951172828674316	-0.6837028	Yes	
row_33	MRPS16	12904	-2.5082576274871826	-0.6835343	Yes	
row_34	MRPS34	12950	-2.5433688163757324	-0.67788494	Yes	
row_35	MRPL46	13057	-2.6569931507110596	-0.67588794	Yes	
