NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FBN1	4	32.399681091308594	0.046911623	Yes	
row_1	EMILIN1	26	26.741357803344727	0.0844562	Yes	
row_2	THBS1	36	25.442819595336914	0.1209062	Yes	
row_3	FSTL1	53	23.427934646606445	0.15395787	Yes	
row_4	CREB3L1	58	22.916597366333008	0.18706122	Yes	
row_5	PMEPA1	66	22.155492782592773	0.21885727	Yes	
row_6	TGFB1I1	68	21.980213165283203	0.2507962	Yes	
row_7	ADAMTS12	91	20.48077392578125	0.2791584	Yes	
row_8	SULF2	102	19.666770935058594	0.3071316	Yes	
row_9	NBL1	117	19.166095733642578	0.33411032	Yes	
row_10	SHISA2	158	17.355998992919922	0.35672823	Yes	
row_11	DCN	165	17.14639663696289	0.3812969	Yes	
row_12	SLIT2	194	15.744550704956055	0.40236458	Yes	
row_13	FSTL3	210	15.166752815246582	0.42345354	Yes	
row_14	BMP2	223	14.838980674743652	0.4442643	Yes	
row_15	GPC1	233	14.619424819946289	0.4649544	Yes	
row_16	ASPN	244	14.31662654876709	0.48513725	Yes	
row_17	GREM2	254	14.05865478515625	0.50501084	Yes	
row_18	HTRA3	255	14.005075454711914	0.52540356	Yes	
row_19	CHRD	300	13.13247013092041	0.5416062	Yes	
row_20	TGFBR2	302	13.124903678894043	0.56065094	Yes	
row_21	PRDM16	354	11.876493453979492	0.5745603	Yes	
row_22	SEMA6A	380	11.372355461120605	0.5894607	Yes	
row_23	BAMBI	440	10.401552200317383	0.60069156	Yes	
row_24	NOG	480	9.839086532592773	0.61243045	Yes	
row_25	SOSTDC1	494	9.674607276916504	0.625655	Yes	
row_26	ADAMTSL2	534	9.149365425109863	0.6363896	Yes	
row_27	SPRY2	591	8.59731674194336	0.6451924	Yes	
row_28	BMPER	595	8.580376625061035	0.65748715	Yes	
row_29	SMAD9	698	7.640501976013184	0.6618445	Yes	
row_30	SKI	732	7.3427605628967285	0.6703466	Yes	
