NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	EGR1	1251	4.394615173339844	-0.0685246	No	
row_1	SMPD1	1724	3.0142693519592285	-0.09002284	No	
row_2	RNASEL	2120	2.2573845386505127	-0.1088656	No	
row_3	IFITM2	3616	0.8438947796821594	-0.20491317	No	
row_4	SETD2	4118	0.6041393876075745	-0.23606825	No	
row_5	IFNAR1	5883	0.0994468405842781	-0.35227677	No	
row_6	IP6K2	6910	-0.07324445247650146	-0.41981795	No	
row_7	JAK1	7287	-0.14059318602085114	-0.44420454	No	
row_8	TYK2	7772	-0.23649437725543976	-0.47541746	No	
row_9	TRIM56	7983	-0.28140178322792053	-0.488386	No	
row_10	STAT2	8966	-0.528697669506073	-0.5515577	No	
row_11	SHMT2	9086	-0.5620110034942627	-0.5576136	No	
row_12	IRF3	10453	-1.0421053171157837	-0.64450294	No	
row_13	IRF8	11170	-1.372139573097229	-0.68739396	No	
row_14	MYD88	11919	-1.753706693649292	-0.7311733	No	
row_15	IFNAR2	12472	-2.1353583335876465	-0.7607792	No	
row_16	IFITM3	12696	-2.318485736846924	-0.7680636	No	
row_17	IRF5	12995	-2.6035335063934326	-0.7793868	No	
row_18	IRAK1	13119	-2.7175843715667725	-0.77878344	No	
row_19	IRF6	13385	-2.9780666828155518	-0.78672373	No	
row_20	BST2	13655	-3.285536289215088	-0.7939408	No	
row_21	MX2	13862	-3.5691821575164795	-0.796085	No	
row_22	IRF4	14084	-3.9595301151275635	-0.79796636	Yes	
row_23	RSAD2	14195	-4.168782711029053	-0.79184306	Yes	
row_24	IFITM1	14208	-4.195068836212158	-0.7791616	Yes	
row_25	SAMHD1	14283	-4.33425235748291	-0.7701287	Yes	
row_26	ADAR	14288	-4.344361782073975	-0.75643927	Yes	
row_27	HLA-G	14427	-4.646975994110107	-0.7506297	Yes	
row_28	GBP2	14476	-4.7694292068481445	-0.7384816	Yes	
row_29	SP100	14583	-5.0508809089660645	-0.7292608	Yes	
row_30	OAS3	14664	-5.260453224182129	-0.7176494	Yes	
row_31	MX1	14717	-5.455954551696777	-0.7035605	Yes	
row_32	OAS2	14745	-5.5416669845581055	-0.6875447	Yes	
row_33	IFIT5	14770	-5.628873348236084	-0.67105067	Yes	
row_34	XAF1	14811	-5.8260178565979	-0.65498036	Yes	
row_35	IFI6	14900	-6.37869930267334	-0.64030576	Yes	
row_36	IRF2	14903	-6.388325214385986	-0.6199191	Yes	
row_37	ISG20	15014	-7.5381903648376465	-0.6029736	Yes	
row_38	IRF7	15027	-7.740503311157227	-0.5789045	Yes	
row_39	OAS1	15036	-7.834973335266113	-0.5542677	Yes	
row_40	OASL	15044	-7.94619607925415	-0.52920765	Yes	
row_41	IFIT2	15075	-8.426925659179688	-0.5041229	Yes	
row_42	IFIT3	15078	-8.512880325317383	-0.47691238	Yes	
row_43	IFI27	15081	-8.549309730529785	-0.44958487	Yes	
row_44	IFIT1	15093	-8.74571418762207	-0.42222106	Yes	
row_45	ISG15	15115	-9.207924842834473	-0.39403328	Yes	
row_46	STAT1	15122	-9.32321548461914	-0.36448428	Yes	
row_47	HLA-C	15149	-11.099032402038574	-0.3305527	Yes	
row_48	HLA-E	15150	-11.117681503295898	-0.2948437	Yes	
row_49	HLA-B	15151	-11.138444900512695	-0.259068	Yes	
row_50	IRF9	15157	-11.687451362609863	-0.22185923	Yes	
row_51	HLA-A	15166	-12.697202682495117	-0.18160541	Yes	
row_52	IFI35	15168	-12.717256546020508	-0.14082478	Yes	
row_53	HLA-F	15179	-14.076173782348633	-0.096273944	Yes	
row_54	IRF1	15181	-14.451542854309082	-0.049922924	Yes	
row_55	PSMB8	15186	-15.76928997039795	4.6239965E-4	Yes	
