NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PSMD1	5314	0.22554078698158264	-0.35169798	No	
row_1	ANAPC2	5867	0.10273704677820206	-0.38802162	No	
row_2	CDC27	6006	0.0779806450009346	-0.39696437	No	
row_3	RFC1	7037	-0.09640472382307053	-0.46499398	No	
row_4	PSME3	7201	-0.12382311373949051	-0.47547302	No	
row_5	PSME4	7688	-0.21744674444198608	-0.5071181	No	
row_6	FZR1	7720	-0.22322435677051544	-0.50858355	No	
row_7	PSMC4	7911	-0.26553699374198914	-0.5204782	No	
row_8	CDC23	7930	-0.2692982852458954	-0.52096003	No	
row_9	ANAPC4	7967	-0.2778170108795166	-0.52261275	No	
row_10	CDC16	8331	-0.36500513553619385	-0.5457137	No	
row_11	RPS27A	8450	-0.3954343795776367	-0.5524919	No	
row_12	ANAPC1	8952	-0.5249675512313843	-0.584319	No	
row_13	LIG1	8962	-0.5267021656036377	-0.5835242	No	
row_14	RPA1	9088	-0.5625913143157959	-0.5903249	No	
row_15	SKP2	9225	-0.6070134043693542	-0.59773743	No	
row_16	CUL1	9395	-0.6607823371887207	-0.6071957	No	
row_17	PSMD5	9468	-0.6802237033843994	-0.6101719	No	
row_18	ANAPC16	9499	-0.6896664500236511	-0.61033875	No	
row_19	SKP1	9645	-0.7440930604934692	-0.61798584	No	
row_20	PSMD3	9736	-0.7770227789878845	-0.62189966	No	
row_21	UBE2D1	9880	-0.8276664018630981	-0.62919337	No	
row_22	PSMD8	9916	-0.840112566947937	-0.6292943	No	
row_23	CCNA1	10008	-0.8723130226135254	-0.6330226	No	
row_24	POLD4	10096	-0.9068312048912048	-0.6363946	No	
row_25	GINS4	10153	-0.9281125068664551	-0.63765526	No	
row_26	POLE	10182	-0.9394860863685608	-0.6370296	No	
row_27	POLD1	10414	-1.0275328159332275	-0.64962924	No	
row_28	MCM8	10570	-1.0927809476852417	-0.65701807	No	
row_29	UBB	10689	-1.14455246925354	-0.6618172	No	
row_30	CDC26	10741	-1.1695789098739624	-0.6621085	No	
row_31	UBC	10939	-1.2639217376708984	-0.6718296	No	
row_32	PSMD12	11082	-1.3253339529037476	-0.67774224	No	
row_33	PSMD2	11084	-1.3259129524230957	-0.6743057	No	
row_34	PSMC5	11112	-1.3426692485809326	-0.67254853	No	
row_35	POLA1	11717	-1.6311213970184326	-0.7082818	No	
row_36	CDC6	11816	-1.6895831823349	-0.71031517	No	
row_37	ANAPC5	11845	-1.7070103883743286	-0.7076618	No	
row_38	PSMF1	11875	-1.725949764251709	-0.7050247	No	
row_39	PSMB7	12026	-1.8138827085494995	-0.71017706	No	
row_40	CCNE2	12187	-1.9429714679718018	-0.71565133	No	
row_41	PSMC1	12253	-1.983543872833252	-0.7147203	No	
row_42	PSMD10	12407	-2.0914218425750732	-0.71933836	No	
row_43	PSMB5	12517	-2.166536569595337	-0.72084093	Yes	
row_44	PSMA1	12543	-2.193392038345337	-0.7167037	Yes	
row_45	RFC5	12555	-2.2020509243011475	-0.7116155	Yes	
row_46	RFC3	12614	-2.2513935565948486	-0.7095128	Yes	
row_47	PSMD6	12747	-2.3660945892333984	-0.712013	Yes	
row_48	RPA3	12933	-2.5309202671051025	-0.7175914	Yes	
row_49	DNA2	13072	-2.67870831489563	-0.7196635	Yes	
row_50	PSMD13	13082	-2.6853890419006348	-0.71316576	Yes	
row_51	UBA52	13090	-2.697148323059082	-0.70650446	Yes	
row_52	ANAPC7	13096	-2.704274892807007	-0.69969165	Yes	
row_53	POLE2	13147	-2.74045467376709	-0.6957666	Yes	
row_54	PSMA7	13200	-2.785933256149292	-0.691854	Yes	
row_55	MCM7	13219	-2.8050425052642822	-0.6856369	Yes	
row_56	POLE3	13280	-2.856867551803589	-0.6820672	Yes	
row_57	FEN1	13299	-2.8852133750915527	-0.6756383	Yes	
row_58	MCM5	13318	-2.9045684337615967	-0.6691582	Yes	
row_59	POLD3	13333	-2.919015407562256	-0.66237485	Yes	
row_60	CDK2	13406	-2.992527484893799	-0.65924233	Yes	
row_61	PRIM2	13411	-2.996981382369995	-0.65159	Yes	
row_62	PSMB2	13467	-3.0542337894439697	-0.64716744	Yes	
row_63	GINS3	13516	-3.107917547225952	-0.6421391	Yes	
row_64	PSMC3	13560	-3.16575288772583	-0.63662636	Yes	
row_65	MCM4	13596	-3.2002570629119873	-0.63049215	Yes	
row_66	GINS1	13627	-3.248599052429199	-0.62389874	Yes	
row_67	UBE2S	13673	-3.3095645904541016	-0.61813873	Yes	
row_68	MCM2	13714	-3.367718458175659	-0.6118936	Yes	
row_69	MCM6	13727	-3.384777307510376	-0.6037471	Yes	
row_70	ANAPC10	13731	-3.391486406326294	-0.5949863	Yes	
row_71	CDC45	13752	-3.4191815853118896	-0.5872793	Yes	
row_72	PSMD11	13783	-3.453814744949341	-0.58014375	Yes	
row_73	RPA2	13802	-3.4789621829986572	-0.57214624	Yes	
row_74	PSMD9	13825	-3.498201847076416	-0.56436306	Yes	
row_75	RFC4	13828	-3.4997189044952393	-0.55525	Yes	
row_76	PSMD14	13984	-3.7826273441314697	-0.5555327	Yes	
row_77	UBE2C	14022	-3.8508172035217285	-0.54781246	Yes	
row_78	PSMD7	14029	-3.858494758605957	-0.53801674	Yes	
row_79	RBX1	14058	-3.911715507507324	-0.52953887	Yes	
row_80	CCNE1	14059	-3.9159624576568604	-0.5191936	Yes	
row_81	POLE4	14071	-3.936347246170044	-0.50952363	Yes	
row_82	PSMC6	14079	-3.952395439147949	-0.49954614	Yes	
row_83	ANAPC11	14136	-4.054510116577148	-0.49254736	Yes	
row_84	PSMB6	14198	-4.173231601715088	-0.4855664	Yes	
row_85	PSMA4	14233	-4.227622985839844	-0.4766518	Yes	
row_86	MCM3	14255	-4.267348289489746	-0.46677035	Yes	
row_87	RFC2	14407	-4.59495210647583	-0.46464187	Yes	
row_88	PSMA2	14457	-4.729596138000488	-0.45539555	Yes	
row_89	POLA2	14533	-4.911606788635254	-0.44739208	Yes	
row_90	UBE2E1	14561	-4.988535404205322	-0.43600315	Yes	
row_91	PSMB3	14612	-5.115108013153076	-0.42580467	Yes	
row_92	PSMB1	14628	-5.164187908172607	-0.41315618	Yes	
row_93	POLD2	14662	-5.260095119476318	-0.40144765	Yes	
row_94	PSMA3	14819	-5.888686656951904	-0.3962328	Yes	
row_95	PSMC2	14822	-5.915173530578613	-0.3807385	Yes	
row_96	PRIM1	14837	-5.979046821594238	-0.365871	Yes	
row_97	CCNA2	14841	-5.9945149421691895	-0.35023338	Yes	
row_98	GINS2	14928	-6.556842803955078	-0.3386127	Yes	
row_99	PCNA	14968	-6.914867877960205	-0.3229303	Yes	
row_100	PSMD4	15077	-8.499289512634277	-0.3076365	Yes	
row_101	CDT1	15106	-9.036434173583984	-0.28562003	Yes	
row_102	PSMB4	15113	-9.18789291381836	-0.26174495	Yes	
row_103	PSMA5	15135	-10.147501945495605	-0.23632914	Yes	
row_104	PSMA6	15141	-10.422077178955078	-0.20912723	Yes	
row_105	PSMB10	15161	-12.009282112121582	-0.17866033	Yes	
row_106	PSMB8	15186	-15.76928997039795	-0.1385916	Yes	
row_107	PSME1	15187	-16.251163482666016	-0.09565876	Yes	
row_108	PSME2	15191	-17.950611114501953	-0.048435137	Yes	
row_109	PSMB9	15193	-18.359058380126953	1.2131932E-7	Yes	
