NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	N6AMT1	3749	0.7664902806282043	-0.24574976	No	
row_1	MRPS35	4647	0.3993714451789856	-0.30383635	No	
row_2	GSPT2	4953	0.31231674551963806	-0.3230048	No	
row_3	MRPS27	5729	0.13277964293956757	-0.37389132	No	
row_4	ETF1	7338	-0.14924727380275726	-0.47988907	No	
row_5	MTRF1L	8187	-0.3277423083782196	-0.5349669	No	
row_6	MRPL45	8440	-0.39334267377853394	-0.5503582	No	
row_7	MRPS31	8644	-0.4431954026222229	-0.5623399	No	
row_8	MTRF1	8990	-0.5357083678245544	-0.5834205	No	
row_9	MRPL19	8991	-0.5359519124031067	-0.5816526	No	
row_10	APEH	9070	-0.5580779314041138	-0.58497727	No	
row_11	GSPT1	9607	-0.7310689091682434	-0.6180624	No	
row_12	GFM2	9612	-0.7324147820472717	-0.61591136	No	
row_13	MRPS2	9957	-0.8545420169830322	-0.635874	No	
row_14	MRPL50	10117	-0.916244387626648	-0.6433814	No	
row_15	OXA1L	10281	-0.9776011109352112	-0.6509514	No	
row_16	PTCD3	10295	-0.9813615083694458	-0.6485751	No	
row_17	MRPL3	10531	-1.0756205320358276	-0.66059	No	
row_18	MRRF	10563	-1.0883686542510986	-0.65905285	No	
row_19	MRPS10	10699	-1.1482410430908203	-0.6642056	No	
row_20	MRPL33	10737	-1.1636065244674683	-0.6628176	No	
row_21	MRPL1	11487	-1.5124492645263672	-0.70743126	No	
row_22	MRPL28	11547	-1.5452357530593872	-0.70624137	No	
row_23	MRPL44	11583	-1.563178539276123	-0.7034029	No	
row_24	MRPL39	12036	-1.8235663175582886	-0.7273214	No	
row_25	MRPS5	12111	-1.8809399604797363	-0.7260175	No	
row_26	MRPL10	12124	-1.8907862901687622	-0.72057515	No	
row_27	ERAL1	12306	-2.0266716480255127	-0.7258767	No	
row_28	MRPL48	12419	-2.096282482147217	-0.72637904	No	
row_29	GADD45GIP1	12578	-2.2260689735412598	-0.72949964	No	
row_30	MRPS36	12699	-2.3207993507385254	-0.72979116	Yes	
row_31	MRPL30	12704	-2.3257901668548584	-0.72238415	Yes	
row_32	MRPS14	12718	-2.339916944503784	-0.7155265	Yes	
row_33	MRPL41	12734	-2.3548178672790527	-0.7087522	Yes	
row_34	MRPS25	12757	-2.375905752182007	-0.70237195	Yes	
row_35	MRPL42	12759	-2.3789350986480713	-0.6945909	Yes	
row_36	MRPS9	12768	-2.3856873512268066	-0.6872512	Yes	
row_37	MRPS12	12777	-2.3951172828674316	-0.6798804	Yes	
row_38	MRPS16	12904	-2.5082576274871826	-0.67995095	Yes	
row_39	MRPS34	12950	-2.5433688163757324	-0.6745414	Yes	
row_40	MRPL46	13057	-2.6569931507110596	-0.67279685	Yes	
row_41	ABCE1	13059	-2.6610307693481445	-0.66408527	Yes	
row_42	DAP3	13141	-2.7364015579223633	-0.66042316	Yes	
row_43	MRPS33	13157	-2.752824544906616	-0.65233594	Yes	
row_44	MRPL32	13173	-2.7683334350585938	-0.6441976	Yes	
row_45	MRPL47	13183	-2.7746527194976807	-0.63564104	Yes	
row_46	MRPL51	13195	-2.7844741344451904	-0.62718457	Yes	
row_47	MRPL35	13349	-2.9380486011505127	-0.62762547	Yes	
row_48	MRPS28	13357	-2.946404218673706	-0.61836994	Yes	
row_49	MRPL40	13399	-2.9882731437683105	-0.6112279	Yes	
row_50	MRPL43	13525	-3.122074842453003	-0.6092075	Yes	
row_51	TRMT112	13597	-3.2011454105377197	-0.6033501	Yes	
row_52	MRPL13	13623	-3.2432029247283936	-0.59430754	Yes	
row_53	MRPL20	13723	-3.380981683731079	-0.58971125	Yes	
row_54	MRPL27	13739	-3.404350519180298	-0.57947487	Yes	
row_55	MRPL17	13777	-3.4474234580993652	-0.5705534	Yes	
row_56	MRPL36	13817	-3.493652582168579	-0.56161195	Yes	
row_57	MRPL12	13829	-3.5024290084838867	-0.55078715	Yes	
row_58	MRPL55	13875	-3.5922420024871826	-0.5419178	Yes	
row_59	MRPL54	13879	-3.5982306003570557	-0.5302472	Yes	
row_60	AURKAIP1	13932	-3.678981065750122	-0.5215553	Yes	
row_61	MRPL37	13936	-3.6850473880767822	-0.5095984	Yes	
row_62	MRPL49	14039	-3.8797852993011475	-0.50355536	Yes	
row_63	MRPS15	14042	-3.8869876861572266	-0.49086604	Yes	
row_64	MRPL53	14056	-3.9076101779937744	-0.4788372	Yes	
row_65	MRPL34	14067	-3.929025173187256	-0.46653903	Yes	
row_66	MRPL21	14156	-4.085923194885254	-0.45888886	Yes	
row_67	MRPS11	14202	-4.1822099685668945	-0.4480734	Yes	
row_68	MRPL23	14210	-4.199289798736572	-0.43468505	Yes	
row_69	MRPL22	14230	-4.223350524902344	-0.42201203	Yes	
row_70	MRPS7	14281	-4.3230204582214355	-0.41106322	Yes	
row_71	CHCHD1	14300	-4.378484725952148	-0.39781225	Yes	
row_72	MRPS23	14379	-4.538193702697754	-0.38800797	Yes	
row_73	MRPL15	14421	-4.631931781768799	-0.37544414	Yes	
row_74	MRPS24	14422	-4.633852958679199	-0.36015877	Yes	
row_75	MRPL24	14584	-5.051562786102295	-0.35415775	Yes	
row_76	MRPS21	14623	-5.150232791900635	-0.33968556	Yes	
row_77	MRPL52	14642	-5.202001094818115	-0.3237181	Yes	
row_78	MRPS26	14666	-5.260733127593994	-0.30788806	Yes	
row_79	MRPL4	14692	-5.356562614440918	-0.29187432	Yes	
row_80	MRPL9	14702	-5.379946708679199	-0.2747239	Yes	
row_81	MRPS18C	14729	-5.498904228210449	-0.25830686	Yes	
row_82	MRPS22	14774	-5.645648956298828	-0.24259782	Yes	
row_83	MRPS30	14797	-5.7443132400512695	-0.22510639	Yes	
row_84	MRPL38	14937	-6.654462814331055	-0.21236104	Yes	
row_85	MRPS18B	14943	-6.741949081420898	-0.19045293	Yes	
row_86	MRPS17	14956	-6.818495273590088	-0.1687559	Yes	
row_87	MRPS6	14973	-6.946475505828857	-0.14690161	Yes	
row_88	MRPL18	14979	-7.002421855926514	-0.1241343	Yes	
row_89	MRPL2	15003	-7.306126594543457	-0.10155724	Yes	
row_90	MRPL11	15028	-7.742561340332031	-0.07760675	Yes	
row_91	MRPS18A	15057	-8.126211166381836	-0.052655652	Yes	
row_92	MRPL16	15073	-8.379801750183105	-0.02600712	Yes	
row_93	MRPL14	15139	-10.273327827453613	0.003576208	Yes	
