NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	EGR1	1251	4.394615173339844	-0.06829754	No	
row_1	RNASEL	2120	2.2573845386505127	-0.11826561	No	
row_2	IFITM2	3616	0.8438947796821594	-0.21424769	No	
row_3	IFNAR1	5883	0.0994468405842781	-0.3635736	No	
row_4	IP6K2	6910	-0.07324445247650146	-0.43109348	No	
row_5	JAK1	7287	-0.14059318602085114	-0.45546693	No	
row_6	TYK2	7772	-0.23649437725543976	-0.48666036	No	
row_7	STAT2	8966	-0.528697669506073	-0.56372505	No	
row_8	IRF3	10453	-1.0421053171157837	-0.6584668	No	
row_9	IRF8	11170	-1.372139573097229	-0.70128125	No	
row_10	MYD88	11919	-1.753706693649292	-0.7449656	No	
row_11	IFNAR2	12472	-2.1353583335876465	-0.7744622	No	
row_12	IFITM3	12696	-2.318485736846924	-0.78163445	No	
row_13	IRF5	12995	-2.6035335063934326	-0.7928309	No	
row_14	IRAK1	13119	-2.7175843715667725	-0.79209846	No	
row_15	IRF6	13385	-2.9780666828155518	-0.7998951	No	
row_16	BST2	13655	-3.285536289215088	-0.80695397	No	
row_17	MX2	13862	-3.5691821575164795	-0.80892795	No	
row_18	IRF4	14084	-3.9595301151275635	-0.81062055	Yes	
row_19	RSAD2	14195	-4.168782711029053	-0.80430067	Yes	
row_20	IFITM1	14208	-4.195068836212158	-0.791423	Yes	
row_21	SAMHD1	14283	-4.33425235748291	-0.7821865	Yes	
row_22	ADAR	14288	-4.344361782073975	-0.76829404	Yes	
row_23	HLA-G	14427	-4.646975994110107	-0.7622651	Yes	
row_24	GBP2	14476	-4.7694292068481445	-0.74989337	Yes	
row_25	SP100	14583	-5.0508809089660645	-0.74043494	Yes	
row_26	OAS3	14664	-5.260453224182129	-0.7285765	Yes	
row_27	MX1	14717	-5.455954551696777	-0.7142318	Yes	
row_28	OAS2	14745	-5.5416669845581055	-0.6979568	Yes	
row_29	IFIT5	14770	-5.628873348236084	-0.6811995	Yes	
row_30	XAF1	14811	-5.8260178565979	-0.66485643	Yes	
row_31	IFI6	14900	-6.37869930267334	-0.6498824	Yes	
row_32	IRF2	14903	-6.388325214385986	-0.62919736	Yes	
row_33	ISG20	15014	-7.5381903648376465	-0.61189795	Yes	
row_34	IRF7	15027	-7.740503311157227	-0.58746713	Yes	
row_35	OAS1	15036	-7.834973335266113	-0.56246436	Yes	
row_36	OASL	15044	-7.94619607925415	-0.5370331	Yes	
row_37	IFIT2	15075	-8.426925659179688	-0.51155424	Yes	
row_38	IFIT3	15078	-8.512880325317383	-0.48394617	Yes	
row_39	IFI27	15081	-8.549309730529785	-0.45621938	Yes	
row_40	IFIT1	15093	-8.74571418762207	-0.42844698	Yes	
row_41	ISG15	15115	-9.207924842834473	-0.3998288	Yes	
row_42	STAT1	15122	-9.32321548461914	-0.36984432	Yes	
row_43	HLA-C	15149	-11.099032402038574	-0.33539397	Yes	
row_44	HLA-E	15150	-11.117681503295898	-0.2991658	Yes	
row_45	HLA-B	15151	-11.138444900512695	-0.26286992	Yes	
row_46	IRF9	15157	-11.687451362609863	-0.22511528	Yes	
row_47	HLA-A	15166	-12.697202682495117	-0.18426837	Yes	
row_48	IFI35	15168	-12.717256546020508	-0.14289384	Yes	
row_49	HLA-F	15179	-14.076173782348633	-0.09768548	Yes	
row_50	IRF1	15181	-14.451542854309082	-0.05065957	Yes	
row_51	PSMB8	15186	-15.76928997039795	4.622355E-4	Yes	
