NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_INTERFERON_ALPHA_RESPONSE%MSIGDB_C2%HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE%MSIGDB_C2%HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	79	-0.85694104	-2.8643172	0.0	0.0	0.0	1188	tags=73%, list=8%, signal=79%	
HALLMARK_INTERFERON_GAMMA_RESPONSE%MSIGDB_C2%HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE%MSIGDB_C2%HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	163	-0.7353244	-2.7690835	0.0	0.0	0.0	1180	tags=52%, list=8%, signal=55%	
INTERFERON SIGNALING%REACTOME%R-HSA-913531.2	INTERFERON SIGNALING%REACTOME%R-HSA-913531.2	Details ...	170	-0.695533	-2.6879468	0.0	0.0	0.0	1192	tags=40%, list=8%, signal=43%	
DNA REPLICATION%REACTOME DATABASE ID RELEASE 75%69306	DNA REPLICATION%REACTOME DATABASE ID RELEASE 75%69306	Details ...	117	-0.7283141	-2.6424804	0.0	0.0	0.0	2678	tags=62%, list=18%, signal=74%	
SYNTHESIS OF DNA%REACTOME DATABASE ID RELEASE 75%69239	SYNTHESIS OF DNA%REACTOME DATABASE ID RELEASE 75%69239	Details ...	110	-0.7267402	-2.6303816	0.0	0.0	0.0	2123	tags=55%, list=14%, signal=64%	
INTERFERON ALPHA BETA SIGNALING%REACTOME DATABASE ID RELEASE 75%909733	INTERFERON ALPHA BETA SIGNALING%REACTOME DATABASE ID RELEASE 75%909733	Details ...	54	-0.8268966	-2.624656	0.0	0.0	0.0	1111	tags=65%, list=7%, signal=70%	
MITOCHONDRIAL TRANSLATIONAL ELONGATION%GOBP%GO:0070125	MITOCHONDRIAL TRANSLATIONAL ELONGATION%GOBP%GO:0070125	Details ...	87	-0.75007004	-2.6203747	0.0	0.0	0.0	2496	tags=74%, list=16%, signal=88%	
CELLULAR RESPONSE TO TYPE I INTERFERON%GOBP%GO:0071357	CELLULAR RESPONSE TO TYPE I INTERFERON%GOBP%GO:0071357	Details ...	52	-0.8235231	-2.60815	0.0	0.0	0.0	1111	tags=65%, list=7%, signal=70%	
RESPONSE TO TYPE I INTERFERON%GOBP%GO:0034340	RESPONSE TO TYPE I INTERFERON%GOBP%GO:0034340	Details ...	56	-0.810684	-2.5970654	0.0	0.0	0.0	1111	tags=61%, list=7%, signal=65%	
INTERFERON-GAMMA-MEDIATED SIGNALING PATHWAY%GOBP%GO:0060333	INTERFERON-GAMMA-MEDIATED SIGNALING PATHWAY%GOBP%GO:0060333	Details ...	64	-0.78515536	-2.5936966	0.0	0.0	0.0	1192	tags=55%, list=8%, signal=59%	
HALLMARK_E2F_TARGETS%MSIGDB_C2%HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS%MSIGDB_C2%HALLMARK_E2F_TARGETS	Details ...	149	-0.69011486	-2.5932376	0.0	0.0	0.0	3189	tags=63%, list=21%, signal=79%	
MITOCHONDRIAL TRANSLATION INITIATION%REACTOME%R-HSA-5368286.1	MITOCHONDRIAL TRANSLATION INITIATION%REACTOME%R-HSA-5368286.1	Details ...	86	-0.74490577	-2.5869558	0.0	0.0	0.0	3159	tags=80%, list=21%, signal=101%	
TYPE I INTERFERON SIGNALING PATHWAY%GOBP%GO:0060337	TYPE I INTERFERON SIGNALING PATHWAY%GOBP%GO:0060337	Details ...	52	-0.8235231	-2.5819018	0.0	0.0	0.0	1111	tags=65%, list=7%, signal=70%	
MITOCHONDRIAL TRANSLATION TERMINATION%REACTOME%R-HSA-5419276.1	MITOCHONDRIAL TRANSLATION TERMINATION%REACTOME%R-HSA-5419276.1	Details ...	86	-0.744698	-2.5722349	0.0	0.0	0.0	2496	tags=72%, list=16%, signal=86%	
MITOCHONDRIAL TRANSLATION%GOBP%GO:0032543	MITOCHONDRIAL TRANSLATION%GOBP%GO:0032543	Details ...	106	-0.72007227	-2.5721831	0.0	0.0	0.0	2496	tags=64%, list=16%, signal=76%	
MITOCHONDRIAL TRANSLATION%REACTOME DATABASE ID RELEASE 75%5368287	MITOCHONDRIAL TRANSLATION%REACTOME DATABASE ID RELEASE 75%5368287	Details ...	92	-0.73772436	-2.5673938	0.0	0.0	0.0	3159	tags=77%, list=21%, signal=97%	
TRANSLATIONAL TERMINATION%GOBP%GO:0006415	TRANSLATIONAL TERMINATION%GOBP%GO:0006415	Details ...	94	-0.73744667	-2.5673623	0.0	0.0	0.0	2496	tags=68%, list=16%, signal=81%	
MITOCHONDRIAL GENE EXPRESSION%GOBP%GO:0140053	MITOCHONDRIAL GENE EXPRESSION%GOBP%GO:0140053	Details ...	125	-0.7052871	-2.564289	0.0	0.0	0.0	3084	tags=67%, list=20%, signal=84%	
MITOCHONDRIAL TRANSLATIONAL TERMINATION%GOBP%GO:0070126	MITOCHONDRIAL TRANSLATIONAL TERMINATION%GOBP%GO:0070126	Details ...	87	-0.7430413	-2.5529711	0.0	0.0	0.0	2496	tags=71%, list=16%, signal=85%	
MITOCHONDRIAL TRANSLATION ELONGATION%REACTOME%R-HSA-5389840.1	MITOCHONDRIAL TRANSLATION ELONGATION%REACTOME%R-HSA-5389840.1	Details ...	86	-0.7522763	-2.53899	0.0	0.0	0.0	2496	tags=74%, list=16%, signal=89%	
INTERFERON GAMMA SIGNALING%REACTOME%R-HSA-877300.3	INTERFERON GAMMA SIGNALING%REACTOME%R-HSA-877300.3		81	-0.7408441	-2.5352924	0.0	0.0	0.0	1192	tags=47%, list=8%, signal=51%	
DNA-DEPENDENT DNA REPLICATION%GOBP%GO:0006261	DNA-DEPENDENT DNA REPLICATION%GOBP%GO:0006261		157	-0.6746751	-2.5341923	0.0	0.0	0.0	3406	tags=58%, list=22%, signal=74%	
DNA REPLICATION%GOBP%GO:0006260	DNA REPLICATION%GOBP%GO:0006260		196	-0.64972246	-2.530975	0.0	0.0	0.0	2942	tags=48%, list=19%, signal=59%	
MITOCHONDRIAL RESPIRATORY CHAIN COMPLEX ASSEMBLY%GOBP%GO:0033108	MITOCHONDRIAL RESPIRATORY CHAIN COMPLEX ASSEMBLY%GOBP%GO:0033108		69	-0.7475016	-2.5257044	0.0	0.0	0.0	3360	tags=83%, list=22%, signal=106%	
DEFENSE RESPONSE TO VIRUS%GOBP%GO:0051607	DEFENSE RESPONSE TO VIRUS%GOBP%GO:0051607		104	-0.71949494	-2.5256062	0.0	0.0	0.0	1653	tags=47%, list=11%, signal=53%	
APC C-MEDIATED DEGRADATION OF CELL CYCLE PROTEINS%REACTOME DATABASE ID RELEASE 75%174143	APC C-MEDIATED DEGRADATION OF CELL CYCLE PROTEINS%REACTOME DATABASE ID RELEASE 75%174143		84	-0.734176	-2.5227232	0.0	0.0	0.0	2113	tags=52%, list=14%, signal=61%	
SEPARATION OF SISTER CHROMATIDS%REACTOME DATABASE ID RELEASE 75%2467813	SEPARATION OF SISTER CHROMATIDS%REACTOME DATABASE ID RELEASE 75%2467813		156	-0.66158926	-2.5220528	0.0	0.0	0.0	3350	tags=56%, list=22%, signal=71%	
SWITCHING OF ORIGINS TO A POST-REPLICATIVE STATE%REACTOME DATABASE ID RELEASE 75%69052	SWITCHING OF ORIGINS TO A POST-REPLICATIVE STATE%REACTOME DATABASE ID RELEASE 75%69052		81	-0.73299193	-2.520978	0.0	0.0	0.0	2113	tags=53%, list=14%, signal=61%	
REGULATION OF MITOTIC CELL CYCLE%REACTOME%R-HSA-453276.2	REGULATION OF MITOTIC CELL CYCLE%REACTOME%R-HSA-453276.2		84	-0.734176	-2.516377	0.0	0.0	0.0	2113	tags=52%, list=14%, signal=61%	
ACTIVATION OF APC C AND APC C:CDC20 MEDIATED DEGRADATION OF MITOTIC PROTEINS%REACTOME DATABASE ID RELEASE 75%176814	ACTIVATION OF APC C AND APC C:CDC20 MEDIATED DEGRADATION OF MITOTIC PROTEINS%REACTOME DATABASE ID RELEASE 75%176814		73	-0.7486456	-2.5112755	0.0	0.0	0.0	2113	tags=56%, list=14%, signal=65%	
RESPIRATORY ELECTRON TRANSPORT%REACTOME%R-HSA-611105.3	RESPIRATORY ELECTRON TRANSPORT%REACTOME%R-HSA-611105.3		85	-0.7182158	-2.4906807	0.0	0.0	0.0	2991	tags=71%, list=20%, signal=87%	
ASSEMBLY OF THE PRE-REPLICATIVE COMPLEX%REACTOME DATABASE ID RELEASE 75%68867	ASSEMBLY OF THE PRE-REPLICATIVE COMPLEX%REACTOME DATABASE ID RELEASE 75%68867		59	-0.7577019	-2.4887054	0.0	0.0	0.0	2113	tags=61%, list=14%, signal=71%	
G2 M CHECKPOINTS%REACTOME%R-HSA-69481.3	G2 M CHECKPOINTS%REACTOME%R-HSA-69481.3		118	-0.6831063	-2.4877727	0.0	0.0	0.0	2788	tags=55%, list=18%, signal=67%	
DNA REPLICATION PRE-INITIATION%REACTOME DATABASE ID RELEASE 75%69002	DNA REPLICATION PRE-INITIATION%REACTOME DATABASE ID RELEASE 75%69002		75	-0.74449235	-2.486767	0.0	0.0	0.0	2448	tags=65%, list=16%, signal=77%	
REGULATION OF APC C ACTIVATORS BETWEEN G1 S AND EARLY ANAPHASE%REACTOME%R-HSA-176408.3	REGULATION OF APC C ACTIVATORS BETWEEN G1 S AND EARLY ANAPHASE%REACTOME%R-HSA-176408.3		77	-0.7353806	-2.4835422	0.0	0.0	0.0	2113	tags=53%, list=14%, signal=62%	
TRANSLATIONAL ELONGATION%GOBP%GO:0006414	TRANSLATIONAL ELONGATION%GOBP%GO:0006414		103	-0.69902015	-2.4812036	0.0	0.0	0.0	2776	tags=68%, list=18%, signal=83%	
ANTIGEN PROCESSING AND PRESENTATION OF EXOGENOUS PEPTIDE ANTIGEN VIA MHC CLASS I%GOBP%GO:0042590	ANTIGEN PROCESSING AND PRESENTATION OF EXOGENOUS PEPTIDE ANTIGEN VIA MHC CLASS I%GOBP%GO:0042590		76	-0.7293362	-2.4806242	0.0	0.0	0.0	2942	tags=71%, list=19%, signal=88%	
APC C:CDC20 MEDIATED DEGRADATION OF MITOTIC PROTEINS%REACTOME%R-HSA-176409.3	APC C:CDC20 MEDIATED DEGRADATION OF MITOTIC PROTEINS%REACTOME%R-HSA-176409.3		72	-0.7464622	-2.478415	0.0	0.0	0.0	2113	tags=56%, list=14%, signal=64%	
