NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION%MSIGDB_C2%HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION%MSIGDB_C2%HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	145	0.8635254	2.5444539	0.0	0.0	0.0	1024	tags=57%, list=7%, signal=60%	
COLLAGEN FIBRIL ORGANIZATION%GOBP%GO:0030199	COLLAGEN FIBRIL ORGANIZATION%GOBP%GO:0030199	Details ...	76	0.8839284	2.4730127	0.0	0.0	0.0	900	tags=58%, list=6%, signal=61%	
COLLAGEN FORMATION%REACTOME%R-HSA-1474290.3	COLLAGEN FORMATION%REACTOME%R-HSA-1474290.3	Details ...	73	0.879293	2.428235	0.0	0.0	0.0	900	tags=58%, list=6%, signal=61%	
BETA1 INTEGRIN CELL SURFACE INTERACTIONS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%BETA1 INTEGRIN CELL SURFACE INTERACTIONS	BETA1 INTEGRIN CELL SURFACE INTERACTIONS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%BETA1 INTEGRIN CELL SURFACE INTERACTIONS	Details ...	63	0.882223	2.375506	0.0	0.0	0.0	1005	tags=62%, list=7%, signal=66%	
COLLAGEN BIOSYNTHESIS AND MODIFYING ENZYMES%REACTOME DATABASE ID RELEASE 75%1650814	COLLAGEN BIOSYNTHESIS AND MODIFYING ENZYMES%REACTOME DATABASE ID RELEASE 75%1650814	Details ...	55	0.90426415	2.3741539	0.0	0.0	0.0	900	tags=67%, list=6%, signal=71%	
BLOOD VESSEL MORPHOGENESIS%GOBP%GO:0048514	BLOOD VESSEL MORPHOGENESIS%GOBP%GO:0048514	Details ...	198	0.7640163	2.321818	0.0	0.0	0.0	1933	tags=52%, list=13%, signal=59%	
ASSEMBLY OF COLLAGEN FIBRILS AND OTHER MULTIMERIC STRUCTURES%REACTOME DATABASE ID RELEASE 75%2022090	ASSEMBLY OF COLLAGEN FIBRILS AND OTHER MULTIMERIC STRUCTURES%REACTOME DATABASE ID RELEASE 75%2022090	Details ...	50	0.88558	2.31887	0.0	0.0	0.0	816	tags=60%, list=5%, signal=63%	
COLLAGEN CHAIN TRIMERIZATION%REACTOME DATABASE ID RELEASE 75%8948216	COLLAGEN CHAIN TRIMERIZATION%REACTOME DATABASE ID RELEASE 75%8948216	Details ...	38	0.9289225	2.3054235	0.0	0.0	0.0	816	tags=74%, list=5%, signal=78%	
REGULATION OF CELLULAR RESPONSE TO GROWTH FACTOR STIMULUS%GOBP%GO:0090287	REGULATION OF CELLULAR RESPONSE TO GROWTH FACTOR STIMULUS%GOBP%GO:0090287	Details ...	199	0.7500773	2.2815764	0.0	0.0	0.0	1855	tags=40%, list=12%, signal=45%	
ANGIOGENESIS%GOBP%GO:0001525	ANGIOGENESIS%GOBP%GO:0001525	Details ...	149	0.7624736	2.2600138	0.0	0.0	0.0	1933	tags=52%, list=13%, signal=59%	
AMINOGLYCAN BIOSYNTHETIC PROCESS%GOBP%GO:0006023	AMINOGLYCAN BIOSYNTHETIC PROCESS%GOBP%GO:0006023	Details ...	97	0.78116465	2.228155	0.0	0.0	0.0	1862	tags=41%, list=12%, signal=47%	
NEGATIVE REGULATION OF CELLULAR RESPONSE TO GROWTH FACTOR STIMULUS%GOBP%GO:0090288	NEGATIVE REGULATION OF CELLULAR RESPONSE TO GROWTH FACTOR STIMULUS%GOBP%GO:0090288	Details ...	123	0.76280487	2.2213774	0.0	0.0	0.0	2008	tags=48%, list=13%, signal=55%	
PID_INTEGRIN1_PATHWAY%MSIGDB_C2%PID_INTEGRIN1_PATHWAY	PID_INTEGRIN1_PATHWAY%MSIGDB_C2%PID_INTEGRIN1_PATHWAY	Details ...	47	0.86205757	2.216909	0.0	0.0	0.0	1479	tags=64%, list=10%, signal=70%	
DEGRADATION OF THE EXTRACELLULAR MATRIX%REACTOME%R-HSA-1474228.4	DEGRADATION OF THE EXTRACELLULAR MATRIX%REACTOME%R-HSA-1474228.4	Details ...	87	0.78436553	2.1992056	0.0	0.0	0.0	1519	tags=40%, list=10%, signal=44%	
NEGATIVE REGULATION OF TRANSMEMBRANE RECEPTOR PROTEIN SERINE/THREONINE KINASE SIGNALING PATHWAY%GOBP%GO:0090101	NEGATIVE REGULATION OF TRANSMEMBRANE RECEPTOR PROTEIN SERINE/THREONINE KINASE SIGNALING PATHWAY%GOBP%GO:0090101	Details ...	98	0.771595	2.1991458	0.0	0.0	0.0	1855	tags=45%, list=12%, signal=51%	
GLYCOSAMINOGLYCAN BIOSYNTHETIC PROCESS%GOBP%GO:0006024	GLYCOSAMINOGLYCAN BIOSYNTHETIC PROCESS%GOBP%GO:0006024	Details ...	91	0.7817105	2.1870263	0.0	0.0	0.0	1862	tags=42%, list=12%, signal=47%	
REGULATION OF TRANSMEMBRANE RECEPTOR PROTEIN SERINE/THREONINE KINASE SIGNALING PATHWAY%GOBP%GO:0090092	REGULATION OF TRANSMEMBRANE RECEPTOR PROTEIN SERINE/THREONINE KINASE SIGNALING PATHWAY%GOBP%GO:0090092	Details ...	176	0.7226491	2.1794903	0.0	0.0	0.0	1855	tags=39%, list=12%, signal=44%	
ECM PROTEOGLYCANS%REACTOME DATABASE ID RELEASE 75%3000178	ECM PROTEOGLYCANS%REACTOME DATABASE ID RELEASE 75%3000178	Details ...	48	0.8480053	2.1681087	0.0	0.0	0.0	1479	tags=60%, list=10%, signal=67%	
ALZHEIMER DISEASE-PRESENILIN PATHWAY%PANTHER PATHWAY%P00004	ALZHEIMER DISEASE-PRESENILIN PATHWAY%PANTHER PATHWAY%P00004	Details ...	97	0.75081146	2.1675913	0.0	0.0	0.0	2196	tags=45%, list=14%, signal=53%	
INTEGRIN SIGNALLING PATHWAY%PANTHER PATHWAY%P00034	INTEGRIN SIGNALLING PATHWAY%PANTHER PATHWAY%P00034	Details ...	167	0.72859186	2.1674552	0.0	0.0	0.0	1479	tags=34%, list=10%, signal=37%	
DISEASES OF GLYCOSYLATION%REACTOME%R-HSA-3781865.1	DISEASES OF GLYCOSYLATION%REACTOME%R-HSA-3781865.1		126	0.742887	2.163781	0.0	0.0	0.0	1276	tags=32%, list=8%, signal=34%	
OSSIFICATION%GOBP%GO:0001503	OSSIFICATION%GOBP%GO:0001503		114	0.7451126	2.159999	0.0	0.0	0.0	1228	tags=28%, list=8%, signal=30%	
INTEGRINS IN ANGIOGENESIS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%INTEGRINS IN ANGIOGENESIS	INTEGRINS IN ANGIOGENESIS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%INTEGRINS IN ANGIOGENESIS		60	0.807285	2.1583445	0.0	0.0	0.0	1466	tags=47%, list=10%, signal=51%	
REGULATION OF BMP SIGNALING PATHWAY%GOBP%GO:0030510	REGULATION OF BMP SIGNALING PATHWAY%GOBP%GO:0030510		64	0.79168767	2.1572278	0.0	0.0	0.0	1855	tags=52%, list=12%, signal=58%	
HEART MORPHOGENESIS%GOBP%GO:0003007	HEART MORPHOGENESIS%GOBP%GO:0003007		132	0.7317577	2.1564493	0.0	0.0	0.0	1903	tags=44%, list=13%, signal=50%	
REGULATION OF IGF ACTIVITY BY IGFBP%REACTOME%R-HSA-381426.2	REGULATION OF IGF ACTIVITY BY IGFBP%REACTOME%R-HSA-381426.2		88	0.75446457	2.156007	0.0	0.0	0.0	1718	tags=41%, list=11%, signal=46%	
CADHERIN SIGNALING PATHWAY%PANTHER PATHWAY%P00012	CADHERIN SIGNALING PATHWAY%PANTHER PATHWAY%P00012		127	0.74008125	2.1554165	0.0	0.0	0.0	2229	tags=50%, list=15%, signal=58%	
GLYCOSAMINOGLYCAN METABOLIC PROCESS%GOBP%GO:0030203	GLYCOSAMINOGLYCAN METABOLIC PROCESS%GOBP%GO:0030203		114	0.746473	2.1513703	0.0	0.0	0.0	1862	tags=37%, list=12%, signal=42%	
GLYCOSAMINOGLYCAN METABOLISM%REACTOME DATABASE ID RELEASE 75%1630316	GLYCOSAMINOGLYCAN METABOLISM%REACTOME DATABASE ID RELEASE 75%1630316		110	0.7455986	2.150923	0.0	0.0	0.0	1802	tags=35%, list=12%, signal=40%	
BETA3 INTEGRIN CELL SURFACE INTERACTIONS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%BETA3 INTEGRIN CELL SURFACE INTERACTIONS	BETA3 INTEGRIN CELL SURFACE INTERACTIONS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%BETA3 INTEGRIN CELL SURFACE INTERACTIONS		38	0.8594852	2.1503477	0.0	0.0	0.0	1300	tags=58%, list=9%, signal=63%	
HALLMARK_UV_RESPONSE_DN%MSIGDB_C2%HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN%MSIGDB_C2%HALLMARK_UV_RESPONSE_DN		107	0.7497207	2.1473436	0.0	0.0	0.0	1545	tags=34%, list=10%, signal=37%	
PID_AVB3_INTEGRIN_PATHWAY%MSIGDB_C2%PID_AVB3_INTEGRIN_PATHWAY	PID_AVB3_INTEGRIN_PATHWAY%MSIGDB_C2%PID_AVB3_INTEGRIN_PATHWAY		53	0.81802195	2.1448092	0.0	0.0	0.0	920	tags=42%, list=6%, signal=44%	
CHONDROITIN SULFATE DERMATAN SULFATE METABOLISM%REACTOME DATABASE ID RELEASE 75%1793185	CHONDROITIN SULFATE DERMATAN SULFATE METABOLISM%REACTOME DATABASE ID RELEASE 75%1793185		47	0.821259	2.1426697	0.0	0.0	0.0	1249	tags=43%, list=8%, signal=46%	
ENDODERM FORMATION%GOBP%GO:0001706	ENDODERM FORMATION%GOBP%GO:0001706		39	0.8490623	2.141852	0.0	0.0	0.0	1287	tags=46%, list=8%, signal=50%	
DEFECTIVE B3GALTL CAUSES PETERS-PLUS SYNDROME (PPS)%REACTOME%R-HSA-5083635.1	DEFECTIVE B3GALTL CAUSES PETERS-PLUS SYNDROME (PPS)%REACTOME%R-HSA-5083635.1		33	0.87000126	2.1278696	0.0	0.0	0.0	1400	tags=61%, list=9%, signal=67%	
DISEASES ASSOCIATED WITH GLYCOSAMINOGLYCAN METABOLISM%REACTOME DATABASE ID RELEASE 75%3560782	DISEASES ASSOCIATED WITH GLYCOSAMINOGLYCAN METABOLISM%REACTOME DATABASE ID RELEASE 75%3560782		39	0.85005563	2.1227133	0.0	0.0	0.0	1243	tags=49%, list=8%, signal=53%	
O-GLYCOSYLATION OF TSR DOMAIN-CONTAINING PROTEINS%REACTOME DATABASE ID RELEASE 75%5173214	O-GLYCOSYLATION OF TSR DOMAIN-CONTAINING PROTEINS%REACTOME DATABASE ID RELEASE 75%5173214		34	0.8594841	2.1173735	0.0	0.0	0.0	1400	tags=59%, list=9%, signal=65%	
FORMATION OF PRIMARY GERM LAYER%GOBP%GO:0001704	FORMATION OF PRIMARY GERM LAYER%GOBP%GO:0001704		60	0.79684806	2.1163104	0.0	0.0	0.0	1287	tags=45%, list=8%, signal=49%	
MESENCHYME DEVELOPMENT%GOBP%GO:0060485	MESENCHYME DEVELOPMENT%GOBP%GO:0060485		137	0.70915294	2.1160042	0.0	0.0	0.0	2207	tags=46%, list=15%, signal=53%	
PROTEOGLYCAN BIOSYNTHETIC PROCESS%GOBP%GO:0030166	PROTEOGLYCAN BIOSYNTHETIC PROCESS%GOBP%GO:0030166		50	0.8054299	2.1138573	0.0	0.0	0.0	1862	tags=48%, list=12%, signal=55%	
PROTEOGLYCAN METABOLIC PROCESS%GOBP%GO:0006029	PROTEOGLYCAN METABOLIC PROCESS%GOBP%GO:0006029		62	0.78889394	2.1128654	0.0	0.0	0.0	1249	tags=39%, list=8%, signal=42%	
