NAME	TITLE	SCORE	
IGDCC3		36.32958	
ANTXR1		35.479492	
AEBP1		33.19159	
ANGPTL2		32.50876	
FBN1		32.39968	
COL16A1		32.00046	
BGN		31.933088	
COL5A1		31.1781	
SPARC		30.717422	
C1QTNF6		30.622463	
CRISPLD2		30.566404	
COL1A2		29.397797	
LAMB1		29.04438	
ZNF469		28.830275	
TIMP3		28.69287	
LOXL2		28.417788	
CALD1		28.36682	
NUAK1		27.772182	
PTRF		27.71138	
MSRB3		27.51463	
COL1A1		27.480047	
ECM2		27.471453	
COL6A3		27.351099	
CILP2		27.336864	
KIF26B		27.180962	
COL6A2		26.964008	
EMILIN1		26.741358	
COL3A1		26.71632	
PALLD		26.701715	
SSC5D		26.460852	
FZD1		26.452774	
LOXL1		26.209473	
PDGFRB		25.875195	
HIC1		25.780102	
C1QTNF7		25.6673	
SH3PXD2B		25.580763	
THBS1		25.44282	
MMP2		25.394012	
CHSY3		24.944532	
GLT8D2		24.771584	
DCHS1		24.768976	
FLNC		24.756868	
COL8A1		24.576277	
VCAN		24.292301	
CACNA1C		24.253927	
GPC6		24.216799	
DACT1		24.106464	
CDH11		24.027847	
LRP1		23.924747	
C1QTNF3		23.841724	
LZTS1		23.702484	
ANTXR2		23.612259	
KIAA1644		23.581451	
FSTL1		23.427935	
MMP14		23.417185	
COL6A1		23.202694	
ADAMTS7		23.0991	
VGF		22.960548	
CREB3L1		22.916597	
COL5A2		22.857449	
TSPAN18		22.718407	
LMOD1		22.501904	
IGFBP4		22.470274	
DACT3		22.467241	
ACTA2		22.187326	
DLC1		22.156021	
PMEPA1		22.155493	
SCARF2		21.99815	
TGFB1I1		21.980213	
PODN		21.94699	
SNAI2		21.919125	
FN1		21.863209	
ZEB1		21.833353	
LHFP		21.544146	
PRKG1		21.453043	
TIMP2		21.398394	
VGLL3		21.348326	
THBS2		21.315617	
SEPT11		21.25459	
NID1		21.177341	
KCNE4		21.02179	
COLEC12		21.01484	
C1QTNF1		21.010952	
PDLIM3		20.870802	
MRGPRF		20.7971	
MEIS3		20.777727	
ISM1		20.736506	
ZCCHC24		20.712341	
ELFN1		20.658695	
FAM198B		20.491507	
TGFB3		20.487118	
ADAMTS12		20.480774	
TSPAN11		20.331133	
CNRIP1		20.178907	
CHSY1		20.076326	
FKBP14		20.054974	
FNDC1		20.037699	
LRRC17		19.971344	
MN1		19.923136	
FILIP1L		19.808239	
JAM3		19.670614	
LEPRE1		19.670107	
SULF2		19.66677	
ELFN2		19.637583	
MRVI1		19.589334	
GALNT5		19.54745	
FRMD6		19.534187	
FKBP7		19.490631	
PTGIS		19.476927	
GPR124		19.455017	
JPH2		19.36859	
AOC3		19.35933	
WISP1		19.354858	
BICC1		19.342007	
ADAMTS2		19.320635	
LOX		19.259808	
ITGA5		19.255182	
NBL1		19.166096	
MRC2		19.159384	
OGN		19.09394	
LDB2		19.071629	
AGTR1		19.053041	
ITGA11		19.018183	
LATS2		18.993877	
MAGEL2		18.964878	
CCDC80		18.95144	
SERPINE1		18.914013	
CYR61		18.894344	
CTGF		18.852785	
P4HA3		18.850769	
HMCN1		18.82741	
SRPX2		18.788599	
BEAN		18.748434	
GLI3		18.67825	
ADAM12		18.654354	
CYGB		18.628052	
ARSI		18.6085	
PDPN		18.550663	
CD248		18.43322	
ADAMTS10		18.421272	
MATN3		18.34299	
GLIS2		18.259033	
IGDCC4		18.182339	
FAT3		17.998968	
LEPREL2		17.99745	
PMP22		17.939308	
SPON2		17.922241	
HTRA1		17.762527	
PRICKLE1		17.675573	
ADAMTS9		17.657648	
MAP4K4		17.637072	
SNED1		17.584108	
CILP		17.539803	
MEX3B		17.464655	
SMOC2		17.422981	
ASAM		17.408373	
CDC42EP3		17.386042	
CHPF		17.370358	
SHISA2		17.355999	
SEMA7A		17.341816	
IGFBP5		17.214167	
SRPX		17.210356	
NAV3		17.18552	
PCOLCE		17.185099	
MDFI		17.168194	
DCN		17.146397	
SC65		17.066248	
OLFML2B		17.044407	
GALNT10		16.992144	
FAM101A		16.978294	
SFRP4		16.89444	
NAV1		16.831402	
RGS4		16.717663	
TCF4		16.480152	
MYH10		16.430807	
GFPT2		16.426579	
PCDHGC3		16.416418	
PTPRN		16.381506	
ABCA6		16.35832	
DENND2A		16.260197	
SH3RF3		16.235983	
ADAMTS16		16.181192	
SLC12A8		16.173681	
PDGFRA		16.13265	
NKD2		16.123276	
INHBA		15.998537	
HEPH		15.950883	
SVEP1		15.853098	
C5orf62		15.847968	
SPOCK1		15.838951	
ETV1		15.807096	
F13A1		15.765747	
EDNRA		15.76146	
CDR1		15.752913	
SLIT2		15.744551	
PKD2		15.721787	
DOK6		15.693827	
C13orf33		15.686185	
HEG1		15.666104	
OLFML1		15.563973	
AFAP1		15.545713	
RASGRF2		15.485389	
ABCA8		15.4677	
SDC2		15.382715	
FEZ1		15.372911	
BMP4		15.356771	
SLIT3		15.320717	
MXRA8		15.3018	
SH3PXD2A		15.235777	
BARX1		15.193457	
FSTL3		15.166753	
ADAMTS14		15.163332	
COL4A2		15.110362	
BMP1		15.09542	
LRRC15		15.095338	
ECM1		15.087802	
CNN1		15.074358	
CACNA1G		15.054478	
COL14A1		15.053778	
RHOBTB3		15.027901	
CTHRC1		14.929513	
RCAN2		14.886722	
PTPRD		14.8651495	
BMP2		14.838981	
RPLP0P2		14.831618	
XYLT1		14.827024	
HSPG2		14.77842	
MARVELD1		14.749499	
COL4A1		14.725883	
CLDN11		14.662419	
TCF7L1		14.652746	
RAB31		14.641745	
PLXDC1		14.632184	
GPC1		14.619425	
FAM38B		14.610637	
HSPB7		14.591925	
PLIN1		14.574362	
GEM		14.566446	
HAND2		14.534156	
OMD		14.51136	
WISP2		14.484022	
EDIL3		14.362748	
ELN		14.351383	
ENOX1		14.3257885	
ASPN		14.316627	
TMEM158		14.294571	
PLIN4		14.271275	
FGF7		14.253102	
ALPK2		14.243126	
IFFO2		14.228162	
F2R		14.1510315	
ZFHX4		14.132975	
CXCL12		14.103829	
TMEM200A		14.067681	
GREM2		14.058655	
HTRA3		14.005075	
CYTH3		14.000422	
FLRT2		13.977053	
PCDHGA5		13.955464	
GPR176		13.932412	
NID2		13.898611	
RECK		13.86943	
CLEC3B		13.853564	
ENPP1		13.841094	
PI15		13.8405695	
FLJ22536		13.8278675	
CYP26B1		13.81997	
PRICKLE2		13.791488	
MMP19		13.780803	
PROK1		13.73611	
FAM101B		13.731072	
PSD3		13.669022	
GALNTL2		13.639361	
GALNT9		13.6197195	
C14orf37		13.576171	
SFRP2		13.555319	
ADAMTS5		13.484541	
FAM155A		13.484262	
ACTG2		13.480214	
RUNX2		13.474599	
UPK2		13.474462	
APLNR		13.463676	
RCN3		13.463316	
COL5A3		13.445184	
FAM180A		13.419921	
THBD		13.414718	
CXorf36		13.4145565	
TGM2		13.409021	
NKX3-2		13.3949995	
PRRX1		13.378717	
EGR2		13.376386	
KLF2		13.350829	
SEPT8		13.347207	
CSPG4		13.33823	
KIF26A		13.205376	
PDGFD		13.197512	
MAP1A		13.196734	
EVC		13.189121	
CYP26A1		13.175157	
EHD2		13.133681	
CHRD		13.13247	
LRRN4CL		13.124991	
TGFBR2		13.124904	
FGF1		13.11501	
GAS7		13.075974	
LRRN4		13.06771	
FSCN1		13.063676	
PEAR1		13.041652	
COL11A1		12.975887	
B3GNT9		12.970524	
ANKRD1		12.912105	
PCDHGA12		12.908006	
FBLN2		12.836294	
LUM		12.807377	
CCL14		12.78249	
ZNF697		12.781799	
COL4A5		12.779044	
ROBO4		12.750753	
EDA2R		12.748682	
WNK4		12.705754	
CXCL14		12.65222	
SERPINH1		12.643221	
ENTPD7		12.621969	
LRRC4B		12.611147	
GPR1		12.608801	
SEMA6B		12.586908	
NUDT10		12.578935	
SH3BP4		12.540984	
CD36		12.53852	
CSMD2		12.5356455	
APBB2		12.533765	
MSC		12.52818	
SEMA3C		12.482617	
SERPINF1		12.450597	
COL10A1		12.442177	
MXRA5		12.422539	
FBXL7		12.3716545	
SPARCL1		12.334363	
TMEM133		12.274069	
CSDC2		12.251499	
NRK		12.234467	
MMP28		12.229293	
PALM2-AKAP2		12.215979	
TTC3		12.214962	
GSTM5		12.15464	
TMEM45A		12.135012	
ACCN2		12.099703	
NR4A3		12.089114	
ST6GAL2		12.065109	
COPZ2		12.049597	
ALDH1A3		12.048971	
PODNL1		12.0448	
SCG2		12.01063	
GPX8		11.903192	
PRDM16		11.876493	
AMOTL1		11.8759775	
SDC1		11.861965	
FBLN1		11.821616	
C4orf31		11.790258	
ANGPT1		11.774911	
VAT1L		11.7662525	
FGF14		11.757446	
RHOBTB1		11.7466	
GFAP		11.737449	
RASL12		11.7115555	
AKAP13		11.686531	
CERCAM		11.685761	
MFAP4		11.674705	
CMTM3		11.644394	
RBM9		11.624499	
RGS16		11.623555	
RUNX1		11.597622	
SEMA3D		11.59537	
CORIN		11.558034	
ANGPTL1		11.489616	
BAHCC1		11.445831	
DLG2		11.421221	
FAP		11.419772	
CDK5R1		11.399608	
SLC35D3		11.382628	
SEMA6A		11.372355	
NGFR		11.350456	
PHLDB1		11.347485	
CNTN1		11.345353	
NR2F1		11.3395	
DCLK1		11.325772	
PXDN		11.323611	
SHROOM4		11.2719	
MPRIP		11.265993	
ITGBL1		11.261362	
PHLDB2		11.23874	
TSHZ3		11.225547	
SYTL2		11.215753	
VIM		11.212903	
ARC		11.208236	
EGR3		11.198235	
PDE7B		11.180827	
CYP2W1		11.169102	
AQP1		11.145247	
LSAMP		11.082849	
DTX1		11.074453	
FHOD3		11.070534	
CHAD		11.066672	
KIAA1755		11.064673	
PAPSS2		11.060457	
RUSC2		11.0391035	
MMP23B		11.020218	
CD93		11.018902	
PCDH12		10.974844	
PLAU		10.969451	
PDLIM7		10.926959	
FAM131B		10.903947	
GXYLT2		10.830889	
CDH5		10.7996	
MEG3		10.780541	
CTSK		10.768703	
IGF2BP1		10.736067	
MYH11		10.709556	
AG2		10.690507	
TCEAL7		10.646812	
LRP4		10.626246	
PNMA2		10.616152	
GHR		10.614824	
B3GALT2		10.600488	
MFAP5		10.564449	
SYNE1		10.562552	
MEGF10		10.552262	
SIPA1L2		10.54269	
PLN		10.5254545	
GPR116		10.513631	
CLDN5		10.504904	
COL9A3		10.49437	
PPP1R12B		10.459199	
KCTD10		10.452585	
ZEB2		10.450225	
SFXN3		10.4481735	
ADCY2		10.437282	
NEGR1		10.428011	
PDE2A		10.418193	
ADRA2A		10.407368	
BAMBI		10.401552	
ABL1		10.389841	
EMCN		10.385079	
ARHGAP42		10.378456	
LRCH1		10.348863	
LPPR4		10.319446	
NPTX1		10.304981	
DKK3		10.288969	
SYT8		10.270837	
COMP		10.270651	
TBX1		10.256367	
COL12A1		10.256309	
SCN7A		10.230456	
HSPA12B		10.230445	
COL4A6		10.195211	
TEK		10.186569	
C1orf198		10.18633	
PRDM8		10.151437	
C20orf103		10.1360035	
C1QTNF2		10.106578	
MYADM		10.100225	
MFRP		10.097824	
SORCS2		10.080245	
ERRFI1		10.042708	
PPAP2A		10.002644	
HHIP		9.973795	
LTBP2		9.966663	
ADAMTS4		9.942223	
ARHGEF15		9.932961	
CPA3		9.914671	
PCSK5		9.888205	
KIAA0427		9.8803	
PDZRN3		9.871071	
FBXL22		9.866168	
PCDHGA6		9.863424	
NEXN		9.861857	
TAGLN		9.861371	
ZNF521		9.857381	
LUZP1		9.846811	
ADAMTSL1		9.840176	
NOG		9.839087	
COL15A1		9.834178	
PLAC9		9.806468	
GPR68		9.773181	
CR1		9.769256	
ISLR		9.769148	
NCCRP1		9.760794	
PGF		9.740903	
PPFIBP1		9.7409	
ODZ3		9.731665	
FOXP1		9.719465	
SLC7A10		9.694564	
PRDM6		9.69443	
KIRREL		9.681673	
SOSTDC1		9.674607	
DIP2C		9.660769	
AK5		9.605966	
ILDR2		9.599595	
GGT5		9.592861	
KRAS		9.580404	
COL8A2		9.574555	
KCNJ15		9.564268	
PLOD1		9.553297	
CNN2		9.528156	
HEYL		9.5125265	
SELP		9.511499	
CPZ		9.494632	
GPIHBP1		9.485184	
PTGFR		9.462649	
ATP1B2		9.450931	
FAM63B		9.443478	
MYCT1		9.442395	
EFEMP2		9.435469	
ARMC9		9.413092	
PRG4		9.412675	
GNA14		9.390465	
ITGA1		9.366265	
TMEM204		9.359125	
ARSE		9.353646	
COL2A1		9.343225	
PLA2G5		9.329255	
MMRN1		9.32374	
CNTNAP1		9.323427	
EFNA2		9.318915	
NALCN		9.317682	
CCND1		9.316788	
FBLIM1		9.295859	
KANK4		9.293008	
OSBPL5		9.280059	
NKD1		9.249138	
HGF		9.204566	
PDLIM2		9.1917715	
CALU		9.187137	
OLFML3		9.154323	
ADAMTSL2		9.149365	
SLC2A3		9.1484165	
EXOC3L2		9.120045	
TNNT3		9.119269	
PAM		9.10897	
KDELR3		9.104394	
EMID2		9.103417	
CH25H		9.102668	
MMP11		9.09244	
PLK2		9.067394	
TMEM2		9.043979	
